N	2gram	Vygotskiy_	Poddanst
1	не только	16	17
2	и в	65	14
3	и не	20	12
4	в этом	37	10
5	но в	5	9
6	то же	17	9
7	в том	46	9
8	в качестве	2	9
9	хотя бы	3	8
10	в то	5	7
11	только в	9	7
12	но и	6	6
13	р и	2	6
14	было бы	22	6
15	в ней	23	6
16	а я	5	5
17	с другой	8	5
18	не в	12	5
19	и о	6	5
20	в которых	9	5
21	может быть	33	5
22	по себе	5	4
23	что в	36	4
24	если бы	22	4
25	в своем	8	4
26	том что	28	4
27	мы должны	3	4
28	в котором	7	4
29	в русской	4	4
30	и к	5	4
31	как бы	29	4
32	и если	13	4
33	то что	61	4
34	не может	17	4
35	а в	9	4
36	же в	2	4
37	что мы	6	3
38	и как	10	3
39	с тем	14	3
40	в порядке	4	3
41	но не	3	3
42	тем самым	4	3
43	это не	7	3
44	с точки	11	3
45	сами по	3	3
46	столь же	5	3
47	мы не	7	3
48	для того	18	3
49	в себе	9	3
50	точки зрения	19	3
51	потому что	26	3
52	одной стороны	6	3
53	в нем	8	3
54	между тем	10	3
55	вслед за	4	3
56	и без	2	3
57	прежде всего	2	3
58	и т	19	3
59	тот же	5	3
60	с одной	7	3
61	заключается в	13	3
62	наряду с	4	3
63	для нас	14	2
64	в них	4	2
65	в жизни	6	2
66	в мире	3	2
67	если в	2	2
68	одна из	6	2
69	есть не	2	2
70	отношения к	3	2
71	не к	5	2
72	никак не	12	2
73	в эту	2	2
74	и мы	19	2
75	и это	13	2
76	более чем	2	2
77	которую мы	5	2
78	и тем	4	2
79	и других	5	2
80	в его	11	2
81	с этим	11	2
82	и вот	6	2
83	в общем	4	2
84	говорить о	3	2
85	время в	5	2
86	со стороны	4	2
87	именно в	3	2
88	именно как	3	2
89	в виде	5	2
90	еще более	2	2
91	тем более	2	2
92	все это	12	2
93	в частности	3	2
94	как на	9	2
95	друг другу	2	2
96	начала и	2	2
97	а не	11	2
98	во всей	3	2
99	не было	4	2
100	и есть	3	2
101	например в	5	2
102	и с	4	2
103	во всех	4	2
104	в ее	9	2
105	как раз	14	2
106	есть в	3	2
107	с с	2	2
108	к чему	6	2
109	того что	9	2
110	думать что	3	2
111	в силу	2	2
112	главным образом	6	2
113	из них	10	2
114	в которую	3	2
115	отнюдь не	2	2
