N	2gram	Propp_Isto	Hudozhes
1	в качестве	8	31
2	и в	40	23
3	не только	28	20
4	в том	12	20
5	может быть	37	19
6	при этом	6	19
7	в частности	3	18
8	и не	19	16
9	но и	21	14
10	в рамках	2	13
11	а в	15	13
12	в себе	6	13
13	но не	7	13
14	а не	18	13
15	то же	21	12
16	в этом	13	12
17	и его	5	12
18	так и	13	12
19	как бы	6	11
20	представляет собой	7	11
21	в его	10	11
22	но в	13	10
23	по отношению	6	10
24	отношению к	6	10
25	не в	11	9
26	том что	11	9
27	не может	19	9
28	с другой	8	9
29	своего рода	2	9
30	в то	4	8
31	себя в	2	8
32	в области	2	8
33	по своей	2	7
34	в своей	2	7
35	только в	16	7
36	как это	6	7
37	что в	19	7
38	отличие от	3	7
39	в отличие	3	7
40	в основе	4	7
41	более или	5	6
42	мы имеем	25	6
43	уже не	3	6
44	другой стороны	7	6
45	приводит к	3	6
46	а также	2	6
47	в нем	8	6
48	с ее	2	6
49	в ее	2	6
50	или менее	5	6
51	тем самым	2	5
52	ни в	2	5
53	с другими	2	5
54	могут быть	5	5
55	в конечном	2	5
56	между ними	2	5
57	того чтобы	3	5
58	в виду	2	5
59	со стороны	3	5
60	в их	6	5
61	что он	32	5
62	не на	2	5
63	то что	17	5
64	не менее	7	5
65	прежде всего	15	5
66	того что	6	5
67	для него	2	5
68	и то	3	4
69	сказать что	7	4
70	его в	15	4
71	это не	8	4
72	а только	3	4
73	так в	7	4
74	к тому	6	4
75	между тем	2	4
76	в форме	3	4
77	в другом	6	4
78	не знает	7	4
79	однако в	2	4
80	в силу	7	4
81	и как	3	4
82	еще не	14	4
83	к которому	5	4
84	и тем	2	4
85	и что	14	4
86	в этих	17	4
87	он не	10	4
88	по пути	2	4
89	отношения к	2	4
90	например в	7	4
91	в себя	2	4
92	в своем	5	4
93	даже в	5	3
94	в жизни	2	3
95	к нему	3	3
96	и для	5	3
97	как уже	2	3
98	в иной	9	3
99	и ее	3	3
100	как и	5	3
101	их в	7	3
102	но их	2	3
103	потому что	12	3
104	одной стороны	7	3
105	слова в	2	3
106	в русской	7	3
107	в целом	3	3
108	имеем в	4	3
109	во всех	3	3
110	тем не	7	3
111	а именно	5	3
112	из этих	2	3
113	связи с	10	3
114	и на	6	3
115	мог бы	3	3
116	тому как	3	3
117	если бы	8	3
118	как раз	2	3
119	он должен	3	3
120	подобно тому	3	3
121	или даже	3	3
122	себя и	2	3
123	в связи	7	3
124	таким образом	13	3
125	в которой	2	3
126	никто не	3	3
127	во всей	2	3
128	была бы	2	3
129	как правило	4	3
130	в пределах	4	3
131	в одном	8	3
132	с одной	8	3
133	но он	5	3
134	в системе	2	3
135	никогда не	25	2
136	о том	12	2
137	одной из	6	2
138	в каком	2	2
139	одна из	4	2
140	как в	7	2
141	чтобы не	3	2
142	тексты а	2	2
143	и др	11	2
144	тот кто	3	2
145	одно из	2	2
146	право на	5	2
147	и это	2	2
148	еще один	3	2
149	ее в	7	2
150	могла бы	3	2
151	и потому	3	2
152	а для	2	2
153	вследствие этого	2	2
154	еще и	2	2
155	столь же	2	2
156	что такое	3	2
157	или в	6	2
158	вступает в	2	2
159	именно в	5	2
160	но как	2	2
161	все эти	6	2
162	таких случаях	4	2
163	не всегда	9	2
164	не все	5	2
165	вслед за	7	2
166	что она	10	2
167	должен быть	3	2
168	дело не	8	2
169	и конец	2	2
170	не как	3	2
171	но она	2	2
172	в глаза	2	2
173	так же	18	2
174	об этом	11	2
175	из которых	3	2
176	не сами	2	2
177	и по	4	2
178	между собой	4	2
179	это может	2	2
180	всякий раз	2	2
181	он и	3	2
182	я не	5	2
183	отнюдь не	2	2
184	один из	10	2
185	на котором	5	2
186	в них	2	2
187	по себе	4	2
188	не вполне	3	2
189	в сказании	2	2
190	ведет к	2	2
191	роль в	3	2
192	к жизни	2	2
193	на этом	3	2
194	все это	6	2
195	с ними	2	2
196	из этого	3	2
197	что и	9	2
198	это тоже	6	2
199	то ни	2	2
200	ни было	2	2
201	xix века	2	2
202	одним из	2	2
203	не просто	5	2
204	к своему	3	2
205	и другие	7	2
206	только о	2	2
207	может оказаться	3	2
208	а затем	4	2
209	самом деле	2	2
210	и более	3	2
211	в этой	9	2
212	ни к	3	2
213	говорит в	2	2
214	а с	4	2
215	с ним	3	2
216	превращается в	4	2
217	который в	2	2
218	в какой	4	2
219	вовсе не	3	2
220	чем это	5	2
221	если мы	4	2
222	на основе	6	2
223	у него	5	2
224	бы то	2	2
225	не с	3	2
226	здесь не	5	2
