N	3gram	Voloshinov	Tvorches
1	в то же	6	25
2	то же время	6	24
3	в том что	9	11
4	о том что	3	8
5	но в то	3	6
6	в конечном счете	3	6
7	не может быть	14	6
8	по отношению к	11	5
9	в самом деле	10	5
10	это прежде всего	2	4
11	с точки зрения	15	4
12	с самого начала	5	4
13	до сих пор	3	4
14	в таком случае	4	3
15	это как бы	2	3
16	и не может	3	3
17	во всяком случае	8	3
18	в отличие от	2	3
19	что он сам	2	2
20	на самом деле	4	2
21	тем не менее	4	2
22	на этот вопрос	3	2
23	для того чтобы	3	2
24	можно сказать что	5	2
25	не в силах	3	2
26	так и в	3	2
27	не могут быть	4	2
28	заключается в том	2	2
29	в конце концов	2	2
30	в данном случае	4	2
31	только то что	3	2
32	в высшей степени	6	2
33	нет и не	3	2
34	в свою очередь	4	2
