N	2gram	Trubetskoy	Hudozhes
1	в качестве	3	31
2	то есть	4	26
3	в мире	5	24
4	и в	26	23
5	не только	10	20
6	состоит в	2	20
7	в том	11	20
8	может быть	10	19
9	при этом	3	19
10	и не	8	16
11	но и	9	14
12	в рамках	3	13
13	а в	4	13
14	в себе	6	13
15	но не	8	13
16	а не	5	13
17	то же	4	12
18	в этом	15	12
19	так и	6	12
20	как бы	12	11
21	точки зрения	13	11
22	представляет собой	3	11
23	в его	5	11
24	но в	7	10
25	отношению к	3	10
26	не в	2	9
27	или иной	2	9
28	том что	7	9
29	не может	4	9
30	с другой	8	9
31	в то	4	8
32	в области	9	8
33	в самом	4	7
34	по своей	2	7
35	отношение к	5	7
36	лишь в	5	7
37	только в	4	7
38	же время	2	7
39	что в	9	7
40	более или	5	6
41	мы имеем	2	6
42	уже не	3	6
43	приводит к	2	6
44	а также	2	6
45	в нем	4	6
46	можно сказать	3	6
47	с его	2	6
48	или менее	5	6
49	с другими	4	5
50	той или	2	5
51	или иначе	3	5
52	для того	5	5
53	того чтобы	5	5
54	в виду	2	5
55	что он	4	5
56	то что	7	5
57	не менее	3	5
58	прежде всего	2	5
59	того что	3	5
60	для него	3	5
61	сказать что	2	4
62	в отношении	6	4
63	далеко не	4	4
64	к тому	6	4
65	из которого	3	4
66	между тем	2	4
67	и т.д	6	4
68	в силу	5	4
69	и как	3	4
70	еще не	2	4
71	к которому	2	4
72	и что	4	4
73	в этих	4	4
74	он не	4	4
75	и о	3	4
76	в своем	3	4
77	так или	3	4
78	к нему	7	3
79	и для	5	3
80	по своему	2	3
81	того же	6	3
82	потому что	7	3
83	одной стороны	7	3
84	том числе	5	3
85	к его	2	3
86	в свою	2	3
87	и к	5	3
88	во всех	2	3
89	тем не	3	3
90	из этих	10	3
91	связи с	9	3
92	и на	2	3
93	если бы	3	3
94	с точки	6	3
95	с этой	3	3
96	в связи	3	3
97	таким образом	22	3
98	в таком	3	3
99	в которой	3	3
100	в одном	3	3
101	с одной	7	3
102	никогда не	5	2
103	о том	6	2
104	одной из	5	2
105	начиная с	2	2
106	одно из	2	2
107	и это	2	2
108	и потому	6	2
109	в самой	2	2
110	либо в	2	2
111	именно в	2	2
112	все эти	6	2
113	не всегда	2	2
114	вслед за	2	2
115	быть и	2	2
116	этой точки	2	2
117	не как	2	2
118	так же	5	2
119	отличается от	2	2
120	из которых	4	2
121	и по	4	2
122	один из	2	2
123	в них	2	2
124	не вполне	3	2
125	не могло	2	2
126	несмотря на	6	2
127	есть как	2	2
128	к жизни	5	2
129	каждая из	3	2
130	и больше	2	2
131	все это	6	2
132	из этого	2	2
133	числе и	4	2
134	что и	6	2
135	в значительной	3	2
136	то ни	2	2
137	ни было	2	2
138	и особенно	2	2
139	в одно	2	2
140	одним из	2	2
141	духовной культуры	3	2
142	и другие	3	2
143	никем не	2	2
144	случае не	3	2
145	совершенно иной	2	2
146	в этой	4	2
147	а с	7	2
148	превращается в	2	2
149	без остатка	2	2
150	бы то	2	2
151	не с	2	2
