N	3gram	Tiupa_Disk	Literetu
1	в то же	7	21
2	то же время	9	21
3	в том что	18	21
4	по отношению к	13	12
5	в е годы	2	12
6	с одной стороны	12	12
7	в данном случае	6	11
8	в отличие от	12	11
9	не может быть	5	11
10	состоит в том	3	11
11	в конечном счете	2	10
12	о том что	8	10
13	в этом отношении	4	10
14	с точки зрения	3	8
15	не говоря уже	2	8
16	с другой стороны	4	7
17	говоря уже о	2	6
18	в том числе	3	6
19	к тому же	4	6
20	подобно тому как	4	6
21	не только в	2	6
22	едва ли не	2	6
23	в русской литературе	2	5
24	в соответствии с	4	5
25	прежде всего в	2	5
26	в том чтобы	2	5
27	и прежде всего	2	4
28	но при этом	3	4
29	по аналогии с	2	4
30	при этом в	2	4
31	в начале х	2	4
32	тогда как в	5	4
33	в силу своей	2	4
34	и то что	2	4
35	а не как	2	3
36	во всяком случае	2	3
37	то же самое	2	3
38	той или иной	6	3
39	по крайней мере	3	3
40	только в том	2	3
41	одной стороны и	3	3
42	не сводится к	4	3
43	речь идет о	2	3
44	по сути своей	2	3
45	том числе и	3	3
46	по этой причине	2	3
47	объекта и адресата	2	3
48	в равной степени	2	3
49	в свою очередь	3	3
50	а не только	2	2
51	одно и то	2	2
52	что же касается	4	2
53	это прежде всего	3	2
54	и то же	2	2
55	субъекта объекта и	2	2
56	в повестях белкина	3	2
57	на мой взгляд	3	2
58	мы имеем дело	3	2
59	только то что	2	2
60	сказать и о	2	2
61	как и всякое	2	2
62	в свое время	3	2
63	в этом случае	3	2
64	а с другой	4	2
65	при всей своей	2	2
66	несет в себе	3	2
67	и не только	2	2
68	дело в том	3	2
69	в такого рода	2	2
70	в значительной степени	3	2
71	тем что он	2	2
