N	3gram	Potebnia_M	Vladivir
1	там же с	7	29
2	в том что	18	29
3	тем не менее	10	18
4	в то время	3	13
5	дело в том	3	13
6	во всяком случае	7	12
7	в связи с	2	12
8	более или менее	6	11
9	в то же	3	10
10	с точки зрения	3	10
11	не может быть	11	10
12	то же время	3	9
13	в этом смысле	4	9
14	на то что	3	8
15	с другой стороны	7	6
16	и в этом	7	6
17	само по себе	6	6
18	бы то ни	2	5
19	и потому что	2	5
20	не только в	3	5
21	что и в	4	5
22	то что в	2	5
23	и в том	3	5
24	в сравнении с	4	5
25	по крайней мере	6	4
26	сам по себе	5	4
27	не что иное	2	4
28	с одной стороны	6	4
29	для того чтобы	4	4
30	что иное как	2	4
31	и т д	6	4
32	с самого начала	5	3
33	потому что в	5	3
34	так что в	2	3
35	субъекта и объекта	4	3
36	только в том	7	3
37	но это не	2	3
38	не только не	2	3
39	к тому что	2	3
40	не в том	6	3
41	в свою очередь	8	3
42	а в том	4	3
43	и что в	3	2
44	но дело в	2	2
45	после того как	3	2
46	или по крайней	2	2
47	так и в	5	2
48	с тем что	4	2
49	то что мы	2	2
50	в том и	2	2
51	и в таком	2	2
52	до сих пор	5	2
53	в таком случае	4	2
54	одной стороны и	2	2
55	так как в	2	2
56	а так как	3	2
57	и притом не	3	2
58	притом не только	2	2
