N	2gram	Trubetskoy	Stilisti
1	и в	26	42
2	как бы	12	30
3	не только	10	28
4	прежде всего	2	22
5	и т.д	6	21
6	хотя бы	3	18
7	то же	4	16
8	но и	9	16
9	и не	8	14
10	не может	4	13
11	может быть	10	13
12	точки зрения	13	11
13	что мы	2	11
14	в себе	6	10
15	и как	3	10
16	мы должны	6	10
17	в этом	15	10
18	в то	4	9
19	для того	5	9
20	все же	6	9
21	то что	7	9
22	при этом	3	9
23	так как	9	8
24	и это	2	8
25	с тем	18	8
26	таким образом	22	8
27	с его	2	8
28	никогда не	5	7
29	и от	4	7
30	в которой	3	7
31	мы можем	2	7
32	же время	2	7
33	так и	6	7
34	потому что	7	7
35	только в	4	7
36	а не	5	7
37	и на	2	7
38	того чтобы	5	7
39	или иной	2	6
40	во всех	2	6
41	не в	2	6
42	в области	9	6
43	в конце	6	6
44	в нем	4	6
45	в свою	2	6
46	в процессе	2	6
47	в его	5	6
48	в этой	4	6
49	связанных с	2	5
50	то есть	4	5
51	и наконец	2	5
52	а с	7	5
53	мы видели	2	5
54	но все	7	5
55	и является	2	5
56	а в	4	5
57	но в	7	5
58	те же	2	5
59	в самом	4	5
60	и с	10	5
61	уже в	2	5
62	с точки	6	5
63	же самое	2	5
64	вместе с	15	5
65	что это	3	4
66	в одном	3	4
67	так же	5	4
68	если бы	3	4
69	то или	2	4
70	что именно	2	4
71	лишь в	5	4
72	так называемой	2	4
73	того что	3	4
74	самого начала	2	4
75	так называемые	3	4
76	один из	2	4
77	и все	2	4
78	с самого	3	4
79	к тому	6	4
80	о том	6	4
81	уже не	3	4
82	и к	5	4
83	или иное	2	4
84	той или	2	4
85	все это	6	4
86	в качестве	3	4
87	заключает в	2	4
88	можно сказать	3	4
89	не к	2	4
90	сказать что	2	3
91	но при	2	3
92	том что	7	3
93	в начале	2	3
94	и даже	3	3
95	и здесь	2	3
96	целый ряд	4	3
97	конце концов	3	3
98	в виду	2	3
99	в том	11	3
100	у них	3	3
101	еще не	2	3
102	в разных	2	3
103	для него	3	3
104	не с	2	3
105	по своему	2	3
106	и для	5	3
107	в котором	4	3
108	должно было	2	3
109	что оно	4	3
110	если не	2	3
111	из которых	4	3
112	главным образом	8	3
113	из них	7	3
114	несмотря на	6	3
115	жизни и	2	3
116	что и	6	3
117	все эти	6	3
118	конечно не	2	3
119	связи с	9	3
120	что эти	3	3
121	между тем	2	3
122	в отношении	6	2
123	для этого	2	2
124	и потому	6	2
125	которые в	2	2
126	к достижению	3	2
127	для всех	2	2
128	относится к	2	2
129	с другими	4	2
130	мы имеем	2	2
131	из этих	10	2
132	и нет	3	2
133	к этому	3	2
134	с ней	3	2
135	и больше	2	2
136	отношение к	5	2
137	к которому	2	2
138	этом отношении	2	2
139	не всегда	2	2
140	в значительной	3	2
141	ее с	2	2
142	и при	3	2
143	в этих	4	2
144	что он	4	2
145	по своей	2	2
146	ничем не	4	2
147	связанный с	2	2
148	связано с	2	2
149	должна была	2	2
150	отношению к	3	2
151	сих пор	5	2
152	его не	2	2
153	подойти к	3	2
154	в так	4	2
155	одной из	5	2
156	в мире	5	2
157	на этот	4	2
158	но не	8	2
159	для каждого	2	2
160	к нему	7	2
161	тому же	5	2
162	связанные с	7	2
163	связь с	2	2
164	либо в	2	2
165	в которых	4	2
166	ни один	2	2
167	и те	3	2
168	представляет собой	3	2
169	не было	2	2
170	и тогда	4	2
171	в связи	3	2
172	он не	4	2
173	тот же	2	2
174	оно является	2	2
175	тем и	2	2
176	ясно что	3	2
