N	3gram	Medvedev_F	RusskieA
1	в том что	3	49
2	и т д	11	21
3	тем не менее	2	14
4	вместе с тем	5	11
5	в том чтобы	3	9
6	в данном случае	2	8
7	для того чтобы	3	8
8	мы не можем	3	7
9	в настоящее время	11	7
10	т е в	2	7
11	как мы увидим	3	7
12	как мы видели	5	6
13	не может быть	11	6
14	в связи с	9	5
15	к тому что	3	5
16	во всяком случае	6	4
17	в отличие от	2	4
18	более или менее	7	3
19	с тем и	2	3
20	по отношению к	4	3
21	может быть и	4	3
22	с тем что	3	3
23	с точки зрения	17	3
24	до сих пор	7	3
25	а н веселовского	3	3
26	в своей книге	2	3
27	в свою очередь	6	3
28	на самом деле	7	2
29	в этом отношении	7	2
30	в большинстве случаев	5	2
31	ничего общего с	2	2
32	и в этом	6	2
33	с одной стороны	5	2
34	т е как	3	2
35	и т п	11	2
36	с другой стороны	4	2
37	но все же	2	2
