N	3gram	Tiupa_Narr	RusskieA
1	в том что	8	49
2	состоит в том	3	29
3	тем не менее	3	14
4	о том что	6	10
5	в данном случае	4	8
6	подобно тому как	2	8
7	не может быть	5	6
8	так же как	2	6
9	в связи с	2	5
10	не что иное	2	4
11	можно было бы	2	4
12	на себя внимание	3	4
13	что иное как	2	4
14	в отличие от	5	4
15	на другой день	2	3
16	более или менее	2	3
17	по отношению к	6	3
18	с точки зрения	2	3
19	обращает на себя	3	3
20	все же не	4	3
21	в свою очередь	3	3
22	можно сказать что	4	2
23	в этом отношении	3	2
24	ту или иную	2	2
25	не только в	2	2
26	с одной стороны	7	2
27	с другой стороны	4	2
28	но все же	4	2
