N	3gram	Bakhtin_KF	slovoVRo
1	не может быть	11	19
2	в то же	2	18
3	то же время	2	18
4	той или иной	2	15
5	с точки зрения	10	15
6	в том что	2	5
7	единого и единственного	9	5
8	по отношению к	22	5
9	единый и единственный	3	5
10	но и здесь	3	3
11	включает в себя	2	3
12	может быть только	7	3
13	того или иного	3	3
14	между тем как	3	2
15	во всех этих	2	2
16	и в нем	2	2
17	ни в чем	4	2
18	в чем не	4	2
19	во всех своих	3	2
20	всех своих моментах	2	2
21	и в этом	3	2
22	то или иное	2	2
23	тем не менее	2	2
24	в этом его	2	2
