N	2gram	Tiupa_Lite	VLabPisa
1	таким образом	4	32
2	в этом	19	29
3	не только	29	26
4	и в	26	26
5	и т	2	25
6	творческого процесса	2	23
7	может быть	24	23
8	хотя бы	3	20
9	и не	19	20
10	художественного творчества	3	19
11	не может	10	17
12	творческий процесс	2	17
13	в том	22	15
14	в его	9	15
15	этом отношении	5	14
16	в силу	4	14
17	прежде всего	14	13
18	в частности	18	12
19	как это	9	12
20	в качестве	21	12
21	что в	7	11
22	с другой	11	11
23	из них	5	11
24	то же	13	10
25	но и	25	10
26	и др	4	10
27	о том	3	10
28	в художественном	6	10
29	по этому	2	10
30	к этому	2	9
31	т п	2	9
32	для него	6	9
33	в своем	12	8
34	том что	19	8
35	могут быть	4	8
36	другой стороны	5	8
37	все эти	2	8
38	было бы	4	8
39	только в	8	8
40	вместе с	5	8
41	очевидно что	2	7
42	это не	4	7
43	из этих	2	7
44	во всех	4	7
45	по отношению	6	7
46	художественное произведение	2	7
47	в году	18	7
48	то что	14	7
49	отношению к	4	7
50	как и	13	7
51	в нем	4	7
52	в конечном	9	7
53	не было	5	7
54	же в	6	7
55	а не	28	7
56	произведения как	2	6
57	не в	11	6
58	в то	12	6
59	в себе	8	6
60	он же	2	6
61	все же	6	6
62	том же	3	6
63	у него	5	6
64	в искусстве	4	6
65	так и	7	6
66	приводит к	4	6
67	один из	7	6
68	художественное творчество	2	6
69	и его	7	6
70	между тем	2	6
71	никогда не	5	5
72	даже в	6	5
73	в одном	2	5
74	конечном счете	8	5
75	в результате	2	5
76	в пределах	4	5
77	в их	3	5
78	не является	3	5
79	одним из	8	5
80	к тому	3	5
81	он говорит	2	5
82	как бы	8	5
83	в целом	10	5
84	связи с	7	5
85	же время	12	5
86	и есть	3	5
87	на основе	2	5
88	по поводу	2	4
89	одна из	8	4
90	в сознании	3	4
91	в нашей	2	4
92	различного рода	2	4
93	одном из	3	4
94	роль в	2	4
95	в виду	4	4
96	в статье	2	4
97	что он	8	4
98	по существу	4	4
99	с тем	2	4
100	следующим образом	2	4
101	что для	2	4
102	должен быть	2	4
103	отнюдь не	4	4
104	в самом	4	4
105	как раз	6	4
106	в своей	5	4
107	в связи	4	4
108	в этой	7	4
109	из его	2	4
110	с его	5	4
111	никак не	2	3
112	например в	3	3
113	мы имеем	2	3
114	но как	3	3
115	и он	3	3
116	но даже	2	3
117	в конце	6	3
118	его в	4	3
119	и как	2	3
120	тому как	4	3
121	подобно тому	4	3
122	как он	2	3
123	него в	2	3
124	для того	2	3
125	у нас	5	3
126	как на	3	3
127	при всем	4	3
128	того что	7	3
129	далеко не	4	3
130	а в	5	3
131	всего лишь	7	3
132	в творческом	2	3
133	в творчестве	2	3
134	точки зрения	8	3
135	даже и	2	3
136	со своим	2	3
137	а вот	2	3
138	человека и	2	3
139	что не	3	3
140	и художественного	2	3
141	жизни и	6	3
142	что и	3	3
143	сводится к	4	3
144	же и	3	3
145	в слове	3	3
146	вовсе не	3	3
147	писал в	2	3
148	в противоположность	2	3
149	относится к	3	2
150	если в	2	2
151	да и	3	2
152	самого себя	3	2
153	чтобы не	2	2
154	в стихах	8	2
155	на это	2	2
156	или иной	3	2
157	еще и	3	2
158	только то	3	2
159	то это	2	2
160	а к	2	2
161	одной стороны	8	2
162	крайней мере	2	2
163	можно было	3	2
164	этого рода	2	2
165	вплоть до	4	2
166	в каждом	2	2
167	чего бы	2	2
168	при всей	5	2
169	легко и	2	2
170	о своем	3	2
171	из своих	2	2
172	в другом	3	2
173	процесса в	2	2
174	и даже	9	2
175	чуть ли	2	2
176	ли не	7	2
177	которая не	2	2
178	мысль о	2	2
179	в стихотворении	17	2
180	а как	2	2
181	бы не	3	2
182	все они	2	2
183	в особенности	2	2
184	в области	5	2
185	и наконец	2	2
186	еще не	4	2
187	не по	2	2
188	а для	3	2
189	по крайней	2	2
190	в чем	2	2
191	с одной	9	2
192	не с	2	2
193	одной из	2	2
194	что его	3	2
195	в жизни	7	2
196	но не	8	2
197	искусства и	6	2
198	также и	3	2
199	не менее	11	2
200	но в	5	2
201	на то	2	2
202	что такое	2	2
203	для многих	3	2
204	в своих	5	2
205	себе и	2	2
206	в ней	4	2
207	в сфере	7	2
208	этой точки	3	2
209	на этом	3	2
210	из которых	3	2
211	художественной деятельности	9	2
212	он и	5	2
213	не столько	8	2
214	в образах	2	2
215	всяком случае	2	2
216	художника как	2	2
217	для них	2	2
218	человека в	5	2
219	а затем	3	2
220	же как	3	2
221	он сам	2	2
222	он не	4	2
223	и сам	6	2
224	должна быть	3	2
225	ту же	4	2
226	но с	3	2
227	который в	2	2
228	лишь в	4	2
229	том числе	2	2
230	во всяком	3	2
