N	2gram	Medvedev_U	Myslijsy
1	и в	14	121
2	может быть	6	107
3	в том	2	103
4	то что	7	83
5	и не	8	73
6	только в	2	72
7	не только	10	67
8	а не	10	67
9	таким образом	2	64
10	том что	2	59
11	в этом	7	59
12	но и	4	59
13	то же	5	56
14	не в	2	54
15	если бы	2	53
16	в себе	2	53
17	не может	7	52
18	по себе	2	52
19	было бы	3	45
20	не есть	2	42
21	как и	3	42
22	мы не	2	38
23	что и	2	38
24	что мы	2	36
25	тем что	2	33
26	но не	2	29
27	между тем	2	29
28	для него	3	28
29	могут быть	2	27
30	в то	3	24
31	но в	3	22
32	с другой	4	22
33	это не	3	20
34	и то	3	19
35	но это	2	19
36	очевидно что	3	18
37	не могут	2	18
38	в самом	2	18
39	в его	2	17
40	по крайней	2	17
41	крайней мере	2	17
42	что он	2	15
43	прежде всего	8	15
44	все же	3	14
45	же время	3	14
46	смысле этого	2	13
47	что все	2	13
48	не следует	3	13
49	а между	2	13
50	все это	5	12
51	сих пор	2	12
52	что такое	4	12
53	другой стороны	3	12
54	до сих	2	12
55	если не	2	11
56	и только	5	11
57	и для	2	10
58	хотя бы	5	10
59	и с	2	10
60	могли бы	2	9
61	не все	2	9
62	это было	2	9
63	самом деле	2	9
64	что она	2	9
65	не как	3	8
66	художественное произведение	5	8
67	перестает быть	5	8
68	а как	2	7
69	в искусстве	6	7
70	превращается в	2	7
71	вряд ли	3	7
72	даже и	2	7
73	бы и	2	7
74	этом смысле	2	7
75	в своей	3	6
76	должна быть	2	6
77	в этой	4	6
78	при таком	2	6
79	художественного произведения	2	6
80	у нас	3	6
81	для всех	2	6
82	в их	4	6
83	нас в	2	6
84	ни было	3	6
85	же самое	2	6
86	представляется нам	2	6
87	но даже	2	5
88	формы в	3	5
89	и у	2	5
90	в области	3	5
91	не столько	2	5
92	одним из	2	5
93	конечно не	4	5
94	а его	2	4
95	то ни	3	4
96	все они	2	4
97	более чем	2	4
98	в противном	2	4
99	ничего не	2	4
100	противном случае	2	4
101	бы то	3	4
102	с его	2	4
103	этом отношении	2	4
104	в некоторых	2	4
105	мы и	2	3
106	каждом шагу	2	3
107	художественном произведении	2	3
108	для этого	3	3
109	на каждом	2	3
110	тем менее	2	3
111	их и	2	3
112	на первый	2	3
113	же не	2	2
114	формы и	2	2
115	только к	3	2
116	и формы	3	2
117	мы получаем	2	2
118	вопроса о	2	2
119	является в	2	2
120	нам представляется	2	2
121	в буквальном	2	2
122	но конечно	2	2
123	художественных произведений	2	2
124	всех этих	2	2
125	его и	2	2
126	очевидно не	2	2
127	произведения искусства	3	2
128	или точнее	3	2
129	в системе	2	2
