N	2gram	Tiupa_Vved	Literetu
1	а не	31	50
2	и не	24	47
3	не только	32	46
4	и в	23	44
5	может быть	25	43
6	при этом	43	41
7	но и	31	41
8	тогда как	16	40
9	в том	21	39
10	в этом	27	38
11	своего рода	20	37
12	том что	16	32
13	в частности	19	30
14	такого рода	23	30
15	то что	9	29
16	в мире	9	28
17	в качестве	18	27
18	в году	2	26
19	состоит в	23	26
20	то же	8	26
21	как и	21	23
22	в то	5	23
23	не в	12	22
24	так и	14	22
25	того что	7	22
26	себя в	4	22
27	не может	14	22
28	же время	4	21
29	в себе	15	20
30	и т.п	14	20
31	прежде всего	11	19
32	как бы	8	18
33	то есть	13	17
34	в его	9	17
35	с другой	10	17
36	сознания в	4	16
37	в этой	2	16
38	в жизни	7	16
39	тем самым	6	15
40	со стороны	15	15
41	не менее	4	15
42	в целом	4	15
43	только в	9	15
44	по отношению	11	14
45	что он	2	14
46	однако в	9	14
47	в рамках	5	14
48	и даже	3	14
49	коммуникативного события	8	14
50	в своем	9	13
51	как это	2	13
52	в тексте	11	13
53	с одной	9	13
54	но не	9	13
55	уже не	7	13
56	и его	9	13
57	всего лишь	7	12
58	к себе	2	12
59	в данном	22	12
60	в своей	10	12
61	а также	12	12
62	художественного письма	9	12
63	еще не	8	12
64	одним из	5	12
65	отношению к	11	12
66	в е	3	12
67	о том	7	12
68	одной стороны	9	12
69	никогда не	6	11
70	данном случае	15	11
71	это не	7	11
72	в другом	2	11
73	еще в	3	11
74	коммуникативное событие	10	11
75	отличие от	11	11
76	и сам	2	11
77	не столько	5	11
78	как в	8	11
79	в отличие	11	11
80	а в	15	11
81	или иначе	2	11
82	в конечном	2	11
83	столь же	3	11
84	в основе	6	11
85	вместе с	2	11
86	даже в	3	10
87	этом отношении	7	10
88	для себя	2	10
89	в принципе	3	10
90	в области	5	10
91	что в	6	10
92	отнюдь не	14	10
93	по мысли	5	10
94	конечном счете	2	10
95	жизни в	5	10
96	и на	5	10
97	потому что	7	10
98	жизни и	8	10
99	в противовес	4	10
100	к тому	9	9
101	один из	3	9
102	же в	3	9
103	связи с	2	9
104	в начале	3	9
105	лишь в	4	9
106	на смену	2	9
107	что я	2	9
108	и т.д	6	9
109	представляет собой	18	9
110	вплоть до	2	8
111	одна из	5	8
112	в конце	3	8
113	едва ли	4	8
114	ли не	2	8
115	все же	10	8
116	но в	14	8
117	уже в	2	8
118	на себя	5	8
119	что не	2	8
120	для него	5	8
121	и как	2	8
122	слова и	3	8
123	мира в	8	8
124	а именно	3	8
125	тем что	2	8
126	в своих	5	8
127	соответствии с	8	8
128	той же	3	8
129	присутствия в	7	8
130	как раз	5	8
131	до конца	5	7
132	в их	2	7
133	не как	2	7
134	по своей	4	7
135	и тем	3	7
136	так в	5	7
137	для этого	2	7
138	другой стороны	3	7
139	и для	8	7
140	и адресата	6	7
141	как правило	6	7
142	человека в	2	7
143	у нас	4	7
144	ведет к	2	7
145	в самом	6	7
146	и с	2	7
147	в одном	5	7
148	он и	2	7
149	тому как	3	7
150	в случае	4	7
151	в нем	9	7
152	он не	6	7
153	тому же	6	7
154	на фоне	3	7
155	в сфере	7	7
156	еще и	2	6
157	при всей	3	6
158	в виду	3	6
159	самом деле	6	6
160	но одновременно	2	6
161	одного из	3	6
162	и он	4	6
163	и др	2	6
164	было бы	4	6
165	не было	5	6
166	например в	2	6
167	то и	2	6
168	во всех	2	6
169	с ее	3	6
170	и наконец	2	6
171	как о	2	6
172	в культуре	2	6
173	далеко не	5	6
174	подобно тому	3	6
175	в третьем	2	6
176	в ней	5	6
177	перед лицом	4	6
178	и только	2	6
179	у него	8	6
180	как будто	6	6
181	в слове	4	6
182	в соответствии	8	5
183	в художественной	2	5
184	или иной	5	5
185	идет о	3	5
186	вслед за	3	5
187	в литературе	2	5
188	от себя	2	5
189	как он	2	5
190	в романе	6	5
191	не знает	2	5
192	другого сознания	3	5
193	во втором	4	5
194	между тем	3	5
195	несмотря на	2	5
196	что и	6	5
197	в сущности	3	5
198	обращается к	2	5
199	эти слова	2	5
200	доктора живаго	2	5
201	место в	2	5
202	хотя бы	2	5
203	по выражению	3	5
204	по аналогии	4	5
205	мы не	6	5
206	следует признать	6	5
207	тем не	3	5
208	ивана иваныча	6	5
209	в силу	2	5
210	как у	3	5
211	не с	4	5
212	том чтобы	2	5
213	в нашем	9	5
214	и к	2	5
215	жизни как	2	5
216	к жизни	2	5
217	быть не	4	5
218	не к	4	5
219	однако не	2	5
220	входит в	2	4
221	в свою	5	4
222	очевидно что	2	4
223	для нас	4	4
224	не является	7	4
225	для которого	4	4
226	по сути	5	4
227	не всегда	2	4
228	от своего	2	4
229	здесь как	2	4
230	к своему	2	4
231	только на	2	4
232	и все	8	4
233	на его	2	4
234	могли бы	3	4
235	и само	2	4
236	которая в	3	4
237	могут быть	5	4
238	человеческого присутствия	3	4
