N	2gram	Vygotskiy_	OGranits
1	и в	33	13
2	и его	6	12
3	прежде всего	5	9
4	и не	18	8
5	не может	31	8
6	может быть	15	8
7	в его	15	7
8	и их	4	7
9	точки зрения	27	7
10	и т.п	2	7
11	не только	28	6
12	мы должны	13	6
13	как бы	11	6
14	таким образом	30	6
15	только в	21	6
16	то что	48	6
17	языка и	6	5
18	и т.д	6	5
19	все же	5	5
20	с точки	12	5
21	и наконец	3	5
22	хотя бы	5	5
23	в процессе	37	5
24	мы можем	15	4
25	еще и	3	4
26	но в	9	4
27	в школе	16	4
28	то же	12	4
29	в сознании	5	4
30	но мы	7	4
31	не является	7	4
32	в своей	5	4
33	все это	2	4
34	было бы	18	4
35	вопроса о	5	4
36	мы не	6	4
37	слов и	3	4
38	никогда не	10	3
39	одно и	2	3
40	и для	3	3
41	слово в	3	3
42	общего с	3	3
43	и то	9	3
44	и все	2	3
45	связана с	2	3
46	с этим	9	3
47	при анализе	4	3
48	отношению к	19	3
49	как и	13	3
50	в пределах	6	3
51	не в	10	3
52	в их	4	3
53	говорить о	3	3
54	ничего общего	6	3
55	так как	20	3
56	в себе	4	3
57	что в	33	3
58	по отношению	19	3
59	но для	3	3
60	самом деле	9	3
61	за пределы	4	3
62	так и	8	3
63	что же	2	3
64	в которой	8	3
65	не как	3	3
66	к одному	4	3
67	в одном	3	3
68	но и	14	3
69	не столько	3	3
70	представляет себе	3	2
71	в самом	10	2
72	могут быть	7	2
73	может иметь	3	2
74	мы видим	6	2
75	в этом	43	2
76	в них	3	2
77	представлений и	3	2
78	данном случае	3	2
79	которые только	2	2
80	уже в	4	2
81	отношений между	4	2
82	в том	44	2
83	тем что	12	2
84	в отношении	18	2
85	есть не	3	2
86	несмотря на	3	2
87	в целом	8	2
88	если бы	13	2
89	речи не	4	2
90	с одной	10	2
91	не имеет	7	2
92	зависимости от	3	2
93	случае и	2	2
94	ее в	3	2
95	в действительности	6	2
96	с другой	11	2
97	там где	2	2
98	слова и	3	2
99	языковых форм	2	2
100	а в	5	2
101	и тем	5	2
102	том что	41	2
103	только его	2	2
104	и к	7	2
105	в связи	6	2
106	в зависимости	2	2
107	в данном	4	2
108	не менее	4	2
109	и следовательно	7	2
110	с ними	4	2
111	все эти	9	2
112	к предмету	2	2
113	в области	19	2
114	что эта	7	2
115	связанные с	6	2
116	так же	22	2
117	что они	8	2
118	мы уже	4	2
119	те же	6	2
120	нуждается в	3	2
121	и при	4	2
122	с этой	8	2
123	и может	4	2
124	в своих	5	2
125	его на	2	2
126	в нем	10	2
127	не на	5	2
128	в тех	2	2
129	при этом	9	2
130	сознания и	3	2
131	и ее	2	2
132	форм и	2	2
133	что иное	2	2
134	а не	14	2
135	во всей	3	2
136	в ней	2	2
137	вслед за	3	2
138	еще в	3	2
139	как в	7	2
140	другой стороны	9	2
141	во всем	2	2
142	который мы	2	2
143	и наиболее	2	2
144	и является	6	2
145	одной стороны	10	2
146	бы в	6	2
147	между тем	5	2
148	в целях	2	2
149	в чем	10	2
150	имеет место	4	2
151	тот же	7	2
152	иное как	2	2
153	не что	2	2
154	в другом	7	2
155	самого начала	8	2
156	вовсе не	2	2
157	в этот	4	2
158	с самого	8	2
159	учение о	3	2
160	к тому	14	2
161	с помощью	32	2
162	для него	9	2
163	может стать	2	2
