N	2gram	Vinokur_Vv	OGranits
1	и в	35	13
2	и его	6	12
3	прежде всего	10	9
4	и не	13	8
5	не может	19	8
6	может быть	30	8
7	в его	12	7
8	точки зрения	12	7
9	не только	26	6
10	мы должны	2	6
11	как бы	7	6
12	таким образом	21	6
13	только в	16	6
14	то что	19	6
15	языка и	15	5
16	и т.д	5	5
17	все же	9	5
18	с точки	4	5
19	но ведь	4	5
20	хотя бы	6	5
21	мы можем	2	4
22	еще и	4	4
23	но в	10	4
24	то же	11	4
25	в своей	4	4
26	все это	6	4
27	было бы	7	4
28	мы не	2	4
29	в каждом	4	4
30	никогда не	3	3
31	да и	4	3
32	одно и	2	3
33	языка как	2	3
34	и для	4	3
35	и то	7	3
36	со всей	3	3
37	связана с	4	3
38	в ее	11	3
39	вряд ли	3	3
40	с этим	3	3
41	отношению к	4	3
42	и уже	3	3
43	как и	7	3
44	не в	10	3
45	в их	12	3
46	говорить о	5	3
47	так как	15	3
48	понятно что	3	3
49	в себе	4	3
50	наукой о	4	3
51	что в	13	3
52	по отношению	4	3
53	самом деле	7	3
54	так и	2	3
55	что же	3	3
56	не как	3	3
57	в одном	4	3
58	но и	7	3
59	не столько	2	3
60	в самом	13	2
61	могут быть	6	2
62	своего рода	3	2
63	в этом	35	2
64	смысле слова	7	2
65	в них	5	2
66	и должно	2	2
67	данном случае	5	2
68	уже в	5	2
69	языка но	2	2
70	отношений между	3	2
71	в том	38	2
72	тем что	6	2
73	в отношении	3	2
74	есть не	5	2
75	несмотря на	2	2
76	в целом	5	2
77	если бы	3	2
78	не исчерпывается	2	2
79	от этого	5	2
80	о языке	6	2
81	с одной	4	2
82	не имеет	4	2
83	зависимости от	3	2
84	и др	2	2
85	с другой	8	2
86	а в	6	2
87	и тем	5	2
88	том что	30	2
89	а как	5	2
90	а также	3	2
91	в г	5	2
92	и к	3	2
93	в языке	2	2
94	в связи	2	2
95	с историей	3	2
96	в зависимости	3	2
97	в данном	11	2
98	в общем	14	2
99	не менее	9	2
100	все эти	3	2
101	в области	4	2
102	так же	3	2
103	что они	2	2
104	мы уже	2	2
105	и истории	2	2
106	нуждается в	3	2
107	и историей	6	2
108	и при	2	2
109	с этой	5	2
110	в своих	2	2
111	в нем	13	2
112	истории литературы	3	2
113	в тех	2	2
114	при этом	3	2
115	и ее	4	2
116	истории языка	6	2
117	что иное	5	2
118	а не	5	2
119	в ней	3	2
120	себе что	3	2
121	входит в	3	2
122	в течение	5	2
123	как в	3	2
124	другой стороны	5	2
125	во всем	2	2
126	художественных произведений	2	2
127	мог бы	2	2
128	чем же	3	2
129	одной стороны	4	2
130	бы в	2	2
131	между тем	10	2
132	в чем	4	2
133	соответствии с	2	2
134	иное как	6	2
135	не что	5	2
136	в другом	3	2
137	вовсе не	6	2
138	в этот	2	2
139	литературное произведение	3	2
140	учение о	2	2
141	к тому	4	2
142	не мог	2	2
143	с помощью	2	2
