N	3gram	Vygotskiy_	Mirosoze
1	не может быть	4	28
2	но он не	5	9
3	в том что	33	9
4	для того чтобы	20	7
5	в высшей степени	3	7
6	друг к другу	3	6
7	о том что	7	6
8	вместе с тем	4	6
9	до сих пор	3	5
10	от того что	6	4
11	потому что в	4	4
12	по отношению к	19	4
13	в конце концов	2	4
14	что он не	3	4
15	на то что	5	4
16	его отношение к	3	4
17	не что иное	2	4
18	то время как	4	4
19	потому что он	7	4
20	можно было бы	8	4
21	в то время	4	4
22	что иное как	2	4
23	во всяком случае	2	3
24	том что он	3	3
25	это значит что	4	3
26	с тем что	3	3
27	одной и той	3	3
28	не может не	3	3
29	же как и	2	3
30	и той же	3	3
31	к тому что	5	3
32	так же как	9	3
33	есть не что	2	3
34	по своему значению	2	3
35	не до конца	2	3
36	по сравнению с	9	3
37	все более и	3	2
38	по своей природе	2	2
39	лежит в основе	2	2
40	смысле этого слова	2	2
41	подобно тому как	6	2
42	в этом отношении	7	2
43	именно потому что	3	2
44	том что в	2	2
45	не могут быть	3	2
46	к тому чтобы	4	2
47	и не может	3	2
48	более и более	3	2
