N	2gram	Potebnia_M	Sovremen
1	не может	30	17
2	точки зрения	8	12
3	может быть	47	12
4	таким образом	21	11
5	мы не	17	9
6	в каждом	6	8
7	не можем	5	7
8	и в	58	7
9	в этом	18	7
10	и не	34	6
11	ничего не	2	6
12	как и	16	6
13	каждый раз	5	6
14	мы можем	10	6
15	что же	3	5
16	с точки	4	5
17	все эти	3	5
18	прежде всего	8	5
19	вопрос о	5	4
20	мы видели	5	4
21	это не	10	4
22	не только	32	4
23	в том	38	4
24	мы должны	4	4
25	как бы	12	4
26	их в	2	4
27	так как	29	4
28	при нормальном	2	4
29	если мы	5	4
30	в целом	3	4
31	в развитии	2	4
32	жизни и	3	4
33	вместе с	12	4
34	а в	11	4
35	из них	2	4
36	для нас	29	3
37	он может	2	3
38	видели что	2	3
39	когда мы	4	3
40	и потому	7	3
41	но в	12	3
42	с самого	5	3
43	при этом	17	3
44	но мы	3	3
45	не в	23	3
46	все же	11	3
47	как он	5	3
48	было бы	21	3
49	уже в	5	3
50	в себе	22	3
51	еще не	9	3
52	одна из	4	3
53	у нас	3	3
54	и все	6	3
55	все это	3	3
56	в нем	26	3
57	само собою	4	3
58	а не	38	3
59	в первом	5	3
60	на две	2	3
61	что она	3	3
62	в этой	3	3
63	при таком	5	3
64	то же	13	3
65	мы называем	4	3
66	в одном	13	3
67	самого начала	5	3
68	с общим	3	2
69	но все	4	2
70	на этот	2	2
71	и по	8	2
72	не знаем	2	2
73	всяком случае	7	2
74	что все	4	2
75	а на	2	2
76	не менее	10	2
77	той же	3	2
78	дает нам	2	2
79	не могут	10	2
80	известных нам	3	2
81	мы видим	5	2
82	в его	7	2
83	он должен	2	2
84	с этим	11	2
85	и что	13	2
86	то и	15	2
87	во всяком	9	2
88	и во	6	2
89	что такое	3	2
90	что при	6	2
91	свою очередь	8	2
92	из этих	8	2
93	так сказать	5	2
94	в самом	5	2
95	она может	3	2
96	и есть	4	2
97	или же	7	2
98	еще более	2	2
99	что в	34	2
100	времени и	3	2
101	ни одна	2	2
102	в таком	7	2
103	в которой	5	2
104	у него	3	2
105	из одного	3	2
106	такой же	4	2
107	в некоторых	4	2
108	самом деле	2	2
109	уже не	4	2
110	в свою	8	2
111	по мнению	4	2
112	то ни	3	2
113	если же	5	2
114	в нашем	2	2
115	и они	2	2
116	могут быть	17	2
117	в один	2	2
118	только один	3	2
119	на другом	2	2
120	тот же	5	2
121	с одной	7	2
122	на этом	3	2
123	как мы	3	2
124	не дает	2	2
125	мы знаем	2	2
126	что это	5	2
127	тем не	11	2
128	и даже	4	2
129	тем же	4	2
130	на их	2	2
