N	2gram	Kanaev_Sov	Vvedenie
1	в том	4	38
2	в этом	7	35
3	и в	7	35
4	может быть	12	30
5	не только	4	26
6	таким образом	11	21
7	не может	17	19
8	так как	4	15
9	и не	6	13
10	что в	2	13
11	в самом	2	13
12	в нем	3	13
13	и именно	2	13
14	что такое	2	12
15	точки зрения	12	12
16	в его	2	12
17	то же	3	11
18	как мы	2	11
19	ясно что	3	11
20	вопрос о	4	10
21	не в	3	10
22	прежде всего	5	10
23	но в	3	10
24	из этих	2	9
25	тем не	2	9
26	все же	3	9
27	не менее	2	9
28	это не	4	8
29	самом деле	2	7
30	как и	6	7
31	как бы	4	7
32	было бы	3	7
33	не могут	2	6
34	и даже	2	6
35	как он	3	6
36	на этот	2	6
37	а в	4	6
38	уже не	2	6
39	могут быть	2	6
40	и что	2	6
41	все это	3	6
42	вместе с	4	6
43	и т.д	3	5
44	уже в	3	5
45	в целом	4	5
46	всяком случае	2	5
47	говорить о	2	5
48	а не	3	5
49	в первом	3	5
50	во всяком	2	5
51	в результате	6	4
52	в области	3	4
53	в каждом	8	4
54	из двух	3	4
55	еще не	3	4
56	времени и	2	4
57	научного исследования	2	4
58	отличие от	2	4
59	в отличие	2	4
60	с одной	2	4
61	но все	2	4
62	в виде	2	4
63	в и	2	4
64	в одном	3	4
65	из них	4	4
66	в себе	3	4
67	с точки	5	4
68	той же	2	4
69	так называемых	3	4
70	одна из	3	3
71	что это	2	3
72	или иной	2	3
73	с этим	2	3
74	что она	3	3
75	в конце	3	3
76	или же	2	3
77	зависимости от	4	3
78	такого рода	2	3
79	мы видели	4	3
80	на этой	3	3
81	и к	3	3
82	на этом	2	3
83	из которых	2	3
84	что же	5	3
85	при этом	3	3
86	в зависимости	4	3
87	все эти	5	3
88	и есть	2	3
89	же самое	2	3
90	в этой	3	3
91	ничего не	6	2
92	у нас	3	2
93	и потому	3	2
94	мы должны	4	2
95	же это	4	2
96	мы называем	3	2
97	свою очередь	2	2
98	когда мы	3	2
99	на котором	2	2
100	только так	2	2
101	значение в	2	2
102	ни одна	2	2
103	в свою	2	2
104	своего предмета	2	2
105	мы можем	6	2
106	жизни и	4	2
107	мы не	9	2
108	в дальнейшем	4	2
109	если же	2	2
110	этих двух	2	2
111	с помощью	4	2
112	быть и	2	2
