N	2gram	Medvedev_F	Analitik
1	не только	14	71
2	и в	54	66
3	в качестве	2	61
4	литературного произведения	6	58
5	но и	18	57
6	в том	17	52
7	может быть	30	52
8	в частности	4	51
9	в этом	39	51
10	как и	18	50
11	и не	34	48
12	а не	11	42
13	том что	3	40
14	при этом	14	40
15	так и	24	35
16	в мире	4	31
17	состоит в	3	30
18	не может	26	29
19	как бы	10	29
20	отнюдь не	13	29
21	а в	11	28
22	в его	30	27
23	и его	27	27
24	не в	16	26
25	но не	5	26
26	в себе	4	24
27	художественного целого	2	24
28	к тому	6	22
29	и даже	7	22
30	в этой	10	22
31	что в	10	22
32	лишь в	15	21
33	по отношению	4	19
34	но в	9	19
35	в своей	16	19
36	то же	16	19
37	в самом	17	19
38	с его	12	19
39	в то	14	18
40	произведения в	9	18
41	в данном	2	18
42	отношению к	4	18
43	тем самым	5	17
44	с другой	8	17
45	со стороны	7	17
46	в целом	7	17
47	только в	6	17
48	могут быть	7	16
49	то что	14	16
50	в пределах	13	16
51	что и	10	16
52	не есть	4	15
53	в их	16	15
54	прежде всего	34	15
55	в сущности	3	15
56	литературное произведение	10	15
57	уже не	9	15
58	и на	10	15
59	между тем	4	15
60	данном случае	2	14
61	отличие от	2	14
62	не менее	12	14
63	в отличие	2	14
64	далеко не	2	14
65	столь же	2	14
66	же время	13	14
67	по себе	10	13
68	ничего не	5	13
69	произведение искусства	4	13
70	точки зрения	21	13
71	как раз	8	13
72	этого слова	4	13
73	для него	9	13
74	он не	8	13
75	никогда не	6	12
76	и к	7	12
77	как это	8	12
78	произведения как	3	12
79	в первой	2	12
80	еще не	6	12
81	как в	12	12
82	сводится к	6	12
83	даже в	2	11
84	в свою	8	11
85	это не	4	11
86	во второй	3	11
87	и как	6	11
88	не с	2	11
89	можно сказать	2	11
90	той же	2	11
91	в той	3	11
92	не следует	5	11
93	в конце	2	10
94	едва ли	3	10
95	все же	8	10
96	в произведении	2	10
97	один из	4	10
98	было бы	10	10
99	того или	6	10
100	особенно в	6	10
101	с одной	5	10
102	именно в	12	10
103	здесь не	5	10
104	отношения к	6	10
105	в своем	12	9
106	того что	7	9
107	не столько	5	9
108	одной стороны	5	9
109	свою очередь	6	9
110	или иного	8	9
111	другой стороны	5	9
112	за пределы	2	9
113	во всех	9	9
114	в результате	8	9
115	только не	2	9
116	художественного восприятия	3	9
117	на фоне	7	9
118	том чтобы	3	9
119	вступает в	2	9
120	говорить о	4	9
