N	3gram	Tiupa_Hudo	slovoVRo
1	и т п	10	72
2	не может быть	5	19
3	в то же	11	18
4	то же время	11	18
5	с точки зрения	5	15
6	с одной стороны	4	11
7	и т д	5	10
8	но в то	3	7
9	в значительной степени	3	7
10	и в то	2	6
11	но все же	2	6
12	в том что	15	5
13	в этом отношении	4	5
14	не только в	4	5
15	по отношению к	15	5
16	для того чтобы	2	4
17	до сих пор	3	4
18	к тому что	8	3
19	как и в	5	3
20	в данном случае	3	3
21	в связи с	3	3
22	того или иного	4	3
23	не только не	3	2
24	же как и	2	2
25	в первом случае	2	2
26	о том что	14	2
27	можно было бы	5	2
28	так и от	2	2
29	и в этом	3	2
30	между автором и	2	2
31	тем не менее	6	2
32	друг для друга	3	2
33	а между тем	3	2
