N	2gram	Tiupa_Hudo	KFilosof
1	может быть	19	45
2	в его	11	42
3	в нем	6	32
4	не может	9	29
5	и не	16	28
6	и в	23	28
7	по отношению	10	26
8	для меня	2	22
9	отношению к	10	22
10	в себе	13	21
11	и его	12	18
12	только в	7	18
13	в своем	4	17
14	в ее	6	17
15	а не	13	17
16	в этом	12	15
17	не в	9	13
18	для него	5	13
19	точки зрения	11	13
20	но не	13	12
21	и это	2	12
22	к нему	3	12
23	ни в	5	12
24	в своей	7	11
25	во всех	3	11
26	все эти	2	11
27	это не	4	10
28	в целом	3	10
29	от себя	3	10
30	и для	3	10
31	все это	2	10
32	с точки	3	10
33	в их	5	9
34	но и	14	9
35	как бы	11	9
36	себя в	8	8
37	если бы	3	8
38	лишь в	7	8
39	со стороны	5	8
40	в мире	24	8
41	в себя	4	8
42	для себя	4	7
43	должен быть	2	7
44	то что	5	7
45	уже не	6	7
46	отнюдь не	2	7
47	что и	2	7
48	вовсе не	2	7
49	на основе	2	7
50	отношение к	7	6
51	мира в	2	6
52	в том	20	6
53	место в	5	6
54	я не	2	6
55	он не	4	6
56	никогда не	2	5
57	его в	4	5
58	не только	20	5
59	мы имеем	6	5
60	но как	2	5
61	то же	12	5
62	жизни в	2	5
63	ни одно	2	5
64	еще не	4	5
65	эстетического созерцания	3	5
66	не знает	4	5
67	а в	13	5
68	но в	10	5
69	в контексте	3	5
70	как и	3	5
71	именно в	2	5
72	жизни как	4	5
73	в одном	3	5
74	себя и	3	5
75	я и	7	5
76	с ним	2	5
77	в основе	7	5
78	в каком	2	4
79	тем самым	5	4
80	том что	9	4
81	что в	7	4
82	могла бы	2	4
83	не как	2	4
84	и т.д	4	4
85	ни было	2	4
86	времени и	2	4
87	прежде всего	5	4
88	в чем	2	4
89	мира и	2	4
90	входит в	4	4
91	ценностного центра	3	4
92	с ними	2	4
93	при этом	19	4
94	во всей	3	4
95	между тем	4	4
96	или иного	4	3
97	того или	4	3
98	в то	8	3
99	здесь не	2	3
100	человека и	2	3
101	для которого	2	3
102	в другом	4	3
103	это и	2	3
104	события в	2	3
105	и тем	4	3
106	бы не	2	3
107	для того	5	3
108	в момент	3	3
109	самом деле	2	3
110	в виду	5	3
111	с человеком	2	3
112	по своему	3	3
113	не менее	5	3
114	о том	2	3
115	в акте	3	3
116	в свою	3	3
117	вступает в	2	3
118	могут быть	5	3
119	этом смысле	3	3
120	во мне	2	3
121	и на	3	3
122	в данный	2	3
123	того что	5	3
124	данный момент	2	3
125	той или	5	3
126	и может	2	3
127	жизни но	2	3
128	быть и	2	3
129	и то	4	2
130	чтобы не	2	2
131	мышления и	2	2
132	или иной	9	2
133	и потому	2	2
134	свою жизнь	2	2
135	в данном	4	2
136	или иным	4	2
137	сознания в	4	2
138	говорить о	4	2
139	и ее	3	2
140	автора как	2	2
141	то ни	2	2
142	дело не	2	2
143	включает в	2	2
144	эстетического субъекта	3	2
145	с ее	6	2
146	тем не	3	2
147	к содержанию	3	2
148	как к	5	2
149	и как	4	2
150	в принципе	8	2
151	всей его	2	2
152	в области	8	2
153	а с	2	2
154	одного и	3	2
155	что он	5	2
156	из которых	2	2
157	вследствие этого	2	2
158	а для	2	2
159	так и	12	2
160	этом мире	2	2
161	ни к	2	2
162	было и	2	2
163	отношении к	3	2
164	в жизни	3	2
165	вытекает из	2	2
166	как в	2	2
167	при условии	2	2
168	всей своей	2	2
169	тому что	2	2
170	в единое	3	2
171	оно не	2	2
172	имеем в	3	2
173	эстетическая деятельность	5	2
174	он и	2	2
175	один из	2	2
176	по себе	2	2
177	потому что	3	2
178	не будет	3	2
179	того чтобы	5	2
180	и того	3	2
181	сводится к	11	2
182	слова в	3	2
183	не следует	4	2
184	в качестве	31	2
185	же время	7	2
186	этого слова	2	2
187	жить и	2	2
188	в этой	2	2
189	бы то	2	2
190	ни был	2	2
191	основе своей	2	2
192	с его	6	2
