N	2gram	Berdyaev_V	Myslijsy
1	потому что	4	182
2	и в	16	121
3	в том	3	103
4	то что	9	83
5	для нас	2	75
6	что в	3	73
7	и не	20	73
8	только в	2	72
9	не только	2	67
10	а не	7	67
11	том что	2	59
12	так как	9	59
13	в этом	4	59
14	но и	5	59
15	не в	3	54
16	того что	5	47
17	в нем	4	45
18	не есть	6	42
19	как и	4	42
20	мы не	2	38
21	что и	3	38
22	так и	4	37
23	что мы	4	36
24	тем что	2	33
25	и что	3	32
26	а в	2	30
27	но не	2	29
28	что не	4	29
29	между тем	2	29
30	для него	2	28
31	могут быть	2	27
32	и т	2	26
33	не было	3	26
34	с тем	2	23
35	как бы	5	23
36	но в	3	22
37	не имеет	3	22
38	то это	3	22
39	и потому	7	21
40	в ней	4	20
41	это не	2	20
42	есть уже	2	19
43	с ним	2	19
44	и то	2	19
45	но это	3	19
46	должно быть	3	19
47	еще не	8	18
48	не могут	2	18
49	что я	3	18
50	в его	4	17
51	во всяком	2	17
52	к тому	3	16
53	в них	3	16
54	т д	2	15
55	в этих	3	15
56	что он	4	15
57	прежде всего	2	15
58	уже не	2	15
59	в истории	8	14
60	в котором	4	14
61	во всех	3	14
62	что все	4	13
63	и все	4	13
64	а между	2	13
65	никогда не	3	12
66	от него	2	12
67	человека и	6	12
68	все это	5	12
69	оно не	3	12
70	в чем	3	12
71	хотя и	5	12
72	для человека	2	11
73	того чтобы	2	11
74	все что	4	11
75	если не	3	11
76	и это	2	11
77	и для	3	10
78	хотя бы	3	10
79	духа и	2	10
80	тому что	3	10
81	и мы	3	10
82	и есть	4	10
83	не будет	2	9
84	до того	2	9
85	один из	2	9
86	тот же	3	8
87	что они	7	8
88	все равно	2	8
89	их в	3	8
90	вслед за	2	8
91	и тогда	2	8
92	не так	2	8
93	которые не	2	8
94	что есть	5	8
95	говорить о	4	8
96	но мы	2	7
97	и во	2	7
98	все эти	3	7
99	когда я	2	7
100	за ним	3	7
101	превращается в	3	7
102	и теперь	2	7
103	его к	2	7
104	самого себя	2	7
105	бы и	3	7
106	не с	2	7
107	в жизни	3	7
108	в образе	4	6
109	в своей	3	6
110	должна быть	3	6
111	в мире	5	6
112	к нам	2	6
113	в последнем	2	6
114	давно уже	2	6
115	его не	2	6
116	да и	2	6
117	жизни и	3	6
118	лишь в	3	6
119	а с	2	5
120	можно было	2	5
121	одна из	2	5
122	нет ничего	3	5
123	как не	3	5
124	на нас	2	5
125	на том	2	5
126	когда в	2	5
127	а к	2	5
128	конечно не	2	5
129	не к	2	5
130	от этого	3	4
131	и они	3	4
132	более чем	2	4
133	я говорю	2	4
134	ни в	3	4
135	свободы и	12	4
136	по этому	3	4
137	с его	3	4
138	что во	3	4
139	жизни все	2	3
140	мы и	2	3
141	мы хотим	4	3
142	для них	2	3
143	не имел	2	3
144	что от	2	3
145	по которым	2	3
146	значения и	2	3
147	в себя	2	3
148	под конец	2	3
149	тех которые	3	3
150	и я	4	3
151	в первый	3	3
152	ее в	2	3
153	в форме	2	3
154	ее и	2	2
155	уже на	2	2
156	людей и	2	2
157	с пути	2	2
158	что истина	2	2
159	первый раз	3	2
160	а есть	2	2
161	мы же	3	2
162	не могли	2	2
163	почему в	2	2
164	люди не	2	2
165	его во	3	2
166	является в	2	2
167	ничего и	2	2
168	превращаются в	2	2
169	и за	2	2
170	в прошлом	2	2
171	не создает	2	2
172	для их	2	2
173	под этим	2	2
174	никогда еще	2	2
175	истории и	2	2
176	от которого	3	2
177	и сам	2	2
178	его и	2	2
179	нет и	2	2
180	я думаю	2	2
181	к чему	3	2
182	силы человека	2	2
