N	2gram	Losev_Vlad	KFilosof
1	может быть	12	45
2	в его	18	42
3	в нем	7	32
4	не может	12	29
5	и не	33	28
6	и в	56	28
7	в котором	10	24
8	для меня	8	22
9	не есть	4	22
10	в себе	5	21
11	и его	12	18
12	только в	11	18
13	в своем	10	17
14	а не	5	17
15	в этом	30	15
16	не в	12	13
17	для него	16	13
18	точки зрения	4	13
19	но не	5	12
20	и это	4	12
21	к нему	6	12
22	ни в	4	12
23	в своей	7	11
24	во всех	4	11
25	все эти	6	11
26	это не	3	10
27	в целом	3	10
28	и для	4	10
29	все это	7	10
30	и есть	2	10
31	в их	2	9
32	для нее	3	9
33	но и	26	9
34	как бы	5	9
35	и все	8	9
36	себя в	6	8
37	если бы	2	8
38	не было	12	8
39	лишь в	3	8
40	со стороны	5	8
41	жизни и	8	8
42	было бы	7	8
43	для себя	6	7
44	и здесь	3	7
45	я должен	2	7
46	совершенно не	2	7
47	то что	30	7
48	уже не	6	7
49	отнюдь не	3	7
50	конечно не	5	7
51	что и	6	7
52	во всем	4	7
53	вовсе не	8	7
54	этот момент	2	7
55	менее всего	2	6
56	отношение к	7	6
57	но эта	2	6
58	в том	26	6
59	но все	3	6
60	не имеет	2	6
61	место в	2	6
62	и действительно	3	6
63	я не	8	6
64	но это	6	6
65	и я	7	6
66	он не	13	6
67	никогда не	15	5
68	его в	3	5
69	все же	11	5
70	не только	35	5
71	мы имеем	2	5
72	но как	6	5
73	его как	2	5
74	хотя бы	5	5
75	то же	10	5
76	жизни в	3	5
77	еще не	2	5
78	а в	20	5
79	но в	19	5
80	как и	7	5
81	ко всему	4	5
82	именно в	4	5
83	что я	5	5
84	время и	3	5
85	в одном	2	5
86	я и	2	5
87	с ним	10	5
88	в каком	3	4
89	что это	2	4
90	тем самым	2	4
91	том что	22	4
92	нисколько не	4	4
93	что в	24	4
94	не по	2	4
95	и весь	2	4
96	чем не	2	4
97	о нем	9	4
98	прежде всего	5	4
99	в чем	4	4
100	здесь мы	4	4
101	в своих	7	4
102	для нас	9	4
103	меня не	2	4
104	с ними	2	4
105	при этом	5	4
106	всех своих	2	4
107	до конца	8	3
108	ничего не	4	3
109	в то	15	3
110	от него	3	3
111	здесь не	6	3
112	всех этих	3	3
113	от того	2	3
114	это и	2	3
115	тем что	2	3
116	и тем	2	3
117	для того	4	3
118	где он	5	3
119	в момент	2	3
120	себе и	2	3
121	и тот	2	3
122	по своему	5	3
123	его жизни	12	3
124	нет и	2	3
125	не менее	9	3
126	и ни	2	3
127	о том	13	3
128	не могу	2	3
129	мы здесь	2	3
130	что этот	4	3
131	в ней	5	3
132	в свою	3	3
133	меня и	3	3
134	котором он	2	3
135	этом смысле	4	3
136	во мне	2	3
137	и совершенно	2	3
138	и на	7	3
139	что не	3	3
140	того что	6	3
141	мы не	2	3
142	один и	2	3
143	из его	6	3
144	меня в	2	3
145	тот же	7	3
146	ясно что	2	3
147	и то	13	2
148	кажется что	3	2
149	и мы	6	2
150	и потому	8	2
151	я его	3	2
152	к которой	2	2
153	его к	3	2
154	его на	4	2
155	же с	22	2
156	дело в	7	2
157	то ни	2	2
158	к этому	11	2
159	дело не	3	2
160	это было	9	2
161	в это	6	2
162	философии но	2	2
163	философии в	3	2
164	к себе	2	2
165	а это	3	2
166	тем не	8	2
167	как к	4	2
168	и как	7	2
169	в виде	4	2
170	всей его	2	2
171	и других	2	2
172	в области	3	2
173	а с	5	2
174	что он	22	2
175	и за	3	2
176	нее в	2	2
177	так и	11	2
178	ни к	2	2
179	но этот	3	2
180	отношении к	2	2
181	жизнь и	3	2
182	его и	2	2
183	едва ли	3	2
184	в жизни	4	2
185	с тем	4	2
186	как в	6	2
187	этот факт	2	2
188	на первом	4	2
189	всей своей	2	2
190	она не	3	2
191	дело с	2	2
192	не из	2	2
193	еще более	3	2
194	ему в	4	2
195	вся эта	3	2
196	а по	3	2
197	если не	4	2
198	но я	4	2
199	он и	8	2
200	один из	4	2
201	и навсегда	2	2
202	это можно	3	2
203	него и	2	2
204	по себе	3	2
205	и просто	3	2
206	потому что	16	2
207	совсем не	7	2
208	которой он	7	2
209	раз и	4	2
210	того чтобы	4	2
211	в качестве	7	2
212	же время	7	2
213	первом плане	2	2
214	в этой	4	2
215	бы то	2	2
216	чтобы стать	2	2
217	с его	15	2
