N	2gram	Losev_Prob	VerxiiNi
1	и в	48	26
2	таким образом	20	22
3	с тем	7	18
4	в этом	31	15
5	вместе с	15	15
6	точки зрения	17	13
7	как бы	10	12
8	в том	25	11
9	не только	28	10
10	из этих	2	10
11	и с	10	10
12	может быть	11	10
13	что в	12	9
14	так как	10	9
15	в области	3	9
16	связи с	11	9
17	но и	21	9
18	но не	12	8
19	с другой	8	8
20	и у	8	8
21	и не	29	8
22	но все	6	7
23	в эпоху	5	7
24	к нему	3	7
25	потому что	21	7
26	одной стороны	5	7
27	из них	4	7
28	то что	26	7
29	с одной	5	7
30	но в	17	7
31	том что	29	7
32	а с	4	7
33	представление о	2	6
34	в отношении	8	6
35	все же	12	6
36	к тому	7	6
37	о том	17	6
38	того же	7	6
39	в себе	7	6
40	в конце	10	6
41	несмотря на	7	6
42	всяком случае	6	6
43	что и	8	6
44	с точки	13	6
45	все эти	12	6
46	все это	8	6
47	и потому	4	6
48	так и	15	6
49	во всяком	7	6
50	никогда не	7	5
51	одной из	5	5
52	и для	11	5
53	не имеет	3	5
54	так же	7	5
55	том числе	2	5
56	и к	9	5
57	в силу	6	5
58	отношение к	3	5
59	того чтобы	3	5
60	в его	19	5
61	крайней мере	8	5
62	богов и	4	5
63	для того	4	5
64	а не	7	5
65	тому же	5	5
66	по крайней	8	5
67	сих пор	3	5
68	до сих	3	5
69	и от	7	4
70	далеко не	6	4
71	боги и	3	4
72	а в	8	4
73	в котором	5	4
74	в самом	7	4
75	в нем	8	4
76	не может	6	4
77	в смысле	8	4
78	и тогда	4	4
79	богами и	3	4
80	что оно	2	4
81	и вместе	3	4
82	то есть	38	4
83	из которых	2	4
84	в виде	25	4
85	то же	6	4
86	должен был	2	4
87	и что	9	4
88	и по	2	4
89	в этих	3	4
90	только в	21	4
91	что он	12	4
92	и только	4	4
93	он не	4	4
94	в этой	14	4
95	в то	6	4
96	учение о	4	4
97	что это	4	3
98	в своем	16	3
99	из всех	2	3
100	с самого	3	3
101	так или	3	3
102	а после	2	3
103	если в	2	3
104	оказывается что	5	3
105	не вполне	2	3
106	к ним	3	3
107	точно так	4	3
108	или иначе	3	3
109	и если	2	3
110	уже не	12	3
111	хотя бы	11	3
112	и нет	4	3
113	к этому	2	3
114	в результате	11	3
115	с ней	3	3
116	в которой	7	3
117	в значительной	3	3
118	тем не	8	3
119	и даже	24	3
120	и как	10	3
121	если бы	2	3
122	всех богов	3	3
123	в других	5	3
124	при этом	6	3
125	всегда и	2	3
126	конце концов	7	3
127	не менее	8	3
128	как о	6	3
129	когда он	3	3
130	в качестве	9	3
131	и при	2	3
132	с этой	4	3
133	в связи	11	3
134	и другие	4	3
135	в таком	4	3
136	так что	18	3
137	случае не	2	3
138	ясно что	11	3
139	и о	9	3
140	но по	3	3
141	можно сказать	10	3
142	отношению к	2	3
143	в одном	6	3
144	того что	8	3
145	для него	2	3
146	по своему	3	2
147	мы видели	2	2
148	одно из	2	2
149	сказать что	13	2
150	от них	2	2
151	которые в	3	2
152	для этого	2	2
153	этой точки	2	2
154	о котором	4	2
155	смотреть на	2	2
156	и является	6	2
157	из этого	6	2
158	общего с	2	2
159	и это	3	2
160	или иной	4	2
161	не могут	3	2
162	а также	8	2
163	в россии	2	2
164	на то	2	2
165	в самой	5	2
166	для всех	2	2
167	добра и	2	2
168	и сейчас	2	2
169	он в	5	2
170	мы имеем	3	2
171	и люди	2	2
172	мы можем	5	2
173	есть как	2	2
174	в начале	6	2
175	свидетельствует о	4	2
176	и другой	2	2
177	ему в	3	2
178	вплоть до	2	2
179	на небе	2	2
180	больше чем	2	2
181	между тем	2	2
182	только что	2	2
183	к его	5	2
184	в свою	4	2
185	не как	3	2
186	именно в	11	2
187	конечно не	2	2
188	если не	6	2
189	тогда когда	4	2
190	в образе	2	2
191	что мы	4	2
192	в них	5	2
193	очень много	3	2
194	и на	9	2
195	уже в	4	2
196	еще не	4	2
197	по своей	3	2
198	все что	2	2
199	жизни и	7	2
200	иной раз	4	2
201	либо в	2	2
202	что именно	2	2
203	не было	4	2
204	самого начала	3	2
205	можно назвать	2	2
206	этом отношении	4	2
207	не в	16	2
208	не всегда	5	2
209	только для	5	2
210	и наконец	4	2
211	то ни	4	2
212	ничего общего	6	2
213	ни было	2	2
214	той или	5	2
215	в одно	6	2
216	и все	12	2
217	значительной мере	3	2
218	один из	2	2
219	уже давно	2	2
220	в виду	3	2
221	со всеми	5	2
222	и после	4	2
223	не к	3	2
224	людей и	13	2
225	силы и	2	2
226	прежде всего	15	2
227	его не	3	2
228	бы то	4	2
229	тот же	6	2
230	с его	3	2
231	после его	3	2
232	во всех	2	2
233	же самое	2	2
234	вслед за	2	2
235	по существу	2	2
