N	2gram	Nazirov_Vr	EvropaiE
1	и в	8	37
2	точки зрения	2	23
3	что в	7	21
4	не только	9	18
5	с точки	2	17
6	в то	5	16
7	то же	5	15
8	в своем	3	14
9	но в	6	14
10	но и	7	14
11	и не	5	14
12	же время	5	14
13	в этом	8	12
14	в том	3	11
15	т е	3	9
16	так же	4	9
17	не может	2	9
18	отнюдь не	2	9
19	в себе	2	9
20	между тем	5	8
21	в своей	2	8
22	а также	2	7
23	как и	6	7
24	том что	3	6
25	и даже	6	6
26	может быть	4	6
27	на то	3	6
28	то что	7	6
29	как бы	4	6
30	столь же	2	5
31	в россии	5	5
32	в той	2	5
33	же как	2	5
34	в ней	4	4
35	для нас	4	4
36	россии в	2	4
37	несмотря на	4	4
38	тем более	2	4
39	никогда не	2	3
40	о том	4	3
41	к ним	2	3
42	в свою	2	3
43	из них	2	3
44	в известном	2	3
45	в них	2	3
46	место в	2	3
47	тем что	3	3
48	по нашему	3	3
49	в мире	2	2
50	в его	3	2
51	начиная с	2	2
52	в эту	2	2
53	что к	2	2
54	при помощи	2	2
55	и то	2	2
56	как же	2	2
57	а в	2	2
58	в котором	6	2
59	его на	2	2
60	но как	2	2
61	далеко не	3	2
62	в своих	4	2
63	во многом	4	2
64	и с	6	2
65	и как	3	2
66	целый ряд	4	2
67	и что	8	2
68	и во	3	2
69	же в	2	2
70	и все	7	2
71	наряду с	3	2
72	таким образом	2	2
73	в истории	4	2
74	он не	3	2
75	в этой	2	2
76	вместе с	2	2
77	он сам	2	2
78	на основе	2	2
