N	2gram	Tiupa_Hudo	EvropaiC
1	таким образом	3	34
2	в том	20	31
3	и в	23	24
4	том что	9	20
5	все эти	2	19
6	не может	9	18
7	то что	5	18
8	может быть	19	17
9	точки зрения	11	14
10	в этом	12	13
11	все это	2	13
12	в своем	4	12
13	самом деле	2	12
14	между тем	4	12
15	по отношению	10	11
16	но и	14	11
17	отношению к	10	11
18	не только	20	10
19	так и	12	10
20	во всех	3	10
21	как и	3	10
22	культуры в	3	10
23	как бы	11	10
24	и не	16	9
25	не в	9	9
26	что в	7	9
27	того же	3	9
28	потому что	3	9
29	при этом	19	9
30	и что	4	9
31	так же	2	8
32	из этих	3	8
33	или менее	6	8
34	если бы	3	8
35	для того	5	8
36	к тому	4	8
37	более или	6	8
38	в самом	7	8
39	того чтобы	5	8
40	с точки	3	8
41	в силу	4	7
42	по своей	7	7
43	что он	5	7
44	того что	5	7
45	не менее	5	7
46	о том	2	7
47	из этого	2	7
48	что и	2	7
49	в этой	2	7
50	в мире	24	6
51	отличается от	2	6
52	только в	7	6
53	еще не	4	6
54	в то	8	6
55	и для	3	6
56	с другой	9	6
57	и на	3	6
58	несмотря на	2	6
59	начало и	2	6
60	тогда как	15	6
61	с ним	2	6
62	его в	4	5
63	в себе	13	5
64	в которой	3	5
65	как к	5	5
66	лишь в	7	5
67	так или	4	5
68	по своему	3	5
69	у него	2	5
70	далеко не	4	5
71	но в	10	5
72	столь же	2	5
73	именно в	2	5
74	или иначе	5	5
75	и к	3	5
76	другой стороны	6	5
77	в целом	3	5
78	не будет	3	5
79	между двумя	2	5
80	в его	11	5
81	быть и	2	5
82	никогда не	2	4
83	и то	4	4
84	для меня	2	4
85	то ни	2	4
86	тем не	3	4
87	отношение к	7	4
88	и т.д	4	4
89	иначе говоря	5	4
90	то же	12	4
91	в их	5	4
92	в области	8	4
93	а с	2	4
94	одним из	2	4
95	между собой	2	4
96	все прочие	3	4
97	и конец	2	4
98	из которых	2	4
99	в европейской	2	4
100	данный момент	2	4
101	связи с	3	4
102	в таком	3	4
103	он не	4	4
104	если мы	2	4
105	хотя и	4	4
106	даже в	3	3
107	тем самым	5	3
108	это не	4	3
109	и потому	2	3
110	тем более	2	3
111	ни было	2	3
112	с этой	3	3
113	в этих	4	3
114	в связи	3	3
115	одного и	3	3
116	вследствие этого	2	3
117	прежде всего	5	3
118	отличие от	7	3
119	с одной	3	3
120	одно из	2	3
121	в жизни	3	3
122	но не	13	3
123	и это	2	3
124	в данном	4	3
125	а в	13	3
126	бы то	2	3
127	может служить	2	3
128	на почве	4	3
129	не вполне	2	3
130	в нем	6	3
131	в сторону	2	3
132	и по	2	3
133	и может	2	3
134	в нашем	2	3
135	и того	3	3
136	заключается в	2	3
137	образом и	2	2
138	одна из	2	2
139	однако при	3	2
140	не от	2	2
141	то в	2	2
142	но как	2	2
143	и ее	3	2
144	что она	2	2
145	то есть	26	2
146	в другом	4	2
147	свою очередь	2	2
148	для себя	4	2
149	должен быть	2	2
150	этих двух	2	2
151	в виду	5	2
152	он должен	3	2
153	в частности	18	2
154	от себя	3	2
155	это может	2	2
156	а для	2	2
157	никто не	3	2
158	не знает	4	2
159	в одно	2	2
160	том и	2	2
161	для него	5	2
162	есть в	3	2
163	ни для	2	2
164	совершенно иной	2	2
165	тому что	2	2
166	к нему	3	2
167	в точке	3	2
168	в самой	2	2
169	их в	3	2
170	со временем	2	2
171	я в	13	2
172	во втором	4	2
173	в свою	3	2
174	одной стороны	3	2
175	но на	2	2
176	на этом	2	2
177	между ними	5	2
178	отнюдь не	2	2
179	в них	2	2
180	со своей	4	2
181	и некоторые	2	2
182	а затем	2	2
183	сводится к	11	2
184	с ними	2	2
185	говорить о	4	2
186	себя и	3	2
187	и особенно	2	2
188	и его	12	2
189	же время	7	2
190	с ее	6	2
191	и сам	3	2
192	не следует	4	2
193	во всей	3	2
194	и более	2	2
195	этого слова	2	2
196	в себя	4	2
197	имеет место	3	2
198	я не	2	2
199	вовсе не	2	2
200	в основе	7	2
201	при условии	2	2
202	и состоит	3	2
