N	3gram	Bakhtin_Fr	Morfolog
1	мы видим что	2	11
2	не может быть	2	9
3	в связи с	5	9
4	по отношению к	2	7
5	с точки зрения	4	6
6	подобно тому как	2	5
7	а также и	4	5
8	с другой стороны	5	5
9	на самом деле	5	4
10	но все же	2	4
11	в том что	2	4
12	о том что	3	3
13	в настоящее время	2	3
14	как и в	2	3
15	для того чтобы	5	3
16	в большинстве случаев	3	3
17	мы имеем в	2	2
18	и в других	3	2
19	во всяком случае	2	2
20	в данном случае	3	2
21	в этом отношении	4	2
22	до наших дней	5	2
23	может быть и	2	2
24	можно было бы	2	2
25	с одной стороны	4	2
