N	3gram	Bakhtin_Pr	Analitik
1	в том что	10	25
2	не может быть	8	19
3	по отношению к	17	18
4	в то же	10	16
5	о том что	5	15
6	той или иной	3	14
7	в данном случае	3	14
8	то же время	10	14
9	в отличие от	3	14
10	подобно тому как	5	9
11	с другой стороны	3	9
12	по крайней мере	3	9
13	в этом отношении	7	8
14	не только в	2	8
15	с точки зрения	21	8
16	во всяком случае	3	7
17	по природе своей	2	6
18	в русской литературе	2	5
19	но и не	2	5
20	в той или	2	5
21	в самом деле	5	4
22	том что он	4	4
23	для того чтобы	3	4
24	и в этом	8	4
25	в самом начале	3	4
26	и не может	3	4
27	в этом смысле	12	4
28	сама по себе	3	4
29	то ни было	2	3
30	то есть в	10	3
31	бы то ни	3	3
32	как раз и	2	3
33	и как бы	3	3
34	как нам кажется	2	3
35	хотя бы и	3	3
36	и сам автор	2	3
37	между тем как	4	3
38	можно сказать что	3	3
39	сами по себе	4	3
40	по нашему убеждению	2	3
41	в зависимости от	5	3
42	а не только	2	2
43	а в то	2	2
44	с самим собою	2	2
45	но в то	5	2
46	можно было бы	4	2
47	друг с другом	4	2
48	в том и	2	2
49	заключается в том	2	2
50	этой точки зрения	3	2
51	тем более что	2	2
52	до сих пор	3	2
53	смысле этого слова	2	2
54	и в сущности	2	2
