N	4gram	Vygotskiy_	Psycholo
1	заключается в том что	9	23
2	в то время как	7	13
3	одной и той же	5	12
4	с этой точки зрения	4	10
5	в том что она	2	7
6	в том что он	2	7
7	одно и то же	3	7
8	так же как и	2	5
9	все больше и больше	2	5
10	одним и тем же	2	4
11	ни в какой мере	2	4
12	в том что в	2	4
13	одного и того же	3	4
14	точно так же как	3	4
15	то же самое что	3	4
16	состоит в том что	3	4
17	в силу того что	6	4
18	и вместе с тем	2	3
19	для того чтобы сделать	2	3
20	мы могли бы сказать	4	3
21	в том смысле что	2	3
22	о которых мы говорили	3	3
23	в том что оно	3	2
24	что в этом случае	2	2
25	представление о том что	2	2
26	в одной и той	3	2
27	и не может быть	2	2
28	которых мы говорили выше	2	2
29	в какой мере не	2	2
30	заключается только в том	2	2
31	мы не можем не	2	2
32	в такой же мере	3	2
33	могли бы сказать что	4	2
34	с одной стороны и	4	2
35	только в том что	2	2
36	вместе с тем и	2	2
37	но вместе с тем	2	2
38	приводит к тому что	3	2
39	по самой своей природе	4	2
