N	2gram	Propp_Russ	Problemy
1	и в	59	106
2	и не	6	90
3	как бы	18	70
4	может быть	14	66
5	т е	41	59
6	в его	3	56
7	в этом	18	52
8	в нем	3	51
9	не может	6	49
10	что он	2	44
11	как и	19	44
12	но и	20	40
13	точки зрения	3	40
14	и его	2	39
15	а не	3	38
16	не только	28	36
17	то же	6	36
18	в пределах	2	35
19	то что	10	33
20	но в	5	33
21	прежде всего	2	32
22	в то	3	29
23	все это	12	29
24	и все	4	28
25	не в	2	27
26	в одном	4	27
27	к другому	2	27
28	к нему	3	25
29	с точки	3	25
30	и т	13	25
31	и с	12	25
32	и на	14	23
33	таким образом	10	22
34	в каждом	2	22
35	как мы	11	21
36	там где	3	21
37	все же	7	20
38	потому что	15	20
39	только в	4	20
40	что в	35	19
41	слова в	3	19
42	на самом	3	18
43	все эти	5	18
44	уже не	9	18
45	еще не	7	18
46	но не	7	18
47	это не	14	17
48	в том	33	17
49	так и	8	17
50	а в	16	17
51	и к	3	17
52	с ним	2	17
53	так же	7	16
54	до конца	5	15
55	и наконец	2	15
56	и для	3	15
57	у него	2	15
58	так как	25	14
59	в своем	3	14
60	с другим	2	14
61	его в	9	13
62	перед нами	2	13
63	и это	2	13
64	большинстве случаев	2	13
65	в целом	2	13
66	себя и	2	13
67	с другими	3	13
68	но все	3	13
69	в большинстве	2	13
70	том что	33	12
71	ничего не	4	12
72	так что	4	12
73	к тому	4	12
74	между тем	9	12
75	что и	8	12
76	при этом	11	12
77	было бы	3	12
78	но это	5	12
79	и как	2	12
80	как в	10	12
81	в котором	2	12
82	и что	8	12
83	в форме	3	11
84	она не	4	11
85	так чтобы	2	11
86	этого слова	3	11
87	должно быть	2	11
88	тем что	7	11
89	их в	7	11
90	входит в	4	11
91	мы уже	2	11
92	как будто	6	11
93	в него	2	10
94	как не	2	10
95	далеко не	5	10
96	приводит к	4	10
97	и потому	3	9
98	или в	7	9
99	могут быть	3	9
100	в них	10	9
101	хотя и	3	9
102	что у	3	9
103	но он	3	9
104	мы должны	3	8
105	уже в	2	8
106	одним из	2	8
107	и о	4	8
108	того что	6	8
109	несмотря на	4	8
110	же не	2	8
111	с ними	6	8
112	и до	3	8
113	не на	2	8
114	и от	2	8
115	что это	4	8
116	он есть	2	8
117	мы увидим	8	8
118	о том	14	8
119	и у	5	8
120	и так	2	8
121	из них	12	8
122	вопрос о	4	7
123	его к	3	7
124	и следовательно	2	7
125	в этих	3	7
126	но эта	2	7
127	в их	5	7
128	в виде	10	7
129	в виду	3	7
130	и др	4	7
131	его и	2	7
132	только на	4	7
133	что все	2	7
134	что они	8	7
135	и ее	3	7
136	например в	3	7
137	тот же	2	7
138	в жизни	2	7
139	его с	4	7
140	что она	4	7
141	т д	12	7
142	и их	4	7
143	такой же	3	7
144	во всех	6	7
145	на этот	3	7
146	не было	3	7
147	как он	2	6
148	отличие от	4	6
149	а с	6	6
150	по существу	7	6
151	не менее	3	6
152	но эти	3	6
153	и во	2	6
154	во время	23	6
155	должна была	6	6
