N	2gram	Vygotskiy_	Poddanst
1	не только	36	17
2	и в	47	14
3	и не	27	12
4	в области	5	11
5	в этом	47	10
6	в отношении	9	10
7	но в	9	9
8	то же	16	9
9	в том	38	9
10	в качестве	9	9
11	в пределах	3	8
12	в то	10	7
13	только в	24	7
14	но и	19	6
15	было бы	12	6
16	в смысле	9	6
17	в ней	5	6
18	с другой	7	5
19	не в	7	5
20	и о	4	5
21	в которых	3	5
22	отношении к	4	5
23	может быть	20	5
24	по себе	5	4
25	что в	23	4
26	если бы	8	4
27	но также	3	4
28	и потому	3	4
29	в своем	3	4
30	том что	28	4
31	мы должны	7	4
32	в котором	6	4
33	и к	11	4
34	как бы	13	4
35	то что	40	4
36	не может	23	4
37	а в	3	4
38	что мы	14	3
39	и как	7	3
40	с тем	8	3
41	в порядке	3	3
42	но не	13	3
43	тем самым	14	3
44	это не	6	3
45	с точки	31	3
46	столь же	2	3
47	мы не	10	3
48	для того	24	3
49	в себе	14	3
50	точки зрения	39	3
51	потому что	26	3
52	одной стороны	7	3
53	в нем	6	3
54	между тем	2	3
55	и без	2	3
56	она есть	2	3
57	могут быть	7	3
58	прежде всего	9	3
59	хотя и	4	3
60	с одной	7	3
61	заключается в	14	3
62	наряду с	2	3
63	для нас	4	2
64	должно быть	3	2
65	переход от	5	2
66	в них	3	2
67	является в	7	2
68	если в	6	2
69	одна из	2	2
70	есть не	3	2
71	отношения к	5	2
72	никак не	5	2
73	своем значении	2	2
74	стороны и	6	2
75	и это	2	2
76	слова но	3	2
77	и тем	10	2
78	и других	5	2
79	в его	7	2
80	с этим	5	2
81	по сравнению	23	2
82	в ряду	3	2
83	сказывается в	2	2
84	не менее	6	2
85	время в	3	2
86	именно в	9	2
87	в начале	6	2
88	в виде	2	2
89	все это	5	2
90	в частности	4	2
91	значительной мере	2	2
92	том числе	2	2
93	как на	8	2
94	друг другу	5	2
95	а не	7	2
96	во всей	3	2
97	и есть	4	2
98	например в	5	2
99	из важнейших	4	2
100	и с	5	2
101	может и	3	2
102	на этих	2	2
103	во всех	9	2
104	в ее	7	2
105	заключает в	2	2
106	как раз	6	2
107	есть в	5	2
108	в сфере	8	2
109	нужно было	4	2
110	в значительной	3	2
111	того что	27	2
112	в силу	21	2
113	из них	2	2
114	отнюдь не	2	2
