N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	10	47
2	по отношению к	17	26
3	не может быть	8	19
4	по крайней мере	3	17
5	само по себе	4	14
6	то же время	10	13
7	в то же	10	13
8	во всяком случае	3	12
9	с другой стороны	3	12
10	до сих пор	3	12
11	смысле этого слова	2	12
12	и в этом	8	12
13	подобно тому как	5	11
14	сами по себе	4	11
15	для того чтобы	3	11
16	то что я	2	10
17	в то время	3	10
18	о том что	5	9
19	потому что не	2	9
20	на самом деле	4	8
21	то есть не	3	8
22	можно сказать что	3	7
23	не только в	2	7
24	с точки зрения	21	7
25	и в том	2	7
26	сама по себе	3	7
27	в этом смысле	12	7
28	и как бы	3	6
29	может быть только	3	6
30	с самого начала	3	6
31	друг от друга	2	6
32	таким образом в	2	5
33	между тем как	4	5
34	то же что	3	5
35	все то что	3	4
36	в том и	2	4
37	в данном случае	3	4
38	именно в том	2	4
39	в этом отношении	7	4
40	то время как	2	4
41	но не в	2	4
42	бы то ни	3	3
43	то есть в	10	3
44	этой точки зрения	3	3
45	том что он	4	3
46	нам кажется что	2	3
47	можно было бы	4	3
48	том и другом	2	3
49	потому что он	2	3
50	в большинстве случаев	3	3
51	хотя бы и	3	3
52	но это не	3	3
53	заключается в том	2	3
54	это не значит	3	3
55	в одном из	3	3
56	но с другой	2	3
57	а не как	4	2
58	таким образом уже	2	2
59	друг к другу	4	2
60	только в нем	2	2
61	по себе еще	2	2
62	в себе все	2	2
63	так же как	4	2
64	можем сказать что	2	2
65	только то что	2	2
66	но не только	2	2
67	не потому что	3	2
68	как мы видели	3	2
69	то ни было	2	2
70	к нему как	2	2
71	себе еще не	2	2
72	в его сознании	2	2
73	и не может	3	2
74	а может быть	2	2
75	но все же	3	2
