N	2gram	Tiupa_Teor	Tvorches
1	и в	24	56
2	как бы	8	41
3	в его	12	37
4	в романе	3	34
5	в то	9	30
6	то же	12	25
7	не только	24	24
8	но в	12	24
9	в году	2	24
10	же время	8	24
11	то есть	22	23
12	и его	11	23
13	и не	17	23
14	а в	15	23
15	как и	6	23
16	в этом	12	22
17	в том	20	21
18	что в	10	21
19	том что	11	19
20	он не	5	19
21	может быть	22	19
22	потому что	3	19
23	у него	2	18
24	то что	6	18
25	что он	4	17
26	все это	2	17
27	и на	2	17
28	таким образом	3	17
29	никогда не	4	16
30	прежде всего	3	16
31	как в	5	16
32	при этом	20	16
33	не может	8	16
34	но и	14	16
35	xix века	2	15
36	в этой	3	15
37	с его	6	15
38	в мире	26	15
39	это не	4	14
40	и даже	2	14
41	времени в	2	13
42	о том	2	13
43	а не	14	13
44	тем самым	6	12
45	в целом	4	12
46	в своей	8	11
47	для него	5	11
48	отнюдь не	3	11
49	в конце	2	10
50	не в	9	10
51	так и	14	10
52	в русской	6	10
53	но не	13	10
54	в самом	7	10
55	только в	9	10
56	как будто	2	10
57	в свою	4	9
58	в нем	7	9
59	один из	2	9
60	а затем	2	9
61	жизни в	2	9
62	в душе	9	9
63	первой части	2	9
64	даже в	3	8
65	так же	2	8
66	в себе	14	8
67	человека и	2	8
68	по сути	5	8
69	в их	4	8
70	одной из	2	8
71	не менее	6	8
72	тогда как	18	8
73	вовсе не	3	8
74	об этом	2	8
75	в соответствии	3	8
76	еще не	6	8
77	одним из	3	8
78	именно в	3	8
79	соответствии с	2	8
80	хотя и	4	8
81	вместе с	2	8
82	казалось бы	2	7
83	самом деле	2	7
84	читателя в	4	7
85	своего рода	11	7
86	в чем	2	7
87	например в	3	7
88	что она	2	7
89	в которой	3	7
90	в этих	4	7
91	в рассказе	2	7
92	русской литературе	2	7
93	не случайно	5	7
94	уже не	6	7
95	сути дела	3	7
96	и сам	4	7
97	его в	4	6
98	приводит к	6	6
99	в повести	2	6
100	место в	7	6
101	не столько	7	6
102	все эти	3	6
103	в принципе	7	6
104	и ее	4	6
105	конечном счете	6	6
106	и как	3	6
107	если бы	3	6
108	в конечном	6	6
109	в момент	3	6
110	по отношению	10	5
111	в своем	7	5
112	а с	3	5
113	в них	2	5
114	и это	2	5
115	самим собой	4	5
116	что и	2	5
117	в ее	6	5
118	и по	3	5
119	более не	2	5
120	что они	2	5
121	во всей	3	5
122	в первой	6	5
123	дело не	2	5
124	на деле	2	5
125	между тем	5	5
126	героя и	6	5
127	и другие	2	5
128	отношению к	10	5
129	в литературе	4	5
130	с другой	9	5
131	как правило	5	5
132	я не	2	5
133	в таком	3	5
134	перед нами	3	4
135	и потому	3	4
136	в произведениях	2	4
137	роль в	3	4
138	это и	2	4
139	только на	2	4
140	в частности	23	4
141	как это	10	4
142	отличие от	7	4
143	не знает	4	4
144	того что	5	4
145	к нему	2	4
146	точки зрения	11	4
147	так в	4	4
148	могут быть	5	4
149	а а	5	4
150	однако в	7	4
151	о жизни	2	4
152	для автора	2	4
153	с ними	2	4
154	о его	2	4
155	который в	2	4
156	в основе	6	4
157	восходит к	2	4
158	по преимуществу	5	4
159	дело в	2	4
160	себя в	7	4
161	говорит что	2	4
