N	2gram	Tiupa_Vved	TeoriaLi
1	в качестве	18	33
2	в мире	9	26
3	не только	32	24
4	и в	23	24
5	в частности	19	23
6	то есть	13	22
7	состоит в	23	22
8	может быть	25	22
9	в том	21	20
10	при этом	43	20
11	в тексте	11	19
12	тогда как	16	18
13	и не	24	17
14	а в	15	15
15	но и	31	14
16	так и	14	14
17	а не	31	14
18	в себе	15	14
19	в рамках	5	13
20	такого рода	23	13
21	но не	9	13
22	представляет собой	18	13
23	от лат	6	12
24	в этом	27	12
25	то же	8	12
26	но в	14	12
27	сводится к	6	12
28	в его	9	12
29	том что	16	11
30	внутреннего зрения	2	11
31	художественного текста	2	11
32	своего рода	20	11
33	и его	9	11
34	по отношению	11	10
35	лишь в	4	10
36	отношению к	11	10
37	как это	2	10
38	коммуникативного события	8	10
39	что в	6	10
40	в данном	22	9
41	не сводится	7	9
42	не в	12	9
43	с другой	10	9
44	в то	5	9
45	только в	9	9
46	всего лишь	7	8
47	не может	14	8
48	по своей	4	8
49	как бы	8	8
50	присутствия в	7	8
51	в своей	10	8
52	же время	4	8
53	или иной	5	7
54	в своем	9	7
55	а также	12	7
56	мы имеем	8	7
57	себя в	4	7
58	отношение к	5	7
59	в принципе	3	7
60	в области	5	7
61	на смену	2	7
62	отличие от	11	7
63	художественного письма	9	7
64	в самом	6	7
65	в отличие	11	7
66	однако в	9	7
67	место в	2	7
68	не столько	5	7
69	и т.п	14	7
70	в нем	9	7
71	тем самым	6	6
72	другой стороны	3	6
73	конечном счете	2	6
74	в конечном	2	6
75	со стороны	15	6
76	не менее	4	6
77	героя и	5	6
78	еще не	8	6
79	то что	9	6
80	или менее	2	6
81	как и	21	6
82	более или	2	6
83	или иначе	2	6
84	картина мира	17	6
85	уже не	7	6
86	приводит к	2	6
87	в состав	5	6
88	в основе	6	6
89	данном случае	15	5
90	как в	8	5
91	как правило	6	5
92	иначе говоря	8	5
93	в виду	3	5
94	и тем	3	5
95	по сути	5	5
96	в ходе	3	5
97	не является	7	5
98	и о	4	5
99	в пределах	3	5
100	для него	5	5
101	за пределами	3	5
102	между тем	3	5
103	могут быть	5	5
104	жизни как	2	5
105	не предполагает	2	5
106	воспринимающего сознания	2	5
107	того чтобы	2	5
108	того что	7	5
109	он не	6	5
110	композиционных форм	2	5
111	можно сказать	6	5
112	никогда не	6	4
113	это не	7	4
114	во времени	2	4
115	так в	5	4
116	и ее	2	4
117	в другом	2	4
118	в силу	2	4
119	и т.д	6	4
120	в их	2	4
121	в этих	5	4
122	что он	2	4
123	в текстах	2	4
124	по своему	3	4
125	в литературе	2	4
126	далеко не	5	4
127	к тому	9	4
128	а только	3	4
129	слова в	3	4
130	мира и	5	4
131	входит в	2	4
132	в свою	5	4
133	в целом	4	4
134	со своей	4	4
135	и того	3	4
136	и что	2	4
137	говорить о	5	4
138	или даже	2	4
139	не на	3	4
140	с ее	3	4
141	и сам	2	4
142	не следует	3	4
143	без исключения	2	4
144	в нашем	9	4
145	не знает	2	4
146	в слове	4	4
147	хотя и	10	4
148	художественного целого	2	4
149	но он	2	4
150	даже в	3	3
151	в художественной	2	3
152	перед нами	13	3
153	и притом	3	3
154	в соответствии	8	3
155	и потому	2	3
156	следует подчеркнуть	5	3
157	во всех	2	3
158	сводятся к	2	3
159	из этих	5	3
160	одной стороны	9	3
161	о чем	4	3
162	не все	2	3
163	и для	8	3
164	картины мира	12	3
165	это позиция	2	3
166	тем не	3	3
167	и как	2	3
168	если бы	10	3
169	к которому	2	3
170	роль в	2	3
171	или в	3	3
172	и адресата	6	3
173	мира в	8	3
174	подобно тому	3	3
175	художественного высказывания	2	3
176	свою очередь	5	3
177	в культуре	2	3
178	в таком	2	3
179	одним из	5	3
180	по мысли	5	3
181	а именно	3	3
182	несет в	4	3
183	и вот	3	3
184	ни к	3	3
185	в романе	6	3
186	между собой	2	3
187	с одной	9	3
188	и др	2	3
189	в итоге	4	3
190	а с	4	3
191	не с	4	3
192	и составляет	3	3
193	есть в	2	3
194	в жизни	7	3
195	для себя	2	3
196	в точке	4	3
197	в контексте	4	3
198	столь же	3	3
199	их в	3	3
200	потому что	7	3
201	сути дела	4	3
202	с языком	2	3
203	тому как	3	3
204	во втором	4	3
205	являет собой	5	3
206	структуре текста	2	3
207	прежде всего	11	3
208	к его	5	3
209	человеческой жизни	4	3
210	и к	2	3
211	отнюдь не	14	3
212	мог бы	2	3
213	от себя	2	3
214	классического реализма	2	3
215	своей природе	2	3
216	а на	4	3
217	о ней	4	3
218	не обязательно	2	3
219	той или	5	3
220	и по	3	3
221	связи с	2	3
222	таким образом	6	3
223	нового времени	5	3
224	в финале	4	3
225	принадлежит к	3	3
226	например в	2	3
227	оказывается в	3	3
228	в этой	2	3
229	имеет место	6	3
230	в одном	5	3
231	как раз	5	3
232	текста в	3	3
233	вслед за	3	3
234	между двумя	5	3
235	может служить	4	2
236	еще и	2	2
237	ключ к	2	2
238	но она	2	2
239	к одному	2	2
240	могла бы	3	2
241	в кадры	3	2
242	значительной степени	2	2
243	идет о	3	2
244	своего текста	2	2
245	восходит к	2	2
246	так же	2	2
247	если в	3	2
248	жизни на	2	2
249	сознания в	4	2
250	тем более	3	2
251	дело не	2	2
252	адресата а	2	2
253	не всегда	2	2
254	при всей	3	2
255	что она	2	2
256	с их	2	2
257	с легкой	2	2
258	случае это	4	2
259	об этом	5	2
260	писал бахтин	3	2
261	но на	2	2
262	и даже	3	2
263	причастной вненаходимости	2	2
264	в конце	3	2
265	в войне	2	2
266	и мире	2	2
267	и здесь	2	2
268	противном случае	2	2
269	времени и	7	2
270	жизни в	5	2
271	в значительной	2	2
272	от своего	2	2
273	высказывания как	3	2
274	у нас	4	2
275	к своему	2	2
276	только на	2	2
277	или напротив	3	2
278	новейшего времени	3	2
279	вследствие этого	5	2
280	своей жизни	3	2
281	у него	8	2
282	самом деле	6	2
283	в рассказе	15	2
284	коммуникативное событие	10	2
285	ведет к	2	2
286	мастера и	2	2
287	легкой руки	2	2
288	в чем	2	2
289	вместе с	2	2
290	не могло	2	2
291	нашем случае	3	2
292	в какой	4	2
293	перед лицом	4	2
294	вследствие этой	2	2
295	на фоне	3	2
296	в аспекте	3	2
297	здесь мы	2	2
298	с человеком	2	2
299	поскольку не	2	2
300	к нему	2	2
301	и маргариты	2	2
302	чем и	2	2
303	всей своей	4	2
304	тот кто	2	2
305	всей его	2	2
306	а для	2	2
307	и это	2	2
308	создает эффект	2	2
309	тому что	2	2
310	о том	7	2
311	речевой деятельности	2	2
312	что такое	23	2
313	строго говоря	2	2
314	могли бы	3	2
315	не вполне	4	2
316	которая в	3	2
317	и мира	5	2
318	оно не	2	2
319	должен быть	3	2
320	следует признать	6	2
321	и на	5	2
322	на себя	5	2
323	не входит	2	2
324	соответствии с	8	2
325	значения и	2	2
326	и соответственно	4	2
327	в году	2	2
328	войне и	2	2
329	о жизни	2	2
330	в европейской	2	2
331	участок текста	2	2
332	для обозначения	2	2
333	всякий раз	2	2
334	он и	2	2
335	один из	3	2
336	в них	4	2
337	по себе	2	2
338	речь идет	3	2
339	несмотря на	2	2
340	здесь не	2	2
341	и рецептивного	2	2
342	в следующей	2	2
343	в той	5	2
344	по бахтину	2	2
345	это своего	3	2
346	к жизни	2	2
347	что и	6	2
348	в случае	4	2
349	с ними	2	2
350	в противном	2	2
351	заключается в	2	2
352	не просто	2	2
353	все это	3	2
354	более не	2	2
355	что они	2	2
356	времени в	3	2
357	как будто	6	2
358	текста выступает	2	2
359	в первом	3	2
360	человеческих отношений	2	2
361	жизни то	2	2
362	по большей	4	2
363	обращается к	2	2
364	могут служить	3	2
365	который в	5	2
366	не принадлежит	2	2
367	и который	2	2
368	большей части	4	2
369	имеем дело	5	2
370	основе своей	2	2
371	на основе	2	2
372	быть и	2	2
373	вненаходимости бахтин	2	2
