N	2gram	Savitsky_P	DiskursI
1	в качестве	9	72
2	а не	2	60
3	может быть	5	56
4	не только	17	49
5	и в	14	49
6	в том	9	44
7	и не	12	44
8	том что	4	40
9	в этом	10	38
10	в себе	3	37
11	в частности	2	36
12	но и	6	35
13	но не	3	31
14	со стороны	2	28
15	но в	9	28
16	не может	4	27
17	отнюдь не	2	23
18	а также	4	20
19	прежде всего	3	19
20	в нем	3	19
21	то же	9	17
22	с другой	5	17
23	в мире	2	17
24	точки зрения	3	16
25	только в	7	16
26	в его	2	15
27	то что	4	15
28	это не	3	14
29	не в	5	14
30	не менее	2	14
31	одной стороны	3	14
32	с одной	3	14
33	как бы	4	13
34	в своем	4	12
35	что в	4	11
36	и как	3	11
37	столь же	3	11
38	не было	2	11
39	а в	4	10
40	не столько	2	10
41	же время	7	10
42	тем самым	3	9
43	в то	7	9
44	в силу	2	9
45	между тем	3	9
46	в них	2	9
47	сводится к	3	9
48	и о	5	8
49	потому что	3	8
50	хотя и	3	8
51	если в	2	8
52	в котором	4	8
53	из них	2	8
54	могут быть	3	7
55	например в	2	7
56	в пределах	8	7
57	в русской	4	7
58	именно в	2	6
59	в ее	2	6
60	одна из	2	6
61	во всех	2	6
62	в которых	5	6
63	с точки	3	6
64	и потому	4	5
65	того что	2	5
66	стороны и	2	5
67	в ряду	2	5
68	было в	2	5
69	переход от	2	5
70	мысль о	2	5
71	я и	3	5
72	в значительной	2	5
73	как раз	2	5
74	говорить о	2	5
75	не к	2	5
76	в ней	6	5
77	не о	2	4
78	более чем	2	4
79	и тем	2	4
80	может и	2	4
81	и это	2	4
82	полной мере	2	4
83	в полной	2	4
84	есть в	2	4
85	в жизни	2	4
86	в е	2	4
87	и к	4	4
88	по себе	4	4
89	и весьма	2	4
90	и есть	2	4
91	в области	11	3
92	как на	2	3
93	в сочетании	2	3
94	было бы	6	3
95	мы не	3	3
96	том числе	2	3
97	да и	2	3
98	с этим	2	3
99	в начале	2	3
100	из важнейших	2	3
101	хотя бы	8	3
102	но также	4	3
103	заключается в	3	3
104	отношения к	2	3
105	является в	2	3
106	к чему	2	3
107	мира с	2	3
108	и без	3	3
109	в отношении	10	2
110	своем значении	2	2
111	мы должны	4	2
112	вслед за	3	2
113	есть не	2	2
114	сами по	3	2
115	начала и	2	2
116	в россии	3	2
117	каждый в	2	2
118	все это	2	2
119	ей в	3	2
120	и и	2	2
121	подошел к	2	2
122	время в	2	2
123	тем более	2	2
124	должно быть	2	2
125	не нужно	2	2
126	если бы	4	2
127	в xix	2	2
128	для того	3	2
129	отношении к	5	2
130	заключает в	2	2
131	еще более	2	2
132	и с	2	2
133	одних и	2	2
