N	2gram	Medvedev_F	Problemy
1	и в	54	106
2	и не	34	90
3	как бы	10	70
4	может быть	30	66
5	т е	50	59
6	в его	30	56
7	в этом	39	52
8	в нем	25	51
9	не может	26	49
10	что он	8	44
11	как и	18	44
12	но и	18	40
13	точки зрения	21	40
14	для него	9	39
15	и его	27	39
16	а не	11	38
17	не только	14	36
18	то же	16	36
19	в пределах	13	35
20	то что	14	33
21	но в	9	33
22	прежде всего	34	32
23	в то	14	29
24	все это	11	29
25	он не	8	29
26	и все	9	28
27	не в	16	27
28	в одном	2	27
29	к другому	2	27
30	же время	13	26
31	к нему	3	25
32	в сущности	3	25
33	с точки	17	25
34	и т	22	25
35	в самом	17	25
36	и с	17	25
37	самом деле	12	24
38	не как	7	24
39	вовсе не	18	24
40	слова и	5	23
41	и на	10	23
42	таким образом	28	22
43	в каждом	3	22
44	по себе	10	22
45	как мы	10	21
46	там где	3	21
47	никогда не	6	20
48	все же	8	20
49	потому что	2	20
50	только в	6	20
51	что в	10	19
52	с его	12	19
53	отношению к	4	19
54	слова в	2	19
55	что же	6	19
56	на самом	8	18
57	в себе	4	18
58	по отношению	4	18
59	т п	11	18
60	все эти	12	18
61	уже не	9	18
62	еще не	6	18
63	но не	5	18
64	это не	4	17
65	в том	17	17
66	так и	24	17
67	а в	11	17
68	и к	7	17
69	с ним	3	17
70	так же	5	16
71	в другом	2	16
72	если бы	8	16
73	в своей	16	16
74	этом смысле	3	16
75	до конца	9	15
76	о мире	2	15
77	и наконец	7	15
78	и для	5	15
79	в отношении	3	14
80	так как	4	14
81	в своем	12	14
82	в конце	2	14
83	лишь в	15	14
84	он и	3	14
85	как раз	8	14
86	а как	5	14
87	его в	5	13
88	перед нами	3	13
89	и это	4	13
90	большинстве случаев	5	13
91	в целом	7	13
92	с другими	11	13
93	в мире	4	13
94	на него	3	13
95	но все	4	13
96	в большинстве	6	13
97	точка зрения	3	13
98	том что	3	12
99	слово в	2	12
100	даже в	2	12
101	ничего не	5	12
102	так что	2	12
103	к тому	6	12
104	между тем	4	12
105	что и	10	12
106	при этом	14	12
107	было бы	10	12
108	во всяком	6	12
109	так сказать	6	12
110	но это	4	12
111	за пределы	2	12
112	и даже	7	12
113	и как	6	12
114	как в	12	12
115	отношении к	2	12
116	в котором	2	12
117	и что	2	12
118	не могут	8	11
119	в форме	2	11
120	слово и	2	11
121	конце концов	2	11
122	она не	8	11
123	дело идет	6	11
124	ни одного	2	11
125	этого слова	4	11
126	должно быть	13	11
127	бы в	6	11
128	тем что	6	11
129	с другой	8	11
130	их в	2	11
131	более того	6	11
132	входит в	8	11
133	к одному	2	10
134	в произведении	2	10
135	отношение к	4	10
136	в него	2	10
137	говорит он	7	10
138	что не	4	10
139	самого начала	2	10
140	до сих	7	10
141	сих пор	7	10
142	лишь как	7	10
143	далеко не	2	10
144	в самой	2	10
145	приводит к	4	10
146	той же	2	10
147	в слове	4	10
148	и потому	9	9
149	в единстве	8	9
150	с самого	2	9
151	или в	2	9
152	могут быть	7	9
153	в них	4	9
154	раз и	6	9
155	хотя и	3	9
156	другой стороны	5	9
157	хотя бы	10	9
158	ни в	3	9
159	всяком случае	6	9
160	в той	3	9
161	но он	2	9
162	но как	2	8
163	его целом	8	8
164	наконец в	3	8
165	как к	5	8
166	это и	7	8
167	вот как	3	8
168	и о	3	8
169	того что	7	8
170	здесь не	5	8
171	несмотря на	2	8
172	нам кажется	2	8
173	и до	8	8
174	не на	3	8
175	должна быть	11	8
176	из его	2	8
177	и от	9	8
178	менее всего	4	8
179	все время	7	8
180	с их	2	8
181	мы увидим	5	8
182	был бы	2	8
183	ни было	2	8
184	в результате	8	8
185	из них	5	8
186	же и	2	8
187	не о	7	7
188	вопрос о	3	7
189	от него	2	7
190	в этих	3	7
191	но эта	2	7
192	в их	16	7
193	в виде	2	7
194	и со	3	7
195	в виду	2	7
196	и др	8	7
197	его и	2	7
198	в процессе	17	7
199	он в	3	7
200	только на	8	7
201	не входит	2	7
202	между ними	3	7
203	то ни	5	7
204	что они	4	7
205	и ее	15	7
206	бы то	4	7
207	сказать что	3	7
208	ее как	2	7
209	в жизни	3	7
210	его с	5	7
211	друг другу	2	7
212	отличается от	4	7
213	т д	11	7
214	сама по	2	7
215	и их	13	7
216	такой же	2	7
217	во всех	9	7
218	если же	4	7
219	со всею	5	7
220	не было	7	7
221	как его	3	7
222	стиля и	2	6
223	здесь с	2	6
224	идет о	3	6
225	все те	2	6
226	как он	2	6
227	изображения и	4	6
228	отличие от	2	6
229	по существу	8	6
230	не менее	12	6
231	и этим	2	6
232	в художественном	5	6
233	на его	2	6
234	у тургенева	2	6
235	и во	2	6
236	должна была	2	6
237	и здесь	8	6
238	одна из	2	6
239	для этого	6	6
240	с этим	6	6
241	время не	2	6
242	во всем	3	6
243	зависимости от	5	6
244	кроме того	3	6
245	превращается в	2	6
246	и вот	2	6
247	но ведь	4	6
248	но для	4	6
249	друг друга	4	6
250	в отличие	2	6
251	и пр	30	6
252	и только	5	6
253	слова как	2	6
254	в этой	10	6
255	на то	2	6
256	на почве	20	6
257	в своих	3	6
258	этот вопрос	2	6
259	в другой	2	6
260	на этом	2	6
261	жизни и	10	6
262	конечно не	5	6
263	что было	2	6
264	в основе	7	6
265	как на	5	6
266	на фоне	7	6
267	отношения к	6	6
268	нисколько не	2	5
269	к которому	2	5
270	для других	2	5
271	но именно	2	5
272	является лишь	5	5
273	была бы	4	5
274	со всеми	3	5
275	мире а	2	5
276	с тем	11	5
277	тому что	3	5
278	они не	7	5
279	в общем	8	5
280	в чем	2	5
281	один из	4	5
282	в такой	3	5
283	в зависимости	4	5
284	мы не	6	5
285	функции в	2	5
286	в ее	10	5
287	в последнем	2	5
288	отношением к	2	5
289	его как	5	5
290	мира в	2	5
291	та же	3	5
292	на материале	2	5
293	совершенно не	5	5
294	нет и	2	5
295	ни на	5	5
296	именно в	12	5
297	когда он	3	5
298	же что	2	5
299	сам по	2	5
300	высшей степени	4	5
301	в высшей	4	5
302	быть и	5	5
303	в ней	15	5
304	вместе с	8	5
305	тем не	2	4
306	стороны и	4	4
307	тому чтобы	2	4
308	и лишь	4	4
309	мысли в	2	4
310	как их	4	4
311	от того	2	4
312	является в	2	4
313	и прежде	3	4
314	ни были	2	4
315	б м	4	4
316	под влиянием	3	4
317	он должен	4	4
318	а вовсе	2	4
319	в формах	4	4
320	или менее	7	4
321	смысле этого	4	4
322	каждый из	3	4
323	не то	3	4
324	мы видели	5	4
325	от них	2	4
326	как предмет	3	4
327	установка на	3	4
328	в эту	3	4
329	более или	7	4
330	в сторону	4	4
331	даже и	5	4
332	что оно	4	4
333	оно должно	3	4
334	на котором	2	4
335	здесь в	2	4
336	не была	2	4
337	каждый элемент	4	4
338	связи с	12	4
339	войти в	2	4
340	в первом	8	4
341	во всей	4	4
342	в чужом	2	4
343	без исключения	2	4
344	материал и	2	4
345	быть даже	2	4
346	в первой	2	4
347	всего этого	6	4
348	к миру	2	4
349	нет в	2	4
350	то в	3	4
351	характер и	2	4
352	художественной воли	5	4
353	то и	2	4
354	в литературе	6	4
355	особенно в	6	4
356	всех этих	6	4
357	в которой	5	4
358	это было	3	4
359	с ее	7	4
360	как если	2	4
361	что если	2	4
362	этом отношении	7	4
363	с этой	4	4
364	всем этим	2	4
365	жизнь и	3	4
366	только так	2	4
367	сами по	4	4
368	речи и	2	4
369	что такое	2	4
370	еще более	6	4
371	установкой на	2	4
372	и если	2	4
373	оно не	6	4
374	не есть	4	4
375	а лишь	4	4
376	еще в	2	4
377	все в	3	4
378	и действительно	2	4
379	перестает быть	3	4
380	слово у	2	4
381	бы ни	5	4
382	таким же	2	4
383	вполне понятно	2	4
384	данном случае	2	3
385	чтобы не	2	3
386	или даже	3	3
387	лишь о	2	3
388	следовательно и	2	3
389	не для	4	3
390	бытия в	3	3
391	в конкретном	4	3
392	вступает в	2	3
393	и отчасти	6	3
394	в настоящее	11	3
395	ни одной	2	3
396	есть только	3	3
397	к другим	4	3
398	же степени	2	3
399	может войти	2	3
400	у толстого	2	3
401	целом ряде	2	3
402	жизни а	2	3
403	в основном	3	3
404	мы знаем	3	3
405	в структуре	2	3
406	согласиться с	2	3
407	это последнее	3	3
408	значение для	2	3
409	именно как	14	3
410	и само	2	3
411	так в	3	3
412	что на	3	3
413	настоящее время	11	3
414	является для	2	3
415	почти не	2	3
416	всего в	5	3
417	совсем не	2	3
418	того чтобы	4	3
419	функций в	2	3
420	между двумя	3	3
421	и по	3	3
422	же в	4	3
423	е в	2	3
424	можно сказать	2	3
425	должны быть	6	3
426	в других	5	3
427	ее в	3	3
428	одной из	2	3
429	того или	6	3
430	в данном	2	3
431	какой бы	2	3
432	из этих	4	3
433	а к	2	3
434	себе а	2	3
435	говорить о	4	3
436	по преимуществу	6	3
437	как такового	8	3
438	значение в	4	3
439	тенденция к	2	3
440	но конечно	2	3
441	и всякое	5	3
442	не является	3	3
443	у нас	6	3
444	не с	2	3
445	он является	2	3
446	на нее	2	3
447	этими двумя	2	3
448	самом предмете	2	3
449	в смысле	2	3
450	если мы	5	3
451	как таковой	8	3
452	места в	2	3
453	но что	2	3
454	только не	2	3
455	не из	5	3
456	не должна	7	3
457	правда в	3	3
458	сводится к	6	3
459	и особенно	3	3
460	в таком	2	3
461	именно на	4	3
462	в различных	2	3
463	и эта	2	3
464	однако не	5	3
465	не дает	3	3
466	и сами	2	3
467	тем же	3	3
468	материалом для	2	3
469	в художественной	2	2
470	все более	4	2
471	между отдельными	2	2
472	определение романа	2	2
473	во все	2	2
474	эти явления	2	2
475	к этим	2	2
476	и функции	3	2
477	эти вопросы	2	2
478	на всю	2	2
479	для всего	3	2
480	как для	2	2
481	в виноградова	2	2
482	к этому	3	2
483	с начала	2	2
484	за исключением	3	2
485	но есть	2	2
486	или же	4	2
487	эти определения	5	2
488	социальной жизни	12	2
489	должен быть	5	2
490	кругозора в	2	2
491	входящих в	3	2
492	слово оно	2	2
493	и других	4	2
494	бы оно	2	2
495	возможно лишь	2	2
496	и отчетливой	2	2
497	свою очередь	6	2
498	друг от	2	2
499	увидим дальше	2	2
500	может и	2	2
501	и ни	2	2
502	к сожалению	2	2
503	себе в	2	2
504	они и	2	2
505	в особенности	7	2
506	не так	4	2
507	в душе	2	2
508	до крайности	2	2
509	от этого	3	2
510	разобранная нами	2	2
511	нем и	2	2
512	самый предмет	4	2
513	лучшем случае	3	2
514	в поэзии	5	2
515	в контексте	2	2
516	его идеологического	2	2
517	она была	3	2
518	уже как	3	2
519	как она	5	2
520	он пишет	2	2
521	в лучшем	3	2
522	основная тенденция	3	2
523	словами в	2	2
524	для создания	2	2
525	не могла	3	2
526	в значительной	3	2
527	этих двух	2	2
528	из возможных	2	2
529	отнюдь не	13	2
530	как один	2	2
531	между этими	2	2
532	и совершенно	2	2
533	своеобразие и	3	2
534	для них	4	2
535	идеологического творчества	9	2
536	произведения в	9	2
537	отметить что	2	2
538	же как	3	2
539	ведь в	2	2
540	с теми	2	2
541	элементов в	2	2
542	со всем	4	2
543	же это	2	2
544	нем как	3	2
545	правда это	2	2
546	структуре произведения	2	2
547	известной степени	4	2
548	впечатление что	2	2
549	на языке	2	2
550	этом не	2	2
551	в корне	6	2
