N	2gram	Tiupa_Teor	slovoVRo
1	и в	24	92
2	в романе	3	89
3	то есть	22	64
4	в нем	7	59
5	может быть	22	59
6	и его	11	59
7	и не	17	51
8	не только	24	44
9	не может	8	41
10	но и	14	39
11	в этом	12	36
12	а не	14	34
13	во всех	3	32
14	так и	14	30
15	точки зрения	11	30
16	могут быть	5	29
17	и др	3	29
18	в пределах	5	29
19	в его	12	27
20	слова в	4	26
21	все это	2	25
22	языка в	4	25
23	как бы	8	24
24	то же	12	23
25	и на	2	22
26	не в	9	21
27	как в	5	21
28	вовсе не	3	21
29	в то	9	20
30	прежде всего	3	19
31	или иной	7	18
32	как и	6	18
33	себя в	7	18
34	же время	8	18
35	оно не	2	17
36	все эти	3	17
37	в основе	6	17
38	и даже	2	17
39	в большинстве	2	17
40	таким образом	3	17
41	к своему	2	16
42	отличие от	7	16
43	при этом	20	16
44	в них	2	16
45	но в	12	16
46	той или	3	15
47	в той	2	15
48	с точки	3	15
49	в отличие	7	14
50	в узком	3	14
51	только в	9	14
52	это не	4	13
53	с его	6	13
54	отношении к	4	13
55	и для	3	13
56	с другой	9	13
57	на фоне	2	13
58	в слове	4	13
59	никогда не	4	12
60	в отношении	4	12
61	и потому	3	12
62	отношение к	7	12
63	а в	15	12
64	или в	3	12
65	еще не	6	12
66	и к	3	12
67	один из	2	11
68	с ними	2	11
69	одной стороны	3	11
70	слова как	3	11
71	в этих	4	11
72	с одной	3	11
73	для него	5	11
74	роман и	2	11
75	в своем	7	10
76	в том	20	10
77	в себе	14	10
78	с другими	6	10
79	лишь в	10	10
80	далеко не	4	10
81	уже не	6	10
82	его в	4	9
83	одним из	3	9
84	или менее	6	9
85	к нему	2	9
86	более или	6	9
87	в их	4	9
88	в своей	8	9
89	сказать что	4	9
90	с ее	4	9
91	героя и	6	9
92	но не	13	9
93	к чужому	2	9
94	на почве	5	9
95	он не	5	9
96	быть и	2	9
97	не могут	2	8
98	человека и	2	8
99	для понимания	2	8
100	не на	4	8
101	в значительной	2	8
102	в самом	7	8
103	входит в	4	8
104	на мир	2	8
105	перед нами	3	7
106	том что	11	7
107	по преимуществу	5	7
108	того же	4	7
109	в целом	4	7
110	связи с	3	7
111	известной степени	3	7
112	например в	3	7
113	у него	2	7
114	мышления и	3	7
115	и иных	2	7
116	значительной степени	2	7
117	здесь не	2	7
118	за пределы	2	7
119	автора и	2	7
120	в таком	3	7
121	даже в	3	6
122	как к	5	6
123	роль в	3	6
124	на этом	2	6
125	а также	7	6
126	xix века	2	6
127	что в	10	6
128	ни в	5	6
129	в контексте	3	6
130	в качестве	33	6
131	можно сказать	5	6
132	другой стороны	6	6
133	говорить о	4	6
134	и здесь	2	6
135	именно в	3	6
136	в свою	4	6
137	себя и	2	6
138	по себе	2	6
139	в одном	3	6
140	мира и	4	6
141	между тем	5	6
142	слова не	2	5
143	только на	2	5
144	не знает	4	5
145	не менее	6	5
146	в поэзии	2	5
147	отношению к	10	5
148	а затем	2	5
149	и по	3	5
150	должен быть	2	5
151	хотя и	4	5
152	или напротив	2	5
153	в данном	9	5
154	по отношению	10	5
155	с их	2	5
156	не является	5	5
157	для того	5	5
158	не с	3	5
159	о том	2	5
160	к его	3	5
