N	2gram	Berdyaev_M	Formalny
1	и в	61	95
2	т е	5	94
3	и не	26	78
4	может быть	42	66
5	в этом	34	61
6	не может	39	57
7	и его	13	51
8	так и	5	50
9	точки зрения	6	47
10	в нем	26	42
11	в его	10	42
12	прежде всего	18	41
13	как и	14	39
14	не в	16	35
15	в самом	15	35
16	а не	36	34
17	но и	34	33
18	то же	4	32
19	самом деле	2	32
20	не только	42	30
21	в том	9	26
22	если бы	5	26
23	то что	10	25
24	на самом	2	24
25	в своей	18	24
26	лишь в	8	24
27	на почве	3	24
28	в ней	23	23
29	было бы	11	23
30	в то	2	22
31	и ее	2	22
32	в истории	2	21
33	как бы	10	21
34	что в	12	21
35	и с	6	21
36	в их	4	20
37	и от	3	20
38	с тем	10	20
39	входит в	3	20
40	место в	4	20
41	не могут	6	19
42	все это	6	19
43	хотя бы	8	19
44	по себе	2	19
45	все же	2	18
46	и все	13	18
47	все эти	3	18
48	должна быть	7	18
49	с его	6	18
50	и их	3	18
51	только в	7	18
52	как в	9	17
53	так же	5	16
54	потому что	25	16
55	его в	6	15
56	все время	3	15
57	но в	12	15
58	бы в	3	15
59	так как	10	15
60	должно быть	5	15
61	во всех	3	15
62	и на	9	15
63	что он	16	14
64	в ее	3	14
65	в своем	17	14
66	в жизни	7	14
67	в этой	12	14
68	и потому	17	14
69	жизни и	6	14
70	вместе с	7	14
71	как ее	2	13
72	до конца	16	13
73	того что	13	13
74	а в	4	13
75	что же	2	13
76	могут быть	2	13
77	для них	3	13
78	что и	6	13
79	она не	9	13
80	тем что	7	13
81	ни в	3	13
82	по отношению	4	12
83	того чтобы	4	12
84	лишь как	3	12
85	и здесь	6	12
86	к тому	6	12
87	отношению к	4	12
88	и для	7	12
89	оно не	3	12
90	уже не	8	12
91	никогда не	30	11
92	это и	7	11
93	они не	4	11
94	в основе	4	11
95	но не	8	11
96	что они	4	11
97	для него	28	11
98	между тем	2	11
99	не о	2	10
100	не есть	21	10
101	не как	4	10
102	друг друга	12	10
103	мы не	2	10
104	не было	25	10
105	и как	3	10
106	в своих	4	10
107	конечно не	3	10
108	он не	34	10
109	быть и	2	9
110	ничего не	4	9
111	совсем не	3	9
112	но это	8	9
113	в каждом	4	9
114	бы ни	2	9
115	менее всего	10	9
116	у нас	13	9
117	литературы и	2	9
118	от всех	2	9
119	еще более	3	9
120	в свою	5	9
121	отношения к	6	9
122	это не	10	8
123	до сих	5	8
124	и те	4	8
125	в них	5	8
126	для этого	3	8
127	что это	5	8
128	с этим	4	8
129	сих пор	5	8
130	и должно	3	8
131	должен быть	4	8
132	и к	9	8
133	роль в	2	8
134	для того	4	8
135	том что	7	7
136	в себе	12	7
137	как к	2	7
138	даже и	2	7
139	в сущности	2	7
140	сказать что	5	7
141	к этому	3	7
142	жизни в	3	7
143	и более	2	7
144	только и	7	7
145	он и	2	7
146	в той	3	7
147	мы увидим	4	7
148	высшей степени	4	7
149	же и	2	7
150	в высшей	4	7
151	от этого	4	7
152	в которой	8	6
153	ее и	2	6
154	в конце	11	6
155	отношение к	9	6
156	в россии	2	6
157	на этом	5	6
158	и других	2	6
159	у них	4	6
160	его и	2	6
161	и это	16	6
162	тому что	2	6
163	в этих	6	6
164	те же	5	6
165	его не	5	6
166	один из	9	6
167	он был	18	6
168	должны быть	3	6
169	его с	4	6
170	они и	3	6
171	особенно в	3	6
172	за пределы	5	6
173	отличается от	2	6
174	от его	3	6
175	но для	2	6
176	от нее	5	6
177	жизнь и	5	6
178	нет и	6	6
179	о том	5	6
180	по преимуществу	4	6
181	уже в	6	6
182	если он	7	6
183	сам по	2	6
184	с ним	5	6
185	той же	3	6
186	учение о	3	6
187	должен был	4	5
188	тому чтобы	2	5
189	от того	4	5
190	в виду	2	5
191	на все	3	5
192	а как	2	5
193	всего в	2	5
194	не так	6	5
195	в него	3	5
196	она есть	3	5
197	в такой	4	5
198	что не	3	5
199	в значительной	2	5
200	и самый	2	5
201	и по	4	5
202	хотя и	2	5
203	бы и	8	5
204	и то	2	5
205	если в	2	5
206	не от	3	5
207	в эпоху	2	5
208	значительной степени	2	5
209	то в	2	5
210	в мире	12	5
211	и эта	3	5
212	его как	2	5
213	с этой	4	5
214	для нас	3	5
215	к нему	8	5
216	то он	3	5
217	не имеет	7	5
218	в самой	8	5
219	в котором	9	5
220	одни и	2	5
221	а лишь	3	5
222	в отношении	6	5
223	приводит к	2	5
224	еще в	4	5
225	тому как	2	5
226	и что	4	5
227	в нашем	2	5
228	вопрос о	7	5
229	чтобы не	4	4
230	от него	4	4
231	увидим что	5	4
232	одним из	2	4
233	конце концов	3	4
234	он должен	4	4
235	как он	4	4
236	тогда когда	2	4
237	себе в	3	4
238	о нем	2	4
239	они были	2	4
240	он в	4	4
241	к этой	3	4
242	можно и	2	4
243	не будет	3	4
244	и во	5	4
245	и тогда	2	4
246	был бы	11	4
247	этот процесс	5	4
248	нет в	5	4
249	не значит	2	4
250	истории и	2	4
251	а к	2	4
252	к ней	6	4
253	целый ряд	2	4
254	та же	4	4
255	его нельзя	2	4
256	отношении к	4	4
257	но если	4	4
258	в ином	2	4
259	на протяжении	2	4
260	не к	6	4
261	сам он	2	4
262	думать что	4	4
263	есть лишь	23	4
264	подобно тому	2	4
265	что такое	2	4
266	к новому	2	4
267	и этим	2	4
268	же что	2	4
269	к самому	2	4
270	не для	2	4
271	к другому	4	4
272	что было	2	4
273	среды и	2	4
274	но эта	2	4
275	все в	7	4
276	к одному	2	3
277	который был	4	3
278	к этим	3	3
279	в каком	2	3
280	есть только	2	3
281	и глубже	2	3
282	к отрицанию	13	3
283	на своем	4	3
284	так что	3	3
285	нас не	2	3
286	связано с	5	3
287	том смысле	2	3
288	проблемы и	2	3
289	и этот	4	3
290	она была	2	3
291	смысле слова	7	3
292	ни одного	2	3
293	не была	4	3
294	с такой	2	3
295	мы видим	4	3
296	к своему	2	3
297	очень важное	3	3
298	было в	3	3
299	это значит	3	3
300	вряд ли	3	3
301	культуры и	2	3
302	от этой	2	3
303	лежит в	2	3
304	этими двумя	2	3
305	и тот	2	3
306	во всем	5	3
307	мира в	2	3
308	бы не	4	3
309	а от	3	3
310	сознания в	2	3
311	в чем	3	3
312	вообще не	2	3
313	когда он	3	3
314	в самую	5	3
315	в которых	5	3
316	из себя	2	3
317	они неизбежно	2	3
318	с таким	2	3
319	со своей	2	3
320	с их	2	3
321	человек не	17	3
322	и именно	2	3
323	но он	17	3
324	человека в	26	2
325	социальной среды	4	2
326	и возможно	2	2
327	движения в	2	2
328	почему они	2	2
329	и сама	2	2
330	о чем	3	2
331	человека и	19	2
332	не был	8	2
333	есть не	9	2
334	не знают	4	2
335	не потому	2	2
336	ведь это	2	2
337	другого человека	2	2
338	очень существенное	3	2
339	ко всем	3	2
340	и та	2	2
341	тем как	2	2
342	одной и	2	2
343	не знает	12	2
344	от всякого	2	2
345	только с	3	2
346	о мире	2	2
347	ее как	2	2
348	в более	4	2
349	мира и	6	2
350	и без	2	2
351	или к	4	2
352	своем творчестве	3	2
353	и всю	2	2
