N	2gram	Trubetskoy	VLabPisa
1	таким образом	11	32
2	в этом	17	29
3	не только	9	26
4	и в	14	26
5	и т	3	25
6	может быть	9	23
7	хотя бы	5	20
8	и не	19	20
9	не может	22	17
10	в том	17	15
11	в его	4	15
12	в силу	2	14
13	прежде всего	8	13
14	все это	6	13
15	в частности	2	12
16	в качестве	3	12
17	что в	4	11
18	из них	3	11
19	то же	11	10
20	не могут	4	10
21	но и	10	10
22	о том	7	10
23	по этому	2	10
24	для него	6	9
25	в своем	6	8
26	том что	9	8
27	на основании	2	8
28	все эти	2	8
29	было бы	5	8
30	только в	5	8
31	вместе с	4	8
32	из этих	3	7
33	во всех	5	7
34	по отношению	2	7
35	то что	13	7
36	тому что	2	7
37	как и	4	7
38	их в	2	7
39	в нем	5	7
40	главным образом	3	7
41	не было	3	7
42	а не	2	7
43	не в	4	6
44	в то	10	6
45	в себе	9	6
46	или менее	4	6
47	в порядке	2	6
48	все же	4	6
49	том же	2	6
50	у него	2	6
51	более или	4	6
52	приводит к	4	6
53	между тем	5	6
54	никогда не	5	5
55	в результате	2	5
56	в их	4	5
57	и при	6	5
58	к тому	7	5
59	как бы	4	5
60	связи с	3	5
61	же время	10	5
62	и есть	2	5
63	одна из	3	4
64	в сознании	3	4
65	это только	2	4
66	ее в	2	4
67	что он	6	4
68	по существу	5	4
69	с тем	6	4
70	что все	3	4
71	что для	3	4
72	отнюдь не	7	4
73	в самом	3	4
74	в своей	5	4
75	является не	2	4
76	во время	2	4
77	в этой	4	4
78	и от	2	3
79	и к	6	3
80	с этим	2	3
81	так же	2	3
82	всех этих	3	3
83	но даже	2	3
84	в значительной	3	3
85	в конце	3	3
86	его в	4	3
87	и как	3	3
88	видеть в	2	3
89	если бы	6	3
90	значительной мере	2	3
91	для того	6	3
92	как на	8	3
93	того что	3	3
94	этот вопрос	2	3
95	она не	2	3
96	а в	5	3
97	в котором	2	3
98	именно в	3	3
99	точки зрения	11	3
100	даже и	2	3
101	что оно	3	3
102	естественно что	2	3
103	жизни и	4	3
104	того чтобы	8	3
105	что и	3	3
106	сводится к	3	3
107	и по	3	3
108	или в	3	3
109	что они	3	3
110	сил и	3	3
111	не о	2	2
112	если в	6	2
113	да и	3	2
114	самого себя	7	2
115	если они	2	2
116	на это	2	2
117	или иной	5	2
118	и потому	3	2
119	того или	2	2
120	не подлежит	2	2
121	то это	3	2
122	можно было	4	2
123	могут не	2	2
124	должно быть	3	2
125	даже не	2	2
126	отличается от	2	2
127	в другом	3	2
128	а во-вторых	2	2
129	этом и	2	2
130	и даже	2	2
131	от того	4	2
132	конце концов	3	2
133	все они	3	2
134	в области	2	2
135	только для	2	2
136	и наконец	2	2
137	еще не	3	2
138	в течение	2	2
139	сих пор	5	2
140	одной из	3	2
141	том чтобы	3	2
142	но не	4	2
143	и для	6	2
144	и этот	3	2
145	только с	2	2
146	но в	2	2
147	на то	5	2
148	ли это	4	2
149	что такое	2	2
150	зависит от	2	2
151	знаем что	3	2
152	в своих	6	2
153	ни одна	3	2
154	себе и	4	2
155	в ней	2	2
156	но для	2	2
157	тогда когда	4	2
158	из которых	5	2
159	с нею	3	2
160	представить себе	2	2
161	можно ли	3	2
162	по себе	2	2
163	всяком случае	6	2
164	для них	3	2
165	может не	3	2
166	отметить что	2	2
167	он сам	3	2
168	говорить о	3	2
169	он не	5	2
170	должна быть	2	2
171	лишь в	3	2
172	некоторых из	2	2
173	во всяком	9	2
174	до сих	5	2
