N	3gram	Berdyaev_M	VeschiIm
1	это значит что	3	25
2	не может быть	22	24
3	не что иное	4	12
4	что иное как	4	12
5	в том что	3	9
6	есть не что	3	8
7	по сравнению с	2	7
8	подобно тому как	2	5
9	не только в	2	5
10	то время как	2	4
11	о том что	3	4
12	в то время	2	4
13	есть прежде всего	4	4
14	от того что	4	4
15	это и есть	7	4
16	не может не	2	3
17	вместе с тем	5	3
18	как бы его	2	2
19	есть не только	4	2
20	не мог бы	2	2
21	и в конце	2	2
22	для того чтобы	4	2
23	хотя бы и	2	2
24	нельзя было бы	2	2
25	с самим собою	2	2
26	в отношении к	3	2
27	а не к	2	2
28	в конце концов	3	2
29	а не в	4	2
30	а не только	3	2
31	по природе своей	2	2
