N	2gram	Losev_Prob	TeoriaLi
1	в качестве	10	33
2	не только	33	24
3	и в	62	24
4	в частности	4	23
5	то есть	63	22
6	может быть	39	22
7	в том	35	20
8	при этом	9	20
9	и не	56	17
10	а в	9	15
11	но и	20	14
12	так и	16	14
13	а не	28	14
14	в себе	23	14
15	такого рода	14	13
16	но не	6	13
17	в этом	25	12
18	то же	23	12
19	но в	17	12
20	в его	10	12
21	том что	25	11
22	точки зрения	14	11
23	и его	12	11
24	как это	4	10
25	что в	11	10
26	в данном	14	9
27	не в	21	9
28	в искусстве	4	9
29	с другой	14	9
30	в то	18	9
31	только в	33	9
32	не может	14	8
33	как бы	11	8
34	в своей	8	8
35	или иной	20	7
36	в своем	7	7
37	а также	6	7
38	мы имеем	7	7
39	себя в	4	7
40	в области	2	7
41	отличие от	3	7
42	в самом	4	7
43	в отличие	2	7
44	однако в	3	7
45	не столько	2	7
46	в нем	13	7
47	тем самым	9	6
48	или иного	5	6
49	того или	8	6
50	другой стороны	11	6
51	не менее	24	6
52	еще не	12	6
53	то что	42	6
54	или менее	2	6
55	как и	15	6
56	более или	2	6
57	с другими	6	6
58	или иначе	2	6
59	уже не	12	6
60	в ее	6	6
61	в основе	3	6
62	данном случае	12	5
63	а и	2	5
64	художественного произведения	14	5
65	как в	10	5
66	знака к	2	5
67	ни в	17	5
68	в виду	20	5
69	и тем	16	5
70	не является	19	5
71	для того	5	5
72	и о	8	5
73	в пределах	3	5
74	для него	4	5
75	так или	2	5
76	могут быть	2	5
77	в художественном	5	5
78	того чтобы	4	5
79	того что	10	5
80	он не	10	5
81	можно сказать	10	5
82	никогда не	7	4
83	сказать что	24	4
84	в отношении	4	4
85	его в	4	4
86	это не	10	4
87	и ее	7	4
88	в другом	4	4
89	этого слова	5	4
90	в стихотворении	2	4
91	в их	2	4
92	в этих	6	4
93	что он	16	4
94	художественности и	3	4
95	по своему	6	4
96	в литературе	3	4
97	к тому	4	4
98	а только	9	4
99	того же	2	4
100	входит в	3	4
101	в целом	9	4
102	произведения искусства	2	4
103	и что	9	4
104	говорить о	7	4
105	или даже	6	4
106	не на	2	4
107	с ее	5	4
108	и сам	6	4
109	отношения к	3	4
110	в нашем	13	4
111	в слове	4	4
112	хотя и	9	4
113	даже в	2	3
114	и то	17	3
115	перед нами	8	3
116	и притом	7	3
117	и потому	13	3
118	во всех	4	3
119	понятие о	2	3
120	одной стороны	2	3
121	о чем	4	3
122	в которой	3	3
123	и для	5	3
124	тем не	23	3
125	и как	4	3
126	в порядке	3	3
127	если бы	9	3
128	однако если	3	3
129	в узком	2	3
130	или в	7	3
131	подобно тому	3	3
