N	3gram	Potebnia_M	Mirosoze
1	не может быть	7	28
2	в том что	22	9
3	для того чтобы	5	7
4	о том что	5	6
5	есть прежде всего	2	6
6	вместе с тем	5	6
7	но и в	4	5
8	после того как	2	5
9	до сих пор	4	5
10	не было бы	2	5
11	что и в	4	5
12	от того что	7	4
13	потому что в	4	4
14	по отношению к	10	4
15	что он не	3	4
16	на то что	3	4
17	и в самом	3	4
18	заключает в себе	10	4
19	то время как	3	4
20	потому что он	3	4
21	в то время	7	4
22	во всяком случае	3	3
23	том что он	2	3
24	одна и та	2	3
25	одной и той	4	3
26	и та же	2	3
27	как и в	3	3
28	и той же	4	3
29	к тому что	3	3
30	может быть назван	3	3
31	что оно не	2	2
32	потому что не	4	2
33	смысле этого слова	9	2
34	между тем как	4	2
35	подобно тому как	3	2
36	в этом отношении	2	2
37	не только в	4	2
38	не могут быть	3	2
39	в том смысле	6	2
40	смысле в каком	3	2
41	было для него	2	2
