N	2gram	Tiupa_Lite	EvropaiE
1	и в	26	37
2	в отношении	2	32
3	в пределах	4	25
4	точки зрения	8	23
5	что в	7	21
6	не только	29	18
7	с точки	4	17
8	в то	12	16
9	отношении к	2	15
10	хотя бы	3	15
11	то же	13	15
12	в своем	12	14
13	но в	5	14
14	но и	25	14
15	и не	19	14
16	же время	12	14
17	в качестве	21	14
18	в этом	19	12
19	в том	22	11
20	в их	3	11
21	в области	5	11
22	так и	7	10
23	все более	3	9
24	не может	10	9
25	отнюдь не	4	9
26	в себе	8	9
27	прежде всего	14	9
28	только в	8	9
29	одной стороны	8	8
30	между тем	2	8
31	было бы	4	8
32	в своей	5	8
33	с одной	9	8
34	к тому	3	8
35	и выше	2	7
36	также и	3	7
37	с другой	11	7
38	а также	5	7
39	как и	13	7
40	так как	2	7
41	того что	7	7
42	том что	19	6
43	во всех	4	6
44	то есть	11	6
45	и даже	9	6
46	может быть	24	6
47	и на	5	6
48	с этой	6	6
49	для того	2	6
50	на то	2	6
51	то что	14	6
52	как бы	8	6
53	вовсе не	3	6
54	но не	8	5
55	тем самым	8	5
56	столь же	5	5
57	в россии	2	5
58	этой точки	3	5
59	как мы	2	5
60	со стороны	6	5
61	не в	11	5
62	в частности	18	5
63	же как	3	5
64	одной из	2	5
65	как нам	2	5
66	даже в	6	4
67	не имеет	2	4
68	или иной	3	4
69	во многих	3	4
70	то в	3	4
71	культуры в	5	4
72	в самом	4	4
73	но даже	2	4
74	мы не	5	4
75	в ней	4	4
76	для нас	3	4
77	как совокупность	3	4
78	несмотря на	3	4
79	тем более	2	4
80	мира в	4	4
81	ни было	2	4
82	не на	2	4
83	как это	9	4
84	никогда не	5	3
85	с тем	2	3
86	и только	4	3
87	о том	3	3
88	очевидно что	2	3
89	россии как	2	3
90	идет о	4	3
91	в данном	7	3
92	всего лишь	7	3
93	того же	5	3
94	существования в	2	3
95	в сфере	7	3
96	ту или	2	3
97	можно было	3	3
98	в свою	2	3
99	в результате	2	3
100	из них	5	3
101	и прежде	4	3
102	всяком случае	2	3
103	на себя	4	3
104	что и	3	3
105	во второй	2	3
106	и мы	2	3
107	и тем	4	3
108	тем что	6	3
109	этом отношении	5	3
110	не является	3	3
111	жизни в	5	3
112	в культуре	5	3
113	не более	2	3
114	или иную	2	3
115	потому что	5	3
116	себе не	2	3
117	себе в	3	3
118	представляет собой	5	3
119	как в	5	3
120	как на	3	3
121	во всяком	3	3
122	дело в	3	3
123	данном случае	6	2
124	для понимания	2	2
125	в мире	9	2
126	если в	2	2
127	в его	9	2
128	не есть	2	2
129	и то	3	2
130	а в	5	2
131	из того	3	2
132	но как	3	2
133	далеко не	4	2
134	в своих	5	2
135	поскольку он	2	2
136	наш путь	2	2
137	и с	4	2
138	в случае	5	2
139	во втором	3	2
140	могут быть	4	2
141	по преимуществу	6	2
142	не говоря	3	2
143	другой стороны	5	2
144	по своей	3	2
145	в одном	2	2
146	в сферу	2	2
147	и как	2	2
148	не можем	2	2
149	ко всему	4	2
150	есть не	2	2
151	для них	2	2
152	иначе говоря	2	2
153	в этих	2	2
154	жизни и	6	2
155	в силу	4	2
156	более чем	4	2
157	и того	2	2
158	а не	28	2
159	и других	4	2
160	и что	2	2
161	и наконец	2	2
162	свою очередь	2	2
163	же в	6	2
164	одном из	3	2
165	таким образом	4	2
166	поскольку речь	2	2
167	он не	4	2
168	как будто	2	2
169	такой же	3	2
170	но по	2	2
171	говоря уже	3	2
172	не к	3	2
173	в этой	7	2
174	но с	3	2
175	всего в	4	2
176	в какой	2	2
177	духовной жизни	4	2
178	должна быть	3	2
179	вместе с	5	2
180	он сам	2	2
181	на основе	2	2
182	культуры и	2	2
