N	2gram	Kanaev_Sov	OGranits
1	и в	7	13
2	прежде всего	5	9
3	и не	6	8
4	не может	17	8
5	может быть	12	8
6	в его	2	7
7	и пр	2	7
8	точки зрения	12	7
9	не только	4	6
10	мы должны	4	6
11	как бы	4	6
12	таким образом	11	6
13	и т.д	3	5
14	все же	3	5
15	с точки	5	5
16	и наконец	5	5
17	мы можем	6	4
18	но в	3	4
19	то же	3	4
20	но мы	3	4
21	все это	3	4
22	было бы	3	4
23	мы не	9	4
24	в каждом	8	4
25	и все	3	3
26	с этим	2	3
27	как и	6	3
28	не в	3	3
29	говорить о	2	3
30	так как	4	3
31	в себе	3	3
32	что в	2	3
33	точку зрения	4	3
34	самом деле	2	3
35	что же	5	3
36	в которой	2	3
37	в одном	3	3
38	в самом	2	2
39	могут быть	2	2
40	может иметь	2	2
41	мы видим	2	2
42	конечно в	2	2
43	в этом	7	2
44	уже в	3	2
45	в том	4	2
46	в целом	4	2
47	с одной	2	2
48	зависимости от	4	2
49	роль в	2	2
50	говорить об	2	2
51	а в	4	2
52	и к	3	2
53	в зависимости	4	2
54	не менее	2	2
55	все эти	5	2
56	в области	3	2
57	в нем	3	2
58	при этом	3	2
59	а не	3	2
60	на две	3	2
61	мы получим	3	2
62	тот же	2	2
63	самого начала	3	2
64	с самого	3	2
65	в которую	2	2
66	с помощью	4	2
