N	3gram	Tiupa_Narr	Marksizm
1	с точки зрения	2	46
2	не может быть	5	25
3	в то же	3	15
4	по отношению к	6	15
5	то же время	3	15
6	в связи с	2	14
7	в том что	8	14
8	бы то ни	3	12
9	то ни было	3	12
10	в отличие от	5	10
11	с другой стороны	4	7
12	в свою очередь	3	7
13	с одной стороны	7	6
14	той или иной	4	5
15	в таком случае	2	5
16	в этом отношении	3	5
17	в первом случае	2	4
18	можно сказать что	4	4
19	о том что	6	4
20	но все же	4	4
21	тем не менее	3	3
22	и не в	4	3
23	более или менее	2	3
24	в том числе	6	3
25	а не в	2	3
26	можно было бы	2	3
27	не только в	2	3
28	том числе и	4	3
29	в значительной степени	2	3
30	именно в том	2	3
31	в той или	2	3
32	так же как	2	2
33	в данном случае	4	2
34	в том или	2	2
35	сами по себе	2	2
36	к тому же	4	2
37	ту или иную	2	2
38	не то что	2	2
39	том или ином	2	2
40	так или иначе	2	2
41	того или иного	2	2
