N	3gram	Savitsky_E	RusskieA
1	в том что	6	49
2	в данном случае	2	8
3	для того чтобы	5	8
4	как мы видели	2	6
5	не может быть	2	6
6	так же как	5	6
7	во всяком случае	3	4
8	можно было бы	3	4
9	приводит нас к	2	3
10	же как и	3	3
11	с точки зрения	16	3
12	на то что	2	3
13	в свою очередь	2	3
14	можно сказать что	3	2
15	в этом отношении	3	2
16	в большинстве случаев	2	2
17	ту или иную	3	2
18	не только в	4	2
19	друг с другом	3	2
20	и в этом	4	2
21	с одной стороны	8	2
22	свой народ и	3	2
23	с другой стороны	2	2
