N	2gram	Medvedev_U	PoTuStor
1	может быть	6	17
2	и в	14	16
3	в этом	7	9
4	и только	5	9
5	таким образом	2	9
6	прежде всего	8	9
7	и с	2	8
8	не может	7	8
9	не только	10	7
10	с его	2	7
11	конечно не	4	6
12	самом деле	2	6
13	для него	3	6
14	что такое	4	5
15	все это	5	4
16	в его	2	4
17	но и	4	4
18	и не	8	4
19	но в	3	4
20	в этой	4	4
21	только в	2	4
22	хотя бы	5	4
23	для всех	2	4
24	художественного творчества	5	4
25	в том	2	3
26	в области	3	3
27	до сих	2	3
28	крайней мере	2	3
29	в конечном	4	3
30	то что	7	3
31	по крайней	2	3
32	могут быть	2	3
33	сих пор	2	3
34	этом смысле	2	3
35	том что	2	3
36	что мы	2	2
37	для этого	3	2
38	и для	2	2
39	что и	2	2
40	на первый	2	2
41	было бы	3	2
42	не могут	2	2
43	сводится к	2	2
44	то же	5	2
45	как и	3	2
46	что он	2	2
47	в своей	3	2
48	мы не	2	2
49	ни было	3	2
50	в самом	2	2
51	в частности	3	2
52	т.е в	2	2
53	не есть	2	2
54	конечном счете	4	2
55	и через	2	2
56	но это	2	2
57	в итоге	2	2
