N	3gram	Medvedev_F	SlovoVZh
1	по отношению к	4	11
2	не может быть	11	7
3	в том что	3	4
4	как если бы	2	4
5	бы то ни	4	3
6	тем не менее	2	3
7	может быть и	4	3
8	и не в	2	3
9	до сих пор	7	3
10	в художественном произведении	3	3
11	и не может	5	3
12	на самом деле	7	2
13	художественного произведения и	2	2
14	одной стороны и	4	2
15	в данном случае	2	2
16	в зависимости от	4	2
17	с другой стороны	4	2
18	в настоящее время	11	2
19	с точки зрения	17	2
20	ни на один	2	2
21	до известной степени	3	2
22	с одной стороны	5	2
