N	3gram	Losev_Prob	Dialekti
1	и т д	12	75
2	это значит что	3	47
3	с точки зрения	3	46
4	по крайней мере	8	26
5	сама по себе	6	26
6	в том что	7	25
7	не есть ни	8	24
8	ни в каком	7	18
9	не может быть	5	18
10	не что иное	5	18
11	что иное как	5	18
12	тем не менее	25	16
13	сам по себе	7	16
14	в то же	4	14
15	т д и	4	14
16	в таком случае	14	14
17	только тогда когда	4	13
18	о том что	16	12
19	д и т	3	12
20	с другой стороны	7	12
21	на то что	12	11
22	есть не что	5	11
23	в самом деле	4	10
24	той или другой	5	10
25	что она есть	2	10
26	иметь в виду	4	9
27	вовсе не есть	12	9
28	подобно тому как	2	9
29	не есть просто	2	9
30	то или иное	2	9
31	содержит в себе	7	9
32	и в этом	5	9
33	или по крайней	4	8
34	тех или других	3	8
35	не только не	4	8
36	только то что	6	8
37	а не просто	5	8
38	в то время	2	8
39	в этом смысле	8	8
40	то время как	2	8
41	той или иной	5	7
42	говоря уже о	5	7
43	можно сказать что	6	7
44	сами по себе	5	7
45	не потому что	2	7
46	не говоря уже	6	7
47	то это значит	2	7
48	и в частности	3	7
49	точно так же	7	7
50	в связи с	7	7
51	в каком случае	6	7
52	так или иначе	7	7
53	крайней мере в	2	6
54	более или менее	7	6
55	для того чтобы	9	6
56	может быть и	5	6
57	то что мы	11	6
58	во всяком случае	11	6
59	что не есть	2	6
60	с одной стороны	4	6
61	только потому что	3	6
62	не имеет никакого	2	6
63	не имеет ничего	4	5
64	то и другое	3	5
65	что в нем	4	5
66	на самом деле	6	5
67	на первый план	3	5
68	это было бы	2	5
69	тем или другим	4	5
70	в конце концов	11	5
71	ничего общего с	9	5
72	есть прежде всего	3	5
73	имеет ничего общего	4	5
74	до сих пор	6	5
75	не есть только	5	5
76	ни от чего	2	5
77	того или другого	2	5
78	несмотря на всю	2	5
79	и тем не	8	5
80	по себе и	2	5
81	а не только	2	4
82	как раз и	11	4
83	то же самое	9	4
84	и нет ничего	2	4
85	да и то	2	4
86	как только мы	2	4
87	так же как	2	4
88	может быть только	2	4
89	в данном случае	10	4
90	и ни в	2	4
91	одной стороны и	2	4
92	она есть нечто	2	4
93	в этом отношении	2	4
94	и что такое	4	4
95	можно было бы	4	4
96	тогда когда есть	2	4
97	ничем не отличается	2	4
98	и тем более	2	4
99	связи с этим	2	4
100	бы то ни	2	3
101	мы говорим что	2	3
102	и как бы	2	3
103	что же такое	5	3
104	не просто как	3	3
105	с самого начала	2	3
106	каком случае не	4	3
107	нельзя сказать что	2	3
108	даже и не	4	3
109	хотя и не	2	3
110	не только в	3	3
111	в каком-то смысле	3	3
112	о том как	2	3
113	когда мы говорим	2	3
114	как будто бы	4	3
115	это вовсе не	2	3
116	того или иного	6	3
117	тех или иных	2	3
118	становится ясным что	2	2
119	в крайнем случае	2	2
120	и не просто	7	2
121	друг к другу	2	2
122	представим себе что	2	2
123	мы никогда не	3	2
124	никогда не может	2	2
125	себе не содержит	2	2
126	что отнюдь не	2	2
127	по себе вовсе	2	2
128	как это мы	2	2
129	вопрос о том	2	2
130	сущность и явление	3	2
131	мы должны сказать	2	2
132	что нет ничего	2	2
133	или хотя бы	2	2
134	ничего не знает	3	2
135	в себе не	3	2
136	тот или иной	3	2
137	и вовсе не	6	2
138	но никак не	2	2
139	в чистом виде	3	2
140	еще не есть	5	2
141	на первый взгляд	2	2
142	и даже вообще	2	2
143	отнюдь не есть	2	2
144	с первого взгляда	2	2
145	хотя бы и	3	2
146	по себе отнюдь	2	2
147	даже если бы	3	2
148	том что в	2	2
149	вовсе не обязательно	2	2
150	так как он	2	2
151	по себе но	3	2
152	дело в том	3	2
153	во что бы	2	2
154	что бы то	2	2
155	как же это	2	2
156	то ни стало	2	2
157	все это есть	3	2
158	и то что	9	2
159	можно говорить о	2	2
160	они вовсе не	2	2
