N	3gram	Vygotskiy_	Tvorches
1	в том что	41	11
2	по нашему мнению	2	10
3	о том что	3	8
4	не может быть	5	6
5	по отношению к	3	5
6	в самом деле	4	5
7	с точки зрения	11	4
8	с самого начала	6	4
9	до сих пор	3	4
10	точно так же	4	3
11	это значит что	6	3
12	как и в	3	3
13	том что в	3	3
14	с другой стороны	5	3
15	сами по себе	4	3
16	во всяком случае	10	3
17	в отличие от	8	3
18	что он не	2	2
19	тем не менее	6	2
20	на этот вопрос	2	2
21	для того чтобы	14	2
22	содержит в себе	2	2
23	в этой области	2	2
24	так и в	2	2
25	мы уже говорили	6	2
26	в связи с	8	2
27	в первую очередь	2	2
28	том числе и	3	2
29	так как он	2	2
30	вместе с тем	11	2
31	заключается в том	18	2
32	так же как	9	2
33	в известном смысле	2	2
34	заключает в себе	3	2
35	в целом и	2	2
36	в том числе	3	2
37	и что в	2	2
38	в высшей степени	11	2
39	все же не	2	2
40	в свою очередь	3	2
