N	2gram	Vinokur_St	VerxiiNi
1	и в	61	26
2	таким образом	16	22
3	с тем	3	18
4	в этом	37	15
5	вместе с	5	15
6	точки зрения	16	13
7	как бы	8	12
8	в том	56	11
9	не только	36	10
10	из этих	7	10
11	и с	6	10
12	может быть	16	10
13	что в	41	9
14	так как	7	9
15	в области	16	9
16	связи с	3	9
17	но и	28	9
18	но не	5	8
19	с другой	11	8
20	в общем	2	8
21	и у	2	8
22	и не	23	8
23	как на	10	8
24	но все	9	7
25	в эпоху	3	7
26	к нему	2	7
27	потому что	13	7
28	связанные с	3	7
29	одной стороны	2	7
30	из них	11	7
31	то что	27	7
32	с одной	3	7
33	но в	16	7
34	том что	49	7
35	а с	6	7
36	представление о	5	6
37	в отношении	11	6
38	все же	12	6
39	к тому	9	6
40	о том	30	6
41	того же	4	6
42	в себе	3	6
43	в конце	5	6
44	несмотря на	4	6
45	всяком случае	8	6
46	что и	8	6
47	с точки	10	6
48	все эти	7	6
49	все это	13	6
50	и потому	3	6
51	так и	15	6
52	во всяком	8	6
53	никогда не	7	5
54	одной из	4	5
55	и для	4	5
56	не имеет	5	5
57	более или	2	5
58	так же	7	5
59	том числе	3	5
60	и к	5	5
61	отношение к	3	5
62	того чтобы	15	5
63	лишь в	3	5
64	в его	19	5
65	крайней мере	2	5
66	для того	15	5
67	а не	19	5
68	тому же	2	5
69	по крайней	2	5
70	сих пор	12	5
71	до сих	13	5
72	или менее	2	5
73	на этот	5	4
74	и от	2	4
75	что все	3	4
76	очень мало	4	4
77	а в	18	4
78	в котором	11	4
79	в самом	14	4
80	в нем	9	4
81	не может	10	4
82	и тогда	2	4
83	при жизни	2	4
84	в которых	5	4
85	что оно	4	4
86	то есть	2	4
87	целый ряд	3	4
88	в виде	3	4
89	то же	7	4
90	числе и	2	4
91	должен был	5	4
92	и что	8	4
93	и по	6	4
94	в этих	5	4
95	только в	11	4
96	что он	23	4
97	и только	3	4
98	он не	11	4
99	во время	5	4
100	в течение	7	4
101	в этой	13	4
102	в то	10	4
103	что это	5	3
104	на нее	3	3
105	в своем	8	3
106	с самого	4	3
107	так или	3	3
108	но с	7	3
109	если в	2	3
110	точно так	2	3
111	или иначе	3	3
112	хотя бы	8	3
113	к этому	4	3
114	в результате	5	3
115	в которой	13	3
116	в значительной	2	3
117	тем не	4	3
118	и даже	8	3
119	и как	2	3
120	из которого	2	3
121	если бы	11	3
122	и те	4	3
123	же как	5	3
124	в других	2	3
125	при этом	4	3
126	конце концов	2	3
127	не менее	8	3
128	как о	2	3
129	к концу	3	3
130	в качестве	7	3
131	с этой	5	3
132	и другие	3	3
133	в таком	4	3
134	так что	8	3
135	случае не	3	3
136	ясно что	10	3
137	и о	4	3
138	можно сказать	2	3
139	отношению к	3	3
140	к сожалению	4	3
141	в одном	7	3
142	того что	14	3
143	для него	10	3
144	по своему	2	2
145	одно из	3	2
146	сказать что	9	2
147	что о	3	2
148	так например	12	2
149	связан с	3	2
150	которые в	2	2
151	для этого	2	2
152	о котором	2	2
153	начиная с	2	2
154	смотреть на	2	2
155	в эту	3	2
156	общего с	3	2
157	и это	4	2
158	не могут	2	2
159	а также	4	2
160	в россии	7	2
161	на то	5	2
162	и сейчас	6	2
163	мы имеем	2	2
164	ни один	2	2
165	в процессе	3	2
166	из этой	2	2
167	в начале	5	2
168	с того	2	2
169	свидетельствует о	2	2
170	вплоть до	6	2
171	больше чем	3	2
172	между тем	7	2
173	не потому	3	2
174	одним из	2	2
175	особенно в	2	2
176	к его	2	2
177	при таком	2	2
178	не как	2	2
179	не могла	2	2
180	должно было	5	2
181	именно в	8	2
182	конечно не	2	2
183	отличается от	2	2
184	если не	4	2
185	в образе	3	2
186	с именем	2	2
187	но если	5	2
188	что мы	5	2
189	в них	2	2
190	только не	2	2
191	и на	7	2
192	и здесь	2	2
193	уже в	3	2
194	еще не	4	2
195	мысль о	2	2
196	к которому	4	2
197	по своей	2	2
198	наконец в	2	2
199	то или	3	2
200	жизни и	6	2
201	в новом	4	2
202	что именно	2	2
203	не было	7	2
204	превращается в	2	2
205	самого начала	3	2
206	так называемой	2	2
207	можно назвать	3	2
208	этом отношении	13	2
209	виде в	2	2
210	не в	15	2
211	не всегда	2	2
212	то ни	2	2
213	ничего общего	3	2
214	на все	2	2
215	и все	3	2
216	же время	5	2
217	никем не	2	2
218	в виду	6	2
219	со всеми	2	2
220	и перед	2	2
221	должна была	6	2
222	не к	2	2
223	в пользу	5	2
224	прежде всего	11	2
225	его не	3	2
226	бы то	2	2
227	или иное	3	2
228	тот же	2	2
229	не могло	4	2
230	с его	3	2
231	во всех	8	2
232	быть и	2	2
233	по существу	3	2
