N	3gram	Vygotskiy_	Narrotol
1	в том что	30	18
2	в данном случае	3	17
3	не только в	5	13
4	по отношению к	2	11
5	в отличие от	3	11
6	о том что	15	9
7	той или иной	2	8
8	в этом отношении	3	8
9	не может быть	4	8
10	можно сказать что	3	6
11	с одной стороны	15	6
12	состоит в том	2	6
13	на самом деле	8	5
14	для того чтобы	41	5
15	к тому что	8	4
16	в конечном счете	2	4
17	то же самое	8	3
18	иметь в виду	3	3
19	с точки зрения	5	3
20	заключает в себе	6	3
21	как раз в	2	3
22	в самом деле	8	3
23	до сих пор	9	3
24	в зависимости от	7	3
25	на то что	25	3
26	дело в том	2	3
27	и то что	4	3
28	характеры действующих лиц	2	2
29	одно и то	3	2
30	все то что	6	2
31	и то же	4	2
32	не только не	4	2
33	и для нас	3	2
34	а с другой	5	2
35	на одном полюсе	3	2
36	как бы в	3	2
37	одного и того	2	2
38	можно было бы	4	2
39	так же как	3	2
40	что иное как	2	2
41	и т п	5	2
42	тому что он	2	2
43	и того же	2	2
44	сами по себе	2	2
45	именно то что	5	2
