N	2gram	Kanaev_Sov	Istorich
1	и в	7	181
2	может быть	12	115
3	не только	4	114
4	что в	2	90
5	в этом	7	81
6	так как	4	75
7	таким образом	11	72
8	вместе с	4	71
9	и не	6	67
10	все же	3	65
11	мы видим	2	65
12	еще не	3	63
13	не может	17	61
14	то же	3	56
15	в том	4	53
16	а в	4	52
17	и что	2	51
18	мы видели	4	49
19	а не	3	48
20	не в	3	47
21	мы должны	4	44
22	но в	3	44
23	и пр	2	44
24	это не	4	43
25	мы знаем	2	42
26	в нем	3	42
27	в его	2	38
28	для нас	3	38
29	уже не	2	37
30	как и	6	37
31	мы можем	6	36
32	знаем что	2	36
33	все эти	5	35
34	мы не	9	35
35	что это	2	34
36	у него	2	34
37	ничего не	6	31
38	прежде всего	5	31
39	с этим	2	30
40	с одной	2	30
41	но все	2	29
42	как мы	2	29
43	что она	3	28
44	как он	3	27
45	могут быть	2	27
46	вопрос о	4	25
47	в дальнейшем	4	25
48	было бы	3	24
49	в виде	2	24
50	не менее	2	24
51	не будем	2	23
52	все это	3	23
53	тем не	2	23
54	в этой	3	23
55	их в	4	23
56	как бы	4	23
57	при этом	3	22
58	и по	2	22
59	в некоторых	2	22
60	в одном	3	21
61	одна из	3	20
62	из них	4	20
63	видели что	3	20
64	из этих	2	20
65	то и	2	17
66	и они	2	16
67	и все	3	16
68	в целом	4	15
69	на его	2	15
70	и даже	2	15
71	он в	3	15
72	что при	2	15
73	у нас	3	14
74	но мы	3	14
75	из которых	2	14
76	и есть	2	14
77	и наконец	5	14
78	на котором	2	13
79	на этом	2	13
80	в себе	3	13
81	же мы	2	11
82	точки зрения	12	11
83	уже в	3	11
84	ясно что	3	11
85	дает нам	2	11
86	некоторое время	2	11
87	такой же	2	11
88	на этой	3	10
89	что же	5	10
90	он может	3	10
91	только одна	6	10
92	не знаем	2	10
93	ее на	2	10
94	в которой	2	10
95	а на	2	10
96	не можем	7	10
97	друг с	2	10
98	и к	3	10
99	он должен	2	9
100	тот же	2	9
101	в свою	2	9
102	которой он	2	9
103	не могут	2	9
104	зависимости от	4	9
105	следующим образом	3	9
106	на этот	2	9
107	жизни и	4	9
108	с другом	2	9
109	или же	2	9
110	приводит к	2	9
111	роль в	2	8
112	что такое	2	8
113	во всяком	2	8
114	не дает	2	8
115	же самое	2	8
116	и потому	3	8
117	в зависимости	4	8
118	в конце	3	7
119	состоит из	3	7
120	с самого	3	7
121	когда мы	3	7
122	если мы	4	7
123	всяком случае	2	7
124	совершенно не	2	7
125	между собой	3	7
126	в области	3	7
127	самом деле	2	7
128	отличие от	2	6
129	что все	2	6
130	самого начала	3	6
131	той же	2	6
132	быть и	2	6
133	это за	2	6
134	этой стадии	2	6
135	этих двух	2	6
136	к чему	2	6
137	такого рода	2	5
138	в которую	2	5
139	она может	2	5
140	в один	2	5
141	может иметь	2	5
142	мы получим	3	5
143	отличается от	3	5
144	еще более	2	5
145	и мы	3	5
146	в таком	2	5
147	в отличие	2	5
148	можно назвать	2	5
149	и во	2	4
150	из одного	2	4
151	в наших	3	4
152	но очень	2	4
153	в результате	6	4
154	если же	2	4
155	отнюдь не	3	4
156	с точки	5	4
157	через некоторое	2	4
158	в самом	2	4
159	известных нам	2	4
160	точку зрения	4	3
161	только один	2	3
162	так сказать	2	3
163	при таком	3	3
164	так называемых	3	3
165	тем же	2	3
166	в системе	3	3
167	из двух	3	3
168	все те	2	3
169	то ни	2	3
170	его развития	3	3
171	каждого из	2	3
172	мы этого	2	3
173	и именно	2	3
174	в науке	2	3
175	а все	3	3
176	в каждом	8	2
177	поэтому мы	3	2
178	свою очередь	2	2
179	основной вопрос	3	2
180	для его	2	2
181	в нашем	2	2
182	с помощью	4	2
183	явления на	2	2
184	же это	4	2
185	такие же	2	2
186	этим мы	3	2
187	только одну	2	2
188	мы получаем	3	2
189	мы с	2	2
190	у всех	3	2
191	в развитии	4	2
192	по мнению	2	2
193	пока наконец	2	2
194	нет и	4	2
195	свою собственную	2	2
196	в и	2	2
197	может дать	2	2
198	говорить о	2	2
