N	2gram	Tiupa_Hudo	EvropaiE
1	и в	23	37
2	в отношении	4	32
3	в пределах	3	25
4	точки зрения	11	23
5	что в	7	21
6	не только	20	18
7	с точки	3	17
8	в то	8	16
9	отношении к	3	15
10	то же	12	15
11	в своем	4	14
12	но в	10	14
13	но и	14	14
14	и не	16	14
15	же время	7	14
16	в качестве	31	14
17	в этом	12	12
18	в том	20	11
19	в их	5	11
20	в области	8	11
21	так и	12	10
22	так же	2	9
23	не может	9	9
24	отнюдь не	2	9
25	в себе	13	9
26	прежде всего	5	9
27	только в	7	9
28	одной стороны	3	8
29	между тем	4	8
30	в ее	6	8
31	в своей	7	8
32	с одной	3	8
33	к тому	4	8
34	по своему	3	7
35	с другой	9	7
36	а также	6	7
37	как и	3	7
38	того что	5	7
39	том что	9	6
40	вслед за	2	6
41	во всех	3	6
42	то есть	26	6
43	может быть	19	6
44	и на	3	6
45	с этой	3	6
46	того чтобы	5	6
47	для того	5	6
48	то что	5	6
49	как бы	11	6
50	вовсе не	2	6
51	но не	13	5
52	тем самым	5	5
53	и по	2	5
54	и потому	2	5
55	столь же	2	5
56	этой точки	2	5
57	в той	3	5
58	со стороны	5	5
59	не в	9	5
60	в частности	18	5
61	одной из	2	5
62	даже в	3	4
63	сказать что	4	4
64	в каком	2	4
65	и притом	3	4
66	или иного	4	4
67	или иной	9	4
68	можно сказать	6	4
69	то в	2	4
70	культуры в	3	4
71	именно в	2	4
72	в самом	7	4
73	как совокупность	3	4
74	по себе	2	4
75	несмотря на	2	4
76	тем более	2	4
77	мира в	2	4
78	ни было	2	4
79	той или	5	4
80	не на	5	4
81	как это	7	4
82	то ни	2	4
83	того или	4	4
84	бы то	2	4
85	никогда не	2	3
86	и для	3	3
87	известном смысле	2	3
88	о том	2	3
89	идет о	2	3
90	в данном	4	3
91	всего лишь	6	3
92	того же	3	3
93	существования в	2	3
94	ту или	2	3
95	этом смысле	3	3
96	мира и	2	3
97	в свою	3	3
98	и к	3	3
99	но на	2	3
100	не будет	3	3
101	и прежде	3	3
102	в известном	2	3
103	в них	2	3
104	место в	5	3
105	что и	2	3
106	и некоторые	2	3
107	и тем	4	3
108	не является	5	3
109	жизни в	2	3
110	в культуре	3	3
111	или иную	2	3
112	потому что	3	3
113	в таком	3	3
114	представляет собой	11	3
115	как в	2	3
116	ее в	2	3
117	известной степени	3	3
118	есть в	3	2
119	для понимания	2	2
120	в мире	24	2
121	в его	11	2
122	начиная с	2	2
123	ни столь	2	2
124	и то	4	2
125	к нему	3	2
126	а в	13	2
127	с другими	5	2
128	но как	2	2
129	к такой	2	2
130	в сторону	2	2
131	далеко не	4	2
132	и существенно	2	2
133	в случае	2	2
134	во втором	4	2
135	могут быть	5	2
136	по преимуществу	3	2
137	другой стороны	6	2
138	между ними	5	2
139	в значительной	2	2
140	по своей	7	2
141	в европейской	2	2
142	в одном	3	2
143	и как	4	2
144	в порядке	2	2
145	мог бы	3	2
146	если бы	3	2
147	иначе говоря	5	2
148	в этих	4	2
149	в силу	4	2
150	и того	3	2
151	а не	13	2
152	большей части	2	2
153	и что	4	2
154	свою очередь	2	2
155	или в	2	2
156	таким образом	3	2
157	а именно	3	2
158	он не	4	2
159	во всей	3	2
160	в этой	2	2
161	между собой	2	2
162	ними и	2	2
163	хотя и	4	2
164	в какой	2	2
165	духовной жизни	2	2
166	заключается в	2	2
167	на основе	2	2
168	и более	2	2
169	имеет место	3	2
170	при условии	2	2
