N	2gram	Vygotskiy_	VLabPisa
1	таким образом	30	32
2	в этом	43	29
3	не только	28	26
4	и в	33	26
5	может быть	15	23
6	хотя бы	5	20
7	и не	18	20
8	в процессе	37	17
9	не может	31	17
10	в том	44	15
11	в его	15	15
12	этом отношении	7	14
13	в силу	14	14
14	прежде всего	5	13
15	все это	2	13
16	в частности	9	12
17	как это	11	12
18	в качестве	13	12
19	что в	33	11
20	с другой	11	11
21	из них	6	11
22	то же	12	10
23	не могут	7	10
24	но и	14	10
25	о том	13	10
26	к этому	7	9
27	для него	9	9
28	в своем	11	8
29	том что	41	8
30	на основании	2	8
31	могут быть	7	8
32	другой стороны	9	8
33	все эти	9	8
34	было бы	18	8
35	только в	21	8
36	вместе с	9	8
37	очевидно что	2	7
38	это не	8	7
39	из этих	2	7
40	во всех	3	7
41	по отношению	19	7
42	в основном	2	7
43	то что	48	7
44	отношению к	19	7
45	тому что	14	7
46	как и	13	7
47	их в	3	7
48	в нем	10	7
49	говорит о	4	7
50	же в	2	7
51	а не	14	7
52	не в	10	6
53	в то	5	6
54	в себе	4	6
55	это и	3	6
56	все же	5	6
57	у него	8	6
58	думается что	5	6
59	так и	8	6
60	приводит к	10	6
61	один из	4	6
62	в зависимости	2	6
63	и его	6	6
64	между тем	5	6
65	никогда не	10	5
66	сказать что	18	5
67	в плане	2	5
68	в одном	3	5
69	в результате	9	5
70	как говорит	2	5
71	в пределах	6	5
72	зависимости от	3	5
73	работы над	2	5
74	в их	4	5
75	не является	7	5
76	одним из	4	5
77	и при	4	5
78	к тому	14	5
79	он говорит	3	5
80	как бы	11	5
81	в них	3	5
82	в целом	8	5
83	связи с	9	5
84	вот почему	3	5
85	и есть	8	5
86	на основе	6	5
87	по поводу	3	4
88	в сознании	5	4
89	и ее	2	4
90	только что	6	4
91	в виду	4	4
92	ее в	3	4
93	что он	40	4
94	по существу	5	4
95	с тем	9	4
96	что все	9	4
97	что для	2	4
98	когда он	3	4
99	для его	2	4
100	в единстве	2	4
101	отнюдь не	2	4
102	их и	2	4
103	в самом	10	4
104	как раз	5	4
105	с ними	4	4
106	в своей	5	4
107	является не	2	4
108	в связи	6	4
109	можно сказать	7	4
110	в этой	8	4
111	из его	2	4
112	с его	3	4
113	и от	2	3
114	никак не	6	3
115	и к	7	3
116	с этим	9	3
117	мы имеем	4	3
118	так же	22	3
119	но как	6	3
120	и он	3	3
121	том как	3	3
122	вслед за	3	3
123	этот процесс	5	3
124	бы в	6	3
125	в конце	3	3
126	его в	6	3
127	и как	7	3
128	тому как	6	3
129	если бы	13	3
130	подобно тому	6	3
131	не заканчивается	3	3
132	как он	7	3
133	для того	20	3
134	и их	4	3
135	у нас	4	3
136	как на	4	3
137	в другую	3	3
138	мы знаем	5	3
139	моментов в	4	3
140	того что	34	3
141	образом в	2	3
142	мы видели	10	3
143	этот вопрос	8	3
144	имеет свою	5	3
145	видели что	2	3
146	что у	4	3
147	она не	2	3
148	а в	5	3
149	в котором	2	3
150	именно в	8	3
151	точки зрения	27	3
152	в которых	2	3
153	что оно	9	3
154	естественно что	4	3
155	между ними	5	3
156	что не	2	3
157	жизни и	2	3
158	того чтобы	26	3
159	что и	11	3
160	и по	5	3
161	этой области	3	3
162	что они	8	3
163	это мы	3	3
164	вовсе не	2	3
165	в целях	2	2
166	относится к	3	2
167	если в	4	2
168	восприятия и	3	2
169	показывает что	9	2
170	и потому	3	2
171	не подлежит	2	2
172	которые в	4	2
173	никаких оснований	2	2
174	к этим	2	2
175	еще и	3	2
176	слова не	2	2
177	не прав	2	2
178	только то	4	2
179	то это	2	2
180	другом месте	4	2
181	о чем	3	2
182	одной стороны	10	2
183	можно было	11	2
184	который по	2	2
185	должно быть	10	2
186	этого положения	5	2
187	что она	3	2
188	отличается от	2	2
189	в другом	7	2
190	этом и	2	2
191	процесса в	3	2
192	и даже	3	2
193	от того	8	2
194	связанное с	2	2
195	в самых	4	2
196	ли не	2	2
197	представлений и	3	2
198	уже по	5	2
199	с более	3	2
200	за скобки	2	2
201	развитие как	4	2
202	мышления в	4	2
203	конце концов	2	2
204	и памяти	4	2
205	связана с	2	2
206	в области	19	2
207	только для	2	2
208	и наконец	3	2
209	же процесс	2	2
210	еще не	11	2
211	нет никаких	2	2
212	начинается с	2	2
213	в которой	8	2
214	в известной	3	2
215	в чем	10	2
216	справедливо говорит	2	2
217	сих пор	3	2
218	с одной	10	2
219	сказанного выше	2	2
220	после того	2	2
221	же самое	7	2
222	заключается в	15	2
223	не с	2	2
224	как известно	7	2
225	эта теория	5	2
226	одной из	5	2
227	что его	2	2
228	в жизни	2	2
229	к ним	2	2
230	том чтобы	3	2
231	но не	13	2
232	и для	3	2
233	стороны и	3	2
234	также и	2	2
235	не менее	4	2
236	одному тому	2	2
237	но в	9	2
238	они не	7	2
239	на то	6	2
240	он может	5	2
241	он в	3	2
242	что такое	6	2
243	зависит от	4	2
244	знаем что	2	2
245	в своих	5	2
246	в ней	2	2
247	в сфере	9	2
248	и заключается	2	2
249	на вопрос	7	2
250	к его	4	2
251	говорит об	2	2
252	но для	3	2
253	этой точки	7	2
254	нам остается	2	2
255	в представлении	2	2
256	на этом	8	2
257	тогда когда	10	2
258	из которых	3	2
259	значит что	6	2
260	не столько	3	2
261	что мы	11	2
262	только не	7	2
263	представить себе	2	2
264	по себе	8	2
265	всяком случае	2	2
266	ни одного	2	2
267	от до	2	2
268	может не	3	2
269	же как	9	2
270	должны быть	2	2
271	он сам	2	2
272	числе и	2	2
273	по одному	5	2
274	говорить о	3	2
275	этому вопросу	3	2
276	и может	4	2
277	он не	13	2
278	во всей	3	2
279	должна быть	7	2
280	в различных	3	2
281	из основных	7	2
282	ту же	5	2
283	но с	2	2
284	что при	4	2
285	эти вопросы	2	2
286	который в	2	2
287	как процесс	4	2
288	том числе	2	2
289	во всяком	4	2
290	оно является	4	2
291	до сих	3	2
292	того как	6	2
293	в системе	4	2
