N	2gram	Losev_Vlad	OGranits
1	и в	56	13
2	и его	12	12
3	прежде всего	5	9
4	и не	33	8
5	не может	12	8
6	может быть	12	8
7	в его	18	7
8	точки зрения	4	7
9	не только	35	6
10	мы должны	3	6
11	как бы	5	6
12	таким образом	6	6
13	только в	11	6
14	то что	30	6
15	все же	11	5
16	и наконец	2	5
17	хотя бы	5	5
18	еще и	10	4
19	но в	19	4
20	лишь в	3	4
21	то же	10	4
22	но мы	3	4
23	тех пор	2	4
24	произведения как	2	4
25	в своей	7	4
26	все это	7	4
27	было бы	7	4
28	мы не	2	4
29	до тех	2	4
30	никогда не	15	3
31	да и	6	3
32	и для	4	3
33	и то	13	3
34	и все	8	3
35	с этим	3	3
36	как и	7	3
37	не в	12	3
38	в их	2	3
39	так как	11	3
40	в себе	5	3
41	что в	24	3
42	г в	3	3
43	за пределы	3	3
44	пор пока	2	3
45	так и	11	3
46	что же	11	3
47	в которой	8	3
48	в одном	2	3
49	здесь мы	4	3
50	но и	26	3
51	не столько	4	3
52	в самом	3	2
53	собственно говоря	4	2
54	в этом	30	2
55	в них	5	2
56	для себя	6	2
57	кажется что	3	2
58	уже в	9	2
59	в том	26	2
60	тем что	2	2
61	в отношении	5	2
62	несмотря на	7	2
63	в целом	3	2
64	если бы	2	2
65	с г	2	2
66	в произведении	2	2
67	не имеет	2	2
68	всей своей	2	2
69	с другой	3	2
70	а в	20	2
71	и тем	2	2
72	том что	22	2
73	а также	12	2
74	в г	2	2
75	только его	2	2
76	и к	10	2
77	в связи	9	2
78	в общем	4	2
79	не менее	9	2
80	с ними	2	2
81	все эти	6	2
82	в области	3	2
83	так же	4	2
84	от своего	2	2
85	что они	4	2
86	мы уже	8	2
87	те же	2	2
88	и при	2	2
89	с этой	4	2
90	в своих	7	2
91	его на	4	2
92	в нем	7	2
93	в тех	3	2
94	при этом	5	2
95	что иное	2	2
96	а не	5	2
97	в ней	5	2
98	еще в	5	2
99	в течение	13	2
100	как в	6	2
101	другой стороны	3	2
102	во всем	4	2
103	в чем	4	2
104	тот же	7	2
105	иное как	2	2
106	не что	2	2
107	вовсе не	8	2
108	в этот	5	2
109	учение о	2	2
110	к тому	5	2
111	не мог	10	2
112	в которую	2	2
113	наконец в	3	2
114	для него	16	2
