N	2gram	Bakhtin_fo	Problemy
1	и в	84	106
2	и не	19	90
3	как бы	11	70
4	может быть	18	66
5	в его	19	56
6	в этом	41	52
7	в нем	28	51
8	не может	8	49
9	что он	2	44
10	как и	15	44
11	но и	14	40
12	точки зрения	14	40
13	для него	5	39
14	и его	26	39
15	а не	7	38
16	не только	16	36
17	то же	18	36
18	в пределах	8	35
19	то что	13	33
20	но в	16	33
21	прежде всего	28	32
22	в то	13	29
23	все это	10	29
24	он не	6	29
25	и все	10	28
26	не в	10	27
27	в одном	10	27
28	к другому	2	27
29	к себе	8	26
30	же время	13	26
31	в сущности	5	25
32	с точки	9	25
33	и т	21	25
34	в самом	9	25
35	и с	10	25
36	себе самому	7	25
37	самом деле	2	24
38	не как	2	24
39	с самим	6	24
40	героя и	7	24
41	вовсе не	20	24
42	рядом с	4	23
43	слова и	4	23
44	и на	13	23
45	таким образом	14	22
46	в каждом	2	22
47	по себе	3	22
48	как мы	19	21
49	там где	4	21
50	никогда не	8	20
51	все же	12	20
52	потому что	11	20
53	только в	12	20
54	что в	9	19
55	с его	10	19
56	отношению к	5	19
57	в себе	7	18
58	по отношению	3	18
59	т п	18	18
60	все эти	12	18
61	уже не	5	18
62	еще не	8	18
63	но не	9	18
64	это не	8	17
65	в том	16	17
66	так и	17	17
67	а в	6	17
68	самим собою	5	17
69	и к	4	17
70	с ним	5	17
71	так же	7	16
72	в другом	2	16
73	если бы	6	16
74	в своей	2	16
75	до конца	5	15
76	и наконец	6	15
77	и для	12	15
78	у него	8	15
79	в отношении	5	14
80	так как	12	14
81	в своем	8	14
82	в конце	11	14
83	лишь в	8	14
84	и сам	2	14
85	как раз	13	14
86	а как	3	14
87	его в	8	13
88	в романе	40	13
89	и это	5	13
90	большинстве случаев	2	13
91	в целом	2	13
92	себя и	6	13
93	в романах	2	13
94	с другими	3	13
95	в мире	4	13
96	но все	6	13
97	в большинстве	3	13
98	точка зрения	4	13
99	том что	7	12
100	в одной	2	12
101	ничего не	9	12
102	так что	4	12
103	к тому	6	12
104	не знает	4	12
105	что и	5	12
106	при этом	8	12
107	было бы	2	12
108	во всяком	5	12
109	так сказать	14	12
110	и даже	5	12
111	и как	12	12
112	как в	10	12
113	себе и	4	12
114	в котором	8	12
115	не могут	4	11
116	в форме	5	11
117	она не	2	11
118	дело идет	2	11
119	видения и	4	11
120	этого слова	2	11
121	он сам	2	11
122	должно быть	6	11
123	тем что	4	11
124	или как	5	11
125	с другой	4	11
126	их в	6	11
127	более того	4	11
128	входит в	3	11
129	мы уже	17	11
130	отношение к	5	10
131	для себя	8	10
132	в него	2	10
133	что не	3	10
134	самого начала	3	10
135	до сих	4	10
136	сих пор	4	10
137	лишь как	3	10
138	далеко не	3	10
139	в самой	3	10
140	той же	2	10
141	и потому	4	9
142	с самого	3	9
143	или в	3	9
144	самим собой	2	9
145	могут быть	7	9
146	в них	11	9
147	раз и	3	9
148	хотя и	5	9
149	да и	4	9
150	хотя бы	2	9
151	друг с	5	9
152	человека в	22	9
153	ни в	9	9
154	в той	5	9
155	но он	4	9
156	мы должны	2	8
157	уже в	5	8
158	его целом	2	8
159	наконец в	2	8
160	того что	5	8
161	здесь не	5	8
162	и до	7	8
163	не на	4	8
164	и от	3	8
165	менее всего	2	8
166	бы он	2	8
167	и он	3	8
168	с их	2	8
169	мы увидим	2	8
170	был бы	3	8
171	в результате	6	8
172	о том	4	8
173	и у	8	8
174	и так	2	8
175	с другом	5	8
176	из них	8	8
177	же и	2	8
178	не о	2	7
179	вопрос о	2	7
180	его к	2	7
181	и следовательно	5	7
182	в этих	6	7
183	но эта	5	7
184	в их	9	7
185	к своему	2	7
186	точку зрения	3	7
187	в виду	5	7
188	и др	13	7
189	его и	2	7
190	в процессе	4	7
191	все его	7	7
192	только на	3	7
193	мира и	6	7
194	не входит	2	7
195	между ними	5	7
196	что все	4	7
197	что они	3	7
198	и ее	4	7
199	например в	7	7
200	тот же	4	7
201	сказать что	4	7
202	в жизни	6	7
203	его с	2	7
204	друг другу	4	7
205	т д	3	7
206	и изображения	2	7
207	и их	11	7
208	во всех	13	7
209	автора и	4	7
210	но на	4	7
211	не было	8	7
212	уже говорили	6	7
213	как его	3	7
214	в себя	3	7
215	идет о	2	6
216	эта особенность	2	6
217	как он	4	6
218	отличие от	3	6
219	самому и	2	6
220	по существу	17	6
221	выражение в	3	6
222	сочетается с	3	6
223	но эти	4	6
224	и этим	2	6
225	стремится к	2	6
226	себя в	2	6
227	и во	13	6
228	во время	7	6
229	и здесь	2	6
230	на них	2	6
231	одна из	3	6
232	и нет	2	6
233	с этим	11	6
234	словом и	2	6
235	в начале	3	6
236	ни был	2	6
237	время не	2	6
238	этого мира	5	6
239	во всем	3	6
240	и самое	5	6
241	кроме того	7	6
242	и вот	2	6
243	человек и	2	6
244	но для	2	6
245	друг друга	3	6
246	в разрезе	4	6
247	в плоскости	2	6
248	в отличие	3	6
249	и пр	2	6
250	и только	3	6
251	в этой	3	6
252	на почве	2	6
253	в которых	4	6
254	на этом	2	6
255	жизни и	12	6
256	конечно не	7	6
257	что было	6	6
258	в основе	9	6
259	как на	2	6
260	на фоне	3	6
261	отношения к	7	6
262	и то	5	5
263	или иной	4	5
264	когда я	2	5
265	есть и	4	5
266	для других	7	5
267	ведь это	2	5
268	том же	4	5
269	была бы	2	5
270	со всеми	4	5
271	здесь мы	4	5
272	по своему	3	5
273	с тем	5	5
274	они не	4	5
275	того же	9	5
276	в уста	2	5
277	на себя	2	5
278	в чем	3	5
279	один из	5	5
280	лежит в	2	5
281	мы не	4	5
282	той или	3	5
283	того и	3	5
284	в ее	6	5
285	в последнем	3	5
286	те же	5	5
287	все то	2	5
288	в глаза	3	5
289	то есть	42	5
290	мира в	6	5
291	та же	4	5
292	он ни	2	5
293	на материале	3	5
294	совершенно не	3	5
295	где он	2	5
296	героев и	5	5
297	этот мир	2	5
298	на протяжении	3	5
299	с человеком	2	5
300	нет и	4	5
301	тому же	2	5
302	мир и	2	5
303	о своей	2	5
304	именно в	5	5
305	как можно	3	5
306	же что	3	5
307	по ту	2	5
308	поэтому и	4	5
309	с собой	2	5
310	он только	2	5
311	быть и	4	5
312	в ней	4	5
313	вместе с	9	5
314	стороны и	2	4
315	как их	2	4
316	и прежде	4	4
317	он должен	2	4
318	в одно	3	4
319	каждый из	2	4
320	мы видели	2	4
321	романа но	5	4
322	на котором	2	4
323	здесь в	6	4
324	находится в	3	4
325	протяжении всего	2	4
326	связи с	14	4
327	мир в	6	4
328	он был	2	4
329	во всей	3	4
330	понятно что	4	4
331	входят в	2	4
332	всего этого	3	4
333	с идеей	2	4
334	одно и	4	4
335	европейского романа	4	4
336	нет в	2	4
337	время как	5	4
338	то в	2	4
339	характер и	8	4
340	в литературе	17	4
341	особенно в	3	4
342	всех этих	9	4
343	в которой	3	4
344	это было	2	4
345	с ее	7	4
346	к концу	3	4
347	вне его	2	4
348	конечно и	5	4
349	к другу	2	4
350	как если	2	4
351	об этом	3	4
352	этом отношении	5	4
353	с этой	3	4
354	времени и	10	4
355	вследствие этого	4	4
356	всем этим	4	4
357	жизнь и	4	4
358	друг на	4	4
359	сами по	2	4
360	вообще не	4	4
361	также и	6	4
362	романа в	7	4
363	все что	2	4
364	еще более	7	4
365	образом и	2	4
366	оно не	3	4
367	ни один	2	4
368	если не	3	4
369	все в	3	4
370	момент его	2	4
371	на друга	4	4
372	друг к	2	4
373	здесь нет	3	4
374	мы и	4	4
375	вполне понятно	4	4
376	романа не	2	4
377	герою и	2	3
378	данном случае	2	3
379	следовательно и	3	3
380	во времени	6	3
381	не для	3	3
382	вступает в	2	3
383	как человек	4	3
384	и самая	2	3
385	о чем	4	3
386	есть только	2	3
387	человека и	15	3
388	которые в	2	3
389	герой и	2	3
390	лишь один	2	3
391	в основном	12	3
392	например у	4	3
393	что даже	2	3
394	здесь конечно	2	3
395	значение для	3	3
396	именно как	4	3
397	так в	2	3
398	что на	3	3
399	здесь же	2	3
400	и та	2	3
401	между собой	5	3
402	всего в	4	3
403	всего романа	2	3
404	совсем не	4	3
405	того чтобы	11	3
406	а затем	3	3
407	между двумя	6	3
408	связи между	2	3
409	и по	5	3
410	же в	6	3
411	в реальном	2	3
412	можно сказать	2	3
413	должны быть	2	3
414	в других	9	3
415	отсюда и	3	3
416	ее в	2	3
417	мы видим	4	3
418	в последующем	6	3
419	и вообще	3	3
420	одной из	3	3
421	в данном	4	3
422	из этих	5	3
423	и еще	3	3
424	дело в	3	3
425	то время	4	3
426	по преимуществу	4	3
427	прямой и	2	3
428	и уже	4	3
429	в пространстве	10	3
430	значение в	5	3
431	но конечно	3	3
432	все они	4	3
433	внутреннего человека	2	3
434	не является	4	3
435	дан в	3	3
436	и есть	3	3
437	у нас	2	3
438	по всему	3	3
439	но они	3	3
440	мы можем	2	3
441	нем в	2	3
442	связан с	2	3
443	есть в	3	3
444	этими двумя	3	3
445	раз в	4	3
446	эта форма	2	3
447	человек в	5	3
448	в смысле	5	3
449	если мы	2	3
450	романа и	4	3
451	жизнь в	2	3
452	места в	2	3
453	нет здесь	3	3
454	правда в	2	3
455	которой он	3	3
456	в один	2	3
457	романа как	4	3
458	в таком	4	3
459	его жизнь	2	3
460	в различных	2	3
461	и эта	2	3
462	ту же	4	3
463	однако не	2	3
464	мы будем	5	3
465	тем же	3	3
466	чем в	3	3
467	его но	4	2
468	еще и	3	2
469	других для	2	2
470	все более	2	2
471	этого нового	3	2
472	во все	4	2
473	вернемся к	2	2
474	и почти	2	2
475	значение они	2	2
476	внешнее и	2	2
477	его на	3	2
478	одну из	2	2
479	можно прямо	2	2
480	но она	2	2
481	одного и	6	2
482	к этому	5	2
483	не был	2	2
484	раскрытия и	3	2
485	должен быть	2	2
486	того в	2	2
487	во всякой	2	2
488	быть лишь	2	2
489	и других	5	2
490	здесь как	3	2
491	тогда когда	2	2
492	друг от	2	2
493	мире и	3	2
494	своей жизни	6	2
495	в образе	8	2
496	то они	2	2
497	и вне	3	2
498	опирается на	2	2
499	мы говорили	3	2
500	нем не	3	2
501	роман в	6	2
502	внутренняя жизнь	2	2
503	разрезе одного	2	2
504	одно из	3	2
505	чем не	5	2
506	в особенности	15	2
507	от этого	4	2
508	по сравнению	3	2
509	и тех	2	2
510	другом и	2	2
511	для своего	2	2
512	в поэзии	2	2
513	друг за	2	2
514	не место	2	2
515	как она	3	2
516	мы наблюдаем	2	2
517	действие романа	2	2
518	вступают в	3	2
519	по природе	2	2
520	своей собственной	3	2
521	вдруг и	6	2
522	форме и	2	2
523	мы это	2	2
524	с которой	2	2
525	характер в	2	2
526	он так	2	2
527	и идеи	3	2
528	не могла	2	2
529	в значительной	3	2
530	прямо сказать	2	2
531	совершенно новое	2	2
532	весь роман	2	2
533	отнюдь не	7	2
534	между этими	4	2
535	и совершенно	3	2
536	с нею	2	2
537	смысле слова	4	2
538	подходом к	2	2
539	для них	3	2
540	и художественного	3	2
541	же как	2	2
542	нового типа	2	2
543	и внешние	2	2
544	в аспекте	2	2
545	почти всегда	2	2
546	сохраняется и	2	2
547	в корне	2	2
548	со всех	2	2
549	почти все	4	2
550	одного момента	2	2
551	или не	2	2
552	определяется не	2	2
553	нет становления	2	2
554	его мире	2	2
555	и весь	2	2
556	его жизни	11	2
557	этот процесс	5	2
558	в роман	6	2
559	человек с	2	2
560	в этот	5	2
561	речи в	2	2
562	время оно	2	2
563	пределах отдельных	4	2
564	было в	2	2
565	и явления	2	2
566	целый ряд	2	2
567	одна и	2	2
568	что здесь	2	2
569	сделаны из	2	2
570	явления в	2	2
571	иной раз	2	2
572	образ человека	7	2
573	из нее	2	2
574	не входят	3	2
575	от друга	2	2
576	в качестве	6	2
577	а следовательно	4	2
578	для того	12	2
579	в истории	6	2
580	имеется и	3	2
581	и другие	6	2
582	в условиях	8	2
583	нет но	3	2
