N	2gram	Tiupa_Teor	Russkaja
1	не может	8	22
2	и не	17	19
3	в том	20	17
4	в этом	12	17
5	и в	24	14
6	то что	6	13
7	самим собой	4	12
8	точки зрения	11	11
9	то же	12	11
10	таким образом	3	11
11	в то	9	10
12	но и	14	10
13	же время	8	10
14	не только	24	9
15	том что	11	9
16	может быть	22	9
17	в себе	14	9
18	с точки	3	9
19	того чтобы	5	8
20	прежде всего	3	8
21	к тому	4	7
22	о том	2	7
23	в данном	9	7
24	не будет	3	7
25	отнюдь не	3	7
26	ни к	3	7
27	самом деле	2	7
28	если в	2	6
29	и для	3	6
30	для всех	2	6
31	и к	3	6
32	если бы	3	6
33	все это	2	6
34	для того	5	6
35	что он	4	6
36	в своем	7	6
37	для него	5	6
38	или иной	7	5
39	а в	15	5
40	из которых	2	5
41	между собой	3	5
42	и на	2	5
43	потому что	3	5
44	при этом	20	5
45	в нем	7	5
46	он должен	3	5
47	жизни в	2	5
48	в своей	8	5
49	себя и	2	5
50	только в	9	5
51	никогда не	4	5
52	он не	5	5
53	между тем	5	5
54	во всех	3	5
55	и то	3	4
56	что в	10	4
57	но не	13	4
58	его в	4	4
59	себя в	7	4
60	не могут	2	4
61	не в	9	4
62	как и	6	4
63	более или	6	4
64	в мире	26	4
65	как бы	8	4
66	приводит к	6	4
67	и т.д	4	4
68	в его	12	4
69	со стороны	6	4
70	в их	4	4
71	то ни	2	4
72	в этой	3	4
73	вместе с	2	4
74	бы то	2	4
75	или менее	6	4
76	одной из	2	3
77	данном случае	5	3
78	в большинстве	2	3
79	культуры в	3	3
80	именно в	3	3
81	из этих	3	3
82	и потому	3	3
83	при условии	2	3
84	в другом	4	3
85	в значительной	2	3
86	в конце	2	3
87	в самом	7	3
88	и как	3	3
89	несмотря на	2	3
90	что и	2	3
91	или в	3	3
92	сводится к	12	3
93	лишь в	10	3
94	говорить о	4	3
95	той или	3	3
96	и по	3	3
97	связи с	3	3
98	еще не	6	3
99	того что	5	3
100	в качестве	33	3
101	что они	2	3
102	что может	2	3
103	при котором	2	3
104	то в	2	3
105	и о	5	2
106	но она	2	2
107	тем самым	6	2
108	или иного	6	2
109	ее в	2	2
110	для себя	3	2
111	тому что	2	2
112	к нему	2	2
113	но в	12	2
114	того или	6	2
115	ни в	5	2
116	что такое	2	2
117	так же	2	2
118	их в	3	2
119	на себя	2	2
120	на почве	5	2
121	сама по	2	2
122	состоит в	22	2
123	в единое	3	2
124	уже не	6	2
125	по отношению	10	2
126	отношении к	4	2
127	отличается от	2	2
128	в силу	4	2
129	и даже	2	2
130	а не	14	2
131	по себе	2	2
132	в порядке	3	2
133	говоря о	3	2
134	речь идет	2	2
135	место в	7	2
136	– не	4	2
137	и тем	5	2
138	и является	2	2
139	к чему	2	2
140	и вот	3	2
141	тогда как	18	2
142	и что	4	2
143	все эти	3	2
144	а с	3	2
145	не просто	2	2
146	в этих	4	2
147	только на	2	2
148	в частности	23	2
149	в таком	3	2
150	как будто	2	2
151	отношения к	4	2
152	в области	7	2
153	быть и	2	2
154	у него	2	2
155	и состоит	2	2
