N	2gram	Berdyaev_V	Vvedenie
1	и т	2	45
2	т д	2	39
3	в том	3	38
4	в этом	4	35
5	и в	16	35
6	том что	2	30
7	не только	2	26
8	того чтобы	2	22
9	то что	9	19
10	потому что	4	18
11	только в	2	16
12	так как	9	15
13	и не	20	13
14	что в	3	13
15	в нем	4	13
16	того что	5	12
17	в его	4	12
18	не в	3	10
19	прежде всего	2	10
20	но в	3	10
21	между тем	2	10
22	но не	2	9
23	в истории	8	9
24	это не	2	8
25	можно было	2	8
26	и то	2	7
27	как и	4	7
28	как бы	5	7
29	но и	5	7
30	не могут	2	6
31	хотя бы	3	6
32	тем что	2	6
33	с тем	2	6
34	и это	2	6
35	а в	2	6
36	уже не	2	6
37	могут быть	2	6
38	один из	2	6
39	и что	3	6
40	все это	5	6
41	что он	4	5
42	что не	4	5
43	от этого	3	5
44	не есть	6	5
45	в них	3	5
46	что и	3	5
47	говорить о	4	5
48	а не	7	5
49	хотя и	5	5
50	во всяком	2	5
51	да и	2	4
52	истории и	2	4
53	любовь к	3	4
54	еще не	8	4
55	в чем	3	4
56	к тому	3	4
57	и для	3	4
58	не имеет	3	4
59	в котором	4	4
60	в своей	3	4
61	никогда не	3	3
62	одна из	2	3
63	бы и	3	3
64	в конце	3	3
65	в этих	3	3
66	не с	2	3
67	на том	2	3
68	в ней	4	3
69	то это	3	3
70	по этому	3	3
71	вот почему	2	3
72	все эти	3	3
73	и тогда	2	3
74	и есть	4	3
75	и сам	2	3
76	это еще	4	2
77	и потому	7	2
78	его к	2	2
79	во всех	3	2
80	государства и	2	2
81	должно быть	3	2
82	которые не	2	2
83	в прошлом	2	2
84	в форме	2	2
85	не могли	2	2
86	а с	2	2
87	так и	4	2
88	тому что	3	2
89	но это	3	2
90	а между	2	2
91	что мы	4	2
92	для них	2	2
93	жизни и	3	2
94	не было	3	2
95	мы не	2	2
96	что они	7	2
97	до того	2	2
98	все равно	2	2
99	должна быть	3	2
100	не к	2	2
101	в число	2	2
