N	2gram	Voloshinov	Vvedenie
1	в том	3	38
2	в этом	10	35
3	и в	42	35
4	том что	3	30
5	может быть	13	30
6	не только	28	26
7	для того	9	23
8	того чтобы	7	22
9	таким образом	8	21
10	также и	2	20
11	не может	13	19
12	то что	9	19
13	потому что	7	18
14	о том	4	16
15	только в	7	16
16	так как	8	15
17	языка и	4	15
18	представляет собой	2	14
19	и не	14	13
20	в самом	5	13
21	в нем	6	13
22	в их	2	12
23	того что	4	12
24	что такое	4	12
25	точки зрения	11	12
26	в его	6	12
27	то же	16	11
28	в ее	3	11
29	как мы	10	11
30	ясно что	2	11
31	вопрос о	2	10
32	не в	6	10
33	прежде всего	22	10
34	но в	5	10
35	в той	5	10
36	между тем	3	10
37	из этих	2	9
38	и как	10	9
39	все же	9	9
40	смысле этого	2	9
41	но не	2	9
42	это не	3	8
43	можно было	4	8
44	как нечто	2	8
45	в качестве	4	8
46	и то	5	7
47	самом деле	5	7
48	сих пор	2	7
49	как и	12	7
50	как бы	30	7
51	этот вопрос	2	7
52	представить себе	3	7
53	но и	16	7
54	в разных	3	7
55	было бы	7	7
56	сказать что	3	6
57	его в	4	6
58	как например	2	6
59	хотя бы	18	6
60	иное как	2	6
61	об этом	3	6
62	и даже	3	6
63	о языке	2	6
64	тем что	2	6
65	в какой	2	6
66	на этот	2	6
67	с тем	8	6
68	и это	8	6
69	а в	5	6
70	уже не	4	6
71	в которых	2	6
72	в то	9	6
73	один из	4	6
74	и его	7	6
75	все это	4	6
76	же время	7	6
77	этом случае	3	6
78	вовсе не	2	6
79	вместе с	5	6
80	независимо от	5	5
81	не что	4	5
82	и т.д	21	5
83	в виду	3	5
84	и тем	7	5
85	связь между	3	5
86	что он	2	5
87	что иное	2	5
88	по своему	3	5
89	как уже	2	5
90	как это	5	5
91	есть не	2	5
92	не есть	2	5
93	уже в	5	5
94	в целом	4	5
95	что и	3	5
96	языка в	2	5
97	не просто	4	5
98	а не	7	5
99	хотя и	3	5
100	да и	4	4
101	еще и	2	4
102	мы имеем	2	4
103	о чем	2	4
104	в области	6	4
105	этот процесс	2	4
106	по отношению	2	4
107	в каждом	4	4
108	должен быть	2	4
109	этом отношении	2	4
110	из двух	2	4
111	но ведь	6	4
112	еще не	3	4
113	времени и	2	4
114	отношению к	2	4
115	к тому	4	4
116	одной из	2	4
117	но все	5	4
118	и для	3	4
119	в котором	3	4
120	даже и	2	4
121	ответ на	3	4
122	в одном	4	4
123	из них	3	4
124	в себе	10	4
125	с точки	5	4
126	в своей	2	4
127	можно сказать	4	4
128	той же	7	4
129	никогда не	7	3
130	до конца	2	3
131	в каком	2	3
132	в отношении	2	3
133	и вообще	2	3
134	что это	4	3
135	или иной	6	3
136	и той	7	3
137	с этим	2	3
138	так же	4	3
139	в начале	3	3
140	бы и	2	3
141	для этого	2	3
142	к этому	2	3
143	в значительной	2	3
144	в конце	6	3
145	от того	3	3
146	отношение к	2	3
147	во второй	3	3
148	и здесь	3	3
149	если бы	4	3
150	зависимости от	7	3
151	так называемой	4	3
152	и вот	3	3
153	в этих	2	3
154	язык в	6	3
155	только на	3	3
156	в частности	3	3
157	как в	3	3
158	или как	6	3
159	свое выражение	3	3
160	не с	3	3
161	мы видели	5	3
162	материал для	2	3
163	к нему	2	3
164	литературное произведение	2	3
165	и на	7	3
166	язык и	9	3
167	гораздо более	2	3
168	или иных	3	3
169	зависит от	2	3
170	в ней	8	3
171	и к	4	3
172	между ними	3	3
173	однако в	2	3
174	из которых	3	3
175	но что	3	3
176	что же	8	3
177	нуждается в	3	3
178	здесь не	2	3
179	тех или	4	3
180	вряд ли	3	3
181	при этом	9	3
182	в зависимости	7	3
183	и уже	3	3
184	все эти	3	3
185	культурного развития	2	3
186	той или	4	3
187	связи с	3	3
188	и тогда	2	3
189	и сам	2	3
190	же самое	5	3
191	в этой	6	3
192	в слове	4	3
193	одно и	6	2
194	в языке	2	2
195	находятся в	2	2
196	ничего не	8	2
197	и развития	3	2
198	у нас	4	2
199	и потому	2	2
200	иметь дело	3	2
201	мы должны	10	2
202	во всех	6	2
203	все время	5	2
204	но как	2	2
205	с ней	2	2
206	должно быть	2	2
207	каждый из	2	2
208	бы в	6	2
209	само собой	4	2
210	деятельности и	3	2
211	не существует	4	2
212	не нужно	2	2
213	в форме	6	2
214	мы называем	4	2
215	что оно	3	2
216	и всего	2	2
217	конце концов	3	2
218	что именно	4	2
219	и те	2	2
220	в связи	2	2
221	том же	2	2
222	а с	5	2
223	свою очередь	4	2
224	у них	3	2
225	слова как	4	2
226	и при	2	2
227	когда мы	6	2
228	должна была	2	2
229	так и	7	2
230	ни к	2	2
231	чаще всего	3	2
232	к своему	4	2
233	одной и	4	2
234	увидим что	2	2
235	и так	6	2
236	тому что	5	2
237	в своих	2	2
238	себе и	2	2
239	и без	4	2
240	или группы	2	2
241	в свою	6	2
242	и с	5	2
243	о них	2	2
244	не говоря	2	2
245	но это	2	2
246	выражение в	3	2
247	что мы	11	2
248	от которых	2	2
249	мы можем	7	2
250	себя в	4	2
251	несмотря на	3	2
252	материалом и	2	2
253	для них	2	2
254	жизни и	3	2
255	не было	2	2
256	мы не	9	2
257	в тех	3	2
258	природы и	2	2
259	до того	3	2
260	значение и	2	2
261	как только	4	2
262	не мог	3	2
263	так называемые	4	2
264	в дальнейшем	2	2
265	этого слова	3	2
266	не к	4	2
267	мы уже	11	2
268	с помощью	6	2
