N	2gram	Ircho_Kome	TeoriaLi
1	в качестве	4	33
2	в мире	2	26
3	не только	13	24
4	и в	37	24
5	в частности	4	23
6	состоит в	2	22
7	может быть	14	22
8	в том	24	20
9	при этом	11	20
10	и не	28	17
11	а в	12	15
12	но и	18	14
13	так и	4	14
14	а не	5	14
15	в себе	4	14
16	такого рода	2	13
17	но не	9	13
18	представляет собой	5	13
19	в этом	18	12
20	то же	14	12
21	но в	7	12
22	в его	12	12
23	том что	22	11
24	точки зрения	8	11
25	и его	10	11
26	по отношению	6	10
27	отношению к	4	10
28	как это	5	10
29	что в	11	10
30	не в	7	9
31	с другой	5	9
32	в то	14	9
33	только в	3	9
34	всего лишь	2	8
35	не может	9	8
36	по своей	2	8
37	как бы	7	8
38	в своей	6	8
39	же время	12	8
40	в своем	9	7
41	а также	3	7
42	мы имеем	4	7
43	себя в	3	7
44	отношение к	7	7
45	во второй	2	7
46	в области	3	7
47	отличие от	5	7
48	в самом	17	7
49	в отличие	3	7
50	однако в	5	7
51	не столько	3	7
52	в нем	8	7
53	другой стороны	2	6
54	в первой	3	6
55	конечном счете	3	6
56	в конечном	2	6
57	со стороны	16	6
58	не менее	9	6
59	еще не	10	6
60	то что	5	6
61	или менее	2	6
62	как и	10	6
63	более или	2	6
64	с другими	2	6
65	или иначе	3	6
66	приводит к	4	6
67	между ними	4	6
68	в ее	3	6
69	в основе	3	6
70	с его	6	6
71	как в	4	5
72	как к	3	5
73	ни в	14	5
74	в виду	3	5
75	и тем	4	5
76	не является	5	5
77	для того	9	5
78	и о	3	5
79	в пределах	3	5
80	не случайно	3	5
81	за пределами	3	5
82	так или	3	5
83	между тем	6	5
84	могут быть	3	5
85	того чтобы	9	5
86	он не	11	5
87	никогда не	5	4
88	сказать что	4	4
89	в отношении	4	4
90	его в	9	4
91	это не	3	4
92	и ее	3	4
93	в другом	2	4
94	в силу	2	4
95	в их	5	4
96	в этих	2	4
97	что он	15	4
98	по своему	3	4
99	далеко не	3	4
100	к тому	11	4
101	того же	9	4
102	аналогичным образом	2	4
103	в свою	12	4
104	в целом	4	4
105	со своей	2	4
106	и что	8	4
107	говорить о	6	4
108	не на	3	4
109	и сам	11	4
110	не следует	2	4
111	отношения к	2	4
112	не знает	7	4
113	хотя и	6	4
114	но он	3	4
115	даже в	3	3
116	я на	2	3
117	и потому	2	3
118	во всех	4	3
119	из этих	2	3
120	одной стороны	4	3
121	о чем	11	3
122	в которой	6	3
123	и для	7	3
124	человека с	2	3
125	тем не	3	3
126	и как	3	3
127	если бы	18	3
128	роль в	3	3
129	свою очередь	10	3
130	в таком	2	3
131	одним из	2	3
132	с этой	5	3
133	и вот	3	3
134	была бы	2	3
135	никто не	2	3
136	между собой	5	3
137	с одной	5	3
138	а с	2	3
139	не с	2	3
140	столь же	5	3
141	их в	3	3
142	потому что	19	3
143	том числе	2	3
144	во втором	2	3
145	имеем в	2	3
146	прежде всего	7	3
147	к его	4	3
148	и к	4	3
149	отнюдь не	5	3
150	от себя	2	3
151	не будет	2	3
152	с точки	6	3
153	а на	3	3
154	о ней	2	3
155	и по	3	3
156	связи с	5	3
157	в связи	4	3
158	таким образом	16	3
159	нового времени	5	3
160	известной степени	2	3
161	например в	3	3
162	в этой	7	3
163	в одном	3	3
164	как раз	9	3
165	вовсе не	6	3
166	между двумя	2	3
167	может служить	2	2
168	чтобы не	3	2
169	не могут	2	2
170	идет о	3	2
171	так же	8	2
172	если в	4	2
173	тем более	9	2
174	дело не	2	2
175	текста не	2	2
176	не всегда	2	2
177	человека и	2	2
178	ни был	2	2
179	при всей	2	2
180	что она	10	2
181	за пределы	3	2
182	в глаза	3	2
183	об этом	12	2
184	и даже	6	2
185	в конце	14	2
186	и здесь	11	2
187	либо в	4	2
188	я и	2	2
189	времени и	2	2
190	это делает	2	2
191	от своего	2	2
192	ни было	3	2
193	к своему	4	2
194	у него	10	2
195	самом деле	13	2
196	на вопрос	5	2
197	в чем	7	2
198	вместе с	16	2
199	в какой	4	2
200	перед лицом	2	2
201	на фоне	2	2
202	при всем	5	2
203	одной из	4	2
204	для понимания	3	2
205	к нему	8	2
206	числе и	2	2
207	а для	2	2
208	и это	4	2
209	тому что	5	2
210	могло быть	2	2
211	о том	21	2
212	в произведениях	2	2
213	со временем	5	2
214	сам же	2	2
215	если мы	2	2
216	образом и	2	2
217	должен быть	2	2
218	и на	6	2
219	на себя	10	2
220	в диалоге	2	2
221	дома и	3	2
222	на этом	3	2
223	из которых	7	2
224	для обозначения	2	2
225	он и	5	2
226	один из	6	2
227	в них	6	2
228	речь идет	5	2
229	несмотря на	7	2
230	здесь не	2	2
231	в той	2	2
232	мы в	3	2
233	что и	12	2
234	перед ним	4	2
235	к числу	2	2
236	в случае	2	2
237	а затем	4	2
238	к другому	2	2
239	о его	4	2
240	то ни	4	2
241	себя и	2	2
242	в присутствии	3	2
243	и особенно	2	2
244	все это	7	2
245	что они	3	2
246	времени в	2	2
247	как будто	3	2
248	в первом	2	2
249	обращается к	4	2
250	бы то	3	2
251	который в	3	2
252	этих двух	2	2
253	я не	4	2
254	основе своей	2	2
255	тем же	3	2
