N	2gram	Kanaev_Sov	Mirosoze
1	и в	7	97
2	может быть	12	64
3	не только	4	63
4	в этом	7	55
5	а не	3	53
6	в нем	3	49
7	не может	17	49
8	у него	2	47
9	и не	6	39
10	не в	3	34
11	и есть	2	33
12	прежде всего	5	29
13	как и	6	29
14	но в	3	27
15	и все	3	24
16	у нас	3	24
17	что в	2	23
18	в самом	2	21
19	в себе	3	20
20	как бы	4	19
21	в его	2	18
22	и потому	3	17
23	в том	4	16
24	было бы	3	16
25	в этой	3	15
26	в конце	3	14
27	так как	4	14
28	это не	4	12
29	все это	3	12
30	в которой	2	11
31	уже не	2	11
32	и к	3	11
33	жизни и	4	11
34	не могут	2	10
35	то же	3	10
36	а в	4	9
37	и во	2	9
38	в свою	2	9
39	вместе с	4	9
40	вопрос о	4	8
41	ничего не	6	8
42	нет и	4	8
43	уже в	3	8
44	как он	3	7
45	что все	2	7
46	он в	3	7
47	точки зрения	12	7
48	что она	3	7
49	на этом	2	7
50	в нашем	2	7
51	быть и	2	6
52	что это	2	6
53	к чему	2	6
54	тот же	2	5
55	во всяком	2	5
56	и мы	3	5
57	с этим	2	5
58	отличается от	3	5
59	еще не	3	5
60	той же	2	5
61	в каждом	8	4
62	он должен	2	4
63	могут быть	2	4
64	мы видим	2	4
65	все эти	5	4
66	у всех	3	4
67	и даже	2	4
68	и по	2	4
69	мы не	9	4
70	еще более	2	4
71	может не	3	4
72	и что	2	4
73	ведь это	3	3
74	все же	3	3
75	и будет	2	3
76	она может	2	3
77	мы должны	4	3
78	что же	5	3
79	на его	2	3
80	для нас	3	3
81	со всеми	2	3
82	на этот	2	3
83	он может	3	3
84	только один	2	3
85	приводит к	2	3
86	в одном	3	3
87	всяком случае	2	3
88	роль в	2	3
89	или иной	2	2
90	такого рода	2	2
91	самом деле	2	2
92	не менее	2	2
93	о жизни	2	2
94	и они	2	2
95	их в	4	2
96	когда мы	3	2
97	в новых	2	2
98	что такое	2	2
99	которой он	2	2
100	и именно	2	2
101	всего только	2	2
