N	3gram	Potebnia_M	Myshleni
1	в том что	22	133
2	с точки зрения	2	89
3	для того чтобы	5	78
4	по отношению к	10	42
5	с одной стороны	4	39
6	то же самое	3	31
7	в этом отношении	2	30
8	в этом случае	2	27
9	с другой стороны	4	26
10	в собственном смысле	2	26
11	вместе с тем	5	26
12	о том что	5	25
13	на то что	3	25
14	не может быть	7	23
15	к тому что	3	22
16	в то время	7	22
17	смысле этого слова	9	22
18	можно сказать что	3	21
19	не только не	4	21
20	то время как	3	20
21	во всяком случае	3	18
22	в этом смысле	2	18
23	до сих пор	4	17
24	одного и того	2	17
25	и того же	2	17
26	одной и той	4	15
27	в данном случае	3	15
28	и той же	4	15
29	и то что	3	15
30	друг от друга	2	14
31	в свою очередь	6	14
32	подобно тому как	3	14
33	потому что он	3	14
34	то и другое	3	13
35	тем не менее	7	12
36	и тот же	2	12
37	таким образом что	2	12
38	одно и то	7	12
39	один и тот	2	12
40	в том чтобы	4	12
41	и то же	7	12
42	мы не можем	5	11
43	только тогда когда	11	11
44	но вместе с	2	10
45	то что в	2	10
46	от того что	7	10
47	не в состоянии	4	10
48	на самом деле	4	9
49	сама по себе	3	9
50	само по себе	6	9
51	в силу того	2	9
52	более или менее	6	9
53	том что он	2	9
54	как и в	3	9
55	силу того что	2	9
56	сам по себе	9	8
57	не могут быть	3	8
58	что и в	4	8
59	что он не	3	8
60	в том же	2	8
61	только в том	5	8
62	в первом случае	2	7
63	с тем и	3	7
64	в том виде	2	7
65	потому что в	4	6
66	и тем же	4	6
67	заключает в себе	10	6
68	то что мы	3	6
69	в том смысле	6	6
70	того что мы	2	6
71	одним и тем	4	6
72	в то же	8	5
73	и как бы	2	5
74	того и другого	2	5
75	в начале развития	2	5
76	том смысле что	2	5
77	есть прежде всего	2	5
78	сами по себе	3	5
79	не только в	4	5
80	только потому что	5	5
81	потому что оно	2	4
82	после того как	2	4
83	так что в	2	4
84	но и в	4	4
85	вместе с этим	4	4
86	тем же словом	3	4
87	что мы не	2	4
88	между тем как	4	4
89	не то что	2	4
90	тем и другим	2	4
91	так и в	2	4
92	но так как	2	4
93	мы должны будем	2	4
94	то же что	5	4
95	именно то что	2	4
96	то же слово	2	4
97	между тем и	2	4
98	на первых порах	2	3
99	что если бы	3	3
100	то к чему	2	3
101	и в самом	3	3
102	мы старались показать	2	3
103	одна и та	2	3
104	и та же	2	3
105	подлежащего и сказуемого	2	3
106	но и по	2	3
107	в живой речи	3	3
108	а не как	2	3
109	том что оно	2	3
110	то же время	8	3
111	в приведенном выше	2	3
112	в ряду других	2	3
113	то что я	2	2
114	и что только	2	2
115	потому что и	3	2
116	мы не знаем	3	2
117	по себе не	2	2
118	иначе как в	2	2
119	мы тем самым	3	2
120	может быть не	2	2
121	и может быть	2	2
122	в этом последнем	2	2
123	заметить что в	2	2
124	к одной и	2	2
125	в том случае	2	2
126	что только в	2	2
127	но тем не	4	2
128	в сознании то	2	2
129	этого слова и	2	2
130	в слове и	6	2
131	в большинстве случаев	2	2
132	что оно не	2	2
133	было бы невозможно	3	2
134	не только по	3	2
135	можно видеть из	2	2
