N	2gram	Bakhtin_Fr	VelikijI
1	и не	13	20
2	и в	73	16
3	так как	9	9
4	то что	12	9
5	еще не	3	8
6	в истории	3	8
7	и потому	6	7
8	на земле	5	7
9	что они	2	7
10	а не	2	7
11	не есть	2	6
12	человека и	3	6
13	в мире	3	5
14	как бы	15	5
15	но и	15	5
16	все это	19	5
17	хотя и	5	5
18	что есть	2	5
19	того что	5	5
20	что все	3	4
21	в силах	2	4
22	и все	19	4
23	как и	19	4
24	в котором	4	4
25	потому что	9	4
26	все что	5	4
27	в нем	18	4
28	в образе	6	4
29	в ней	10	4
30	что мы	2	4
31	мира от	2	4
32	в его	18	4
33	в этом	21	4
34	что он	8	4
35	и есть	3	4
36	так и	13	4
37	никогда не	6	3
38	превращается в	2	3
39	что в	14	3
40	в том	13	3
41	и для	8	3
42	от этого	3	3
43	не имеет	4	3
44	за то	4	3
45	но в	12	3
46	к тому	2	3
47	ни в	7	3
48	их в	5	3
49	они в	3	3
50	но это	3	3
51	должно быть	4	3
52	оно не	2	3
53	в своей	4	3
54	во всех	13	3
55	в конце	9	3
56	по этому	4	3
57	в них	14	3
58	жизни и	6	3
59	что и	6	3
60	не было	4	3
61	лишь в	2	3
62	людей в	3	3
63	и что	5	3
64	не в	12	3
65	все эти	24	3
66	в этих	6	3
67	должна быть	3	3
68	в чем	3	3
69	тот же	3	3
70	с его	5	3
71	и то	3	2
72	с тем	2	2
73	они и	4	2
74	одна из	7	2
75	что их	2	2
76	и это	6	2
77	это не	7	2
78	не только	11	2
79	не могут	3	2
80	а в	10	2
81	том что	8	2
82	на том	2	2
83	его к	3	2
84	и во	4	2
85	от него	3	2
86	и новые	2	2
87	во всяком	2	2
88	уже не	2	2
89	в духе	4	2
90	легенда о	2	2
91	так много	4	2
92	один из	5	2
93	и вечно	2	2
94	превращаются в	3	2
95	что теперь	2	2
96	того чтобы	2	2
97	мира в	6	2
98	тем что	8	2
99	мы не	2	2
100	конечно не	2	2
101	земли и	7	2
102	можно было	4	2
103	только в	7	2
104	до того	3	2
105	и сам	2	2
106	в земной	4	2
107	в форме	6	2
108	для нас	2	2
109	в себя	3	2
110	людей и	3	2
111	прежде всего	18	2
112	вместо того	2	2
113	с ним	6	2
114	всего в	5	2
115	между тем	2	2
116	для него	7	2
